D,ell,N_target,z_cap_frac,scan_axis,regime_guess,trend_guess,data_axis_min,data_axis_max,source_window_min,source_window_max,recommended_min,recommended_max,recommended_center,recommended_spacing,recommended_points,recommendation_note
6.0,1.0,3.0,0.8,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
6.0,1.0,3.0,0.825,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
6.0,1.0,3.0,0.85,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
6.0,1.0,3.0,0.875,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
6.0,1.0,3.0,0.9,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
12.0,1.0,3.0,0.8,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
12.0,1.0,3.0,0.825,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
12.0,1.0,3.0,0.85,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
12.0,1.0,3.0,0.875,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
12.0,1.0,3.0,0.9,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
18.0,1.0,3.0,0.8,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
18.0,1.0,3.0,0.825,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
18.0,1.0,3.0,0.85,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
18.0,1.0,3.0,0.875,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
18.0,1.0,3.0,0.9,eta_cap,absorber_linear_like,increasing,5e-05,7.5e-05,5e-05,6.12e-05,3.3333333333333335e-05,5e-05,4.0824829046386304e-05,log,5.0,push to lower eta to test departure from absorber-linear scaling
