D,ell,N_target,eta_cap,scan_axis,window_min,window_max,window_center,n_points,Gamma_cap_min,Gamma_cap_max,Gamma_cap_rel_span,Gamma_cap_over_eta_rel_span,candidate_overlap_min,rel_Gamma_exact_vs_narrow_max,regime_guess
6.0,1.0,3.0,5e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.4073505301295735e-07,7.734103080198948e-07,0.8160264977006221,0.816026497700622,0.9999999840416619,0.0,mixed
6.0,1.0,3.0,5.53e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.7685295883493157e-07,8.553917475323725e-07,0.8160264582044321,0.816026458204432,0.9999999804791948,0.0,mixed
6.0,1.0,3.0,6.12e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.170596806913114e-07,9.466540857822218e-07,0.8160264095607218,0.816026409560722,0.999999976091537,0.0,mixed
6.0,1.0,3.0,6.78e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.6203668675453104e-07,1.04874413289951e-06,0.8160263493066088,0.8160263493066089,0.9999999706568725,0.0,mixed
6.0,1.0,3.0,7.5e-05,z_cap_frac,0.8,0.85,0.825,3.0,5.111025051164068e-07,1.1601150584921961e-06,0.8160262765433726,0.8160262765433725,0.9999999640935694,0.0,mixed
12.0,1.0,3.0,5e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.466028223625555e-07,7.863839962170144e-07,0.8155543052155255,0.8155543052155255,0.9999988617106239,0.0,mixed
12.0,1.0,3.0,5.53e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.833427116201688e-07,8.69740646238434e-07,0.8155542661586095,0.8155542661586095,0.9999986256816592,0.0,mixed
12.0,1.0,3.0,6.12e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.2424183009005523e-07,9.62533879049078e-07,0.8155542180559869,0.8155542180559868,0.9999990486732394,0.0,mixed
12.0,1.0,3.0,6.78e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.6999338146067435e-07,1.0663364520688733e-06,0.8155541584727655,0.8155541584727655,0.999999014302805,0.0,mixed
12.0,1.0,3.0,7.5e-05,z_cap_frac,0.8,0.85,0.825,3.0,5.199041582638325e-07,1.179575587447648e-06,0.8155540865191152,0.8155540865191153,0.9999985287804635,0.0,mixed
18.0,1.0,3.0,5e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.588474218516393e-07,8.134744227933866e-07,0.8146412057182378,0.8146412057182376,0.9999999293559377,0.0,mixed
18.0,1.0,3.0,5.53e-05,z_cap_frac,0.8,0.85,0.825,3.0,3.9688523842981664e-07,8.99702657222892e-07,0.8146411676258299,0.8146411676258297,0.9999999396982725,0.0,mixed
18.0,1.0,3.0,6.12e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.3922921930842896e-07,9.956925591796674e-07,0.8146411207092432,0.8146411207092434,0.9999998766485416,0.0,mixed
18.0,1.0,3.0,6.78e-05,z_cap_frac,0.8,0.85,0.825,3.0,4.865970573305368e-07,1.1030710667776111e-06,0.814641062595707,0.8146410625957069,0.9999999403594076,0.0,mixed
18.0,1.0,3.0,7.5e-05,z_cap_frac,0.8,0.85,0.825,3.0,5.382710557872607e-07,1.2202112211650644e-06,0.8146409924170274,0.8146409924170275,0.9999999187199405,0.0,mixed
