method,D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,Gamma_cap_over_eta,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight,R,n_half,h,parity,seed_omega,E_siegert_real,E_siegert_imag,omega_siegert_real,omega_siegert_imag,Gamma_siegert,Gamma_siegert_narrow,q_R_real,q_R_imag,U_R,Gamma_geo_seed,Gamma_siegert_over_geo,root_success,root_nfev,guess_E_imag,residual_abs
CAP,6.0,1.0,5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753978251802,-7.759874250971484e-07,1.0033321473098176,-3.867051540099474e-07,7.734103080198948e-07,7.734103080198948e-07,0.0154682061603978,0.0,11.684850011539648,7.113985303421259e-11,10870.68830174482,0.999999984041662,7.759875368701072e-07,0.8625368287842394,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5.53e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753979181555,-8.582420388824001e-07,1.0033321473561676,-4.2769587376618626e-07,8.553917475323725e-07,8.553917475323725e-07,0.0154682051995004,0.0,11.684850011539648,7.113985303421259e-11,12023.086514783738,0.9999999804791948,8.582421900990328e-07,0.8625368356678497,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.12e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.006675398032665,-9.49808476745406e-07,1.0033321474132526,-4.733270428911109e-07,9.466540857822218e-07,9.466540857822218e-07,0.0154682040160493,0.0,11.684850011539648,7.113985303421259e-11,13305.944636601324,0.999999976091537,9.498086817087608e-07,0.8625368441457475,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.78e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753981745044,-1.0522387030232711e-06,1.0033321474839625,-5.24372066449755e-07,1.04874413289951e-06,1.04874413289951e-06,0.0154682025501402,0.0,11.684850011539648,7.113985303421259e-11,14741.005896401668,0.9999999706568724,1.0522389817055002e-06,0.8625368546470751,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,7.5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753983457919,-1.16398073306452e-06,1.0033321475693522,-5.800575292460981e-07,1.160115058492196e-06,1.160115058492196e-06,0.0154682007798959,0.0,11.684850011539648,7.113985303421259e-11,16306.526780161796,0.9999999640935694,1.1639811102918269e-06,0.8625368673286161,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753976418332,-5.319888433496053e-07,1.0033321472184091,-2.651110326846729e-07,5.302220653693457e-07,5.302220653693457e-07,0.0106044413073869,0.0,11.684850011539648,7.113985303421259e-11,7452.235321056275,0.9999999918853296,5.319888944394022e-07,0.9035354504794072,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5.53e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753976938789,-5.883796359495388e-07,1.0033321472443535,-2.932127897852772e-07,5.864255795705545e-07,5.864255795705545e-07,0.010604440860227,0.0,11.684850011539648,7.113985303421259e-11,8242.27791749205,0.9999999900738368,5.883797050681612e-07,0.903535453831988,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.12e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753977579785,-6.511542830230446e-07,1.0033321472763064,-3.244958734705647e-07,6.489917469411294e-07,6.489917469411294e-07,0.0106044403094955,0.0,11.684850011539648,7.113985303421259e-11,9121.759174509629,0.9999999878429094,6.511543767077891e-07,0.903535457961074,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.78e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753978373778,-7.213767573645847e-07,1.0033321473158865,-3.594905033664134e-07,7.189810067328268e-07,7.189810067328268e-07,0.0106044396273278,0.0,11.684850011539648,7.113985303421259e-11,10105.585494168146,0.9999999850792718,7.213768847447149e-07,0.9035354630756672,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,7.5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753979332605,-7.979830767249893e-07,1.0033321473636827,-3.976664551324002e-07,7.953329102648004e-07,7.953329102648004e-07,0.0106044388035306,0.0,11.684850011539648,7.113985303421259e-11,11178.850341865462,0.99999998174208,7.979832491473068e-07,0.903535469252087,,,,,,,,,,,,,,,,,,,,
