D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,0.0,node_slope_proxy,60.3125,0.0,0.0,0.0,5.2812552533502975e-05,0.0033059079926411,0.0032729001473076,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,1.0,node_slope_proxy,60.9375,0.0,0.0,0.0,5.186643135476621e-05,0.0032729001473076,0.0032404836277109,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,2.0,node_slope_proxy,61.5625,0.0,0.0,0.0,5.0958894313277854e-05,0.0032404836277109,0.0032086343187651,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,3.0,node_slope_proxy,62.1875,0.0,0.0,0.0,5.0086857135602655e-05,0.0032086343187651,0.0031773300330553,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,4.0,node_slope_proxy,62.8125,0.0,0.0,0.0,4.923926811416998e-05,0.0031773300330553,0.003146555490484,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,5.0,node_slope_proxy,63.4375,0.0,0.0,0.0,4.841275272432638e-05,0.003146555490484,0.0031162975200313,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,6.0,node_slope_proxy,64.0625,0.0,0.0,0.0,4.7605238412783137e-05,0.0031162975200313,0.0030865442460233,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,7.0,node_slope_proxy,64.6875,0.0,0.0,0.0,4.680980863117565e-05,0.0030865442460233,0.0030572881156288,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,8.0,node_slope_proxy,65.3125,0.0,0.0,0.0,4.60307131237174e-05,0.0030572881156288,0.0030285189199265,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,9.0,node_slope_proxy,65.9375,0.0,0.0,0.0,4.526466913907789e-05,0.0030285189199265,0.0030002285017146,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,10.0,node_slope_proxy,66.5625,0.0,0.0,0.0,4.4516272682320475e-05,0.0030002285017146,0.0029724058312881,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,11.0,node_slope_proxy,67.1875,0.0,0.0,0.0,4.378162814716591e-05,0.0029724058312881,0.0029450423136961,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,12.0,node_slope_proxy,67.8125,0.0,0.0,0.0,4.3067371597339114e-05,0.0029450423136961,0.0029181252064478,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,13.0,node_slope_proxy,68.4375,0.0,0.0,0.0,4.2368662382673286e-05,0.0029181252064478,0.0028916447924586,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,14.0,node_slope_proxy,69.0625,0.0,0.0,0.0,4.1690933329704974e-05,0.0028916447924586,0.0028655879591276,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,15.0,node_slope_proxy,69.6875,0.0,0.0,0.0,4.10323965013358e-05,0.0028655879591276,0.0028399427113142,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,16.0,node_slope_proxy,70.3125,0.0,0.0,0.0,4.039149134883943e-05,0.0028399427113142,0.0028146980292212,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,17.0,node_slope_proxy,70.9375,0.0,0.0,0.0,3.977001660332366e-05,0.0028146980292212,0.0027898417688441,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,18.0,node_slope_proxy,71.5625,0.0,0.0,0.0,3.916571161129284e-05,0.0027898417688441,0.0027653631990871,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,19.0,node_slope_proxy,72.1875,0.0,0.0,0.0,3.85779788835465e-05,0.0027653631990871,0.0027412519622848,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,20.0,node_slope_proxy,72.8125,0.0,0.0,0.0,3.800551174000244e-05,0.0027412519622848,0.0027174985174473,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,21.0,node_slope_proxy,73.4375,0.0,0.0,0.0,3.744996451648039e-05,0.0027174985174473,0.0026940922896245,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,22.0,node_slope_proxy,74.0625,0.0,0.0,0.0,3.690575805327112e-05,0.0026940922896245,0.0026710261908412,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,23.0,node_slope_proxy,74.6875,0.0,0.0,0.0,3.63770350800402e-05,0.0026710261908412,0.0026482905439162,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,24.0,node_slope_proxy,75.3125,0.0,0.0,0.0,3.585978742536924e-05,0.0026482905439162,0.0026258781767754,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,25.0,node_slope_proxy,75.9375,0.0,0.0,0.0,3.535313621492175e-05,0.0026258781767754,0.002603782466641,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,26.0,node_slope_proxy,76.5625,0.0,0.0,0.0,3.486149503127422e-05,0.002603782466641,0.0025819940322465,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,27.0,node_slope_proxy,77.1875,0.0,0.0,0.0,3.43793382486364e-05,0.0025819940322465,0.0025605069458411,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,28.0,node_slope_proxy,77.8125,0.0,0.0,0.0,3.390756565206168e-05,0.0025605069458411,0.0025393147173086,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,29.0,node_slope_proxy,78.4375,0.0,0.0,0.0,3.3447926951328534e-05,0.0025393147173086,0.002518409762964,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,30.0,node_slope_proxy,79.0625,0.0,0.0,0.0,3.2999996917435634e-05,0.002518409762964,0.0024977847648906,,,
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,31.0,node_slope_proxy,79.6875,0.0,0.0,0.0,3.255876102307778e-05,0.0024977847648906,0.0024774355392512,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,0.0,node_slope_proxy,60.3125,0.0,0.0,0.0,6.408101187590568e-05,0.0034716515091858,0.0034316008767634,,,
