D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,slope_window,source_slab_left,source_slab_right,source_max_node_slope_abs,guard_factor,interval_L_bound,five_percent_reserve,interval_remainder_bound,interval_remainder_over_reserve,beta_interval,beta_s22_inflated,beta_interval_over_s22_inflated,interval_contribution,s22_inflated_contribution,interval_slab_pass
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.0033059079926411,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000165295399632055,8.25196133335984e-05,0.4992251055824045,0.003388427605974698,0.0034712033922731,0.9761535764563204,0.0021177672537341864,0.0021695021201707,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.0032729001473076,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00016364500736538003,8.25196133335984e-05,0.5042598895140865,0.0033554197606411986,0.003436545154673,0.9763933280720937,0.002097137350400749,0.0021478407216706,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0032404836277109,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00016202418138554502,8.25196133335984e-05,0.5093043064802695,0.0033230032410444983,0.0034025078090964,0.9766335384038353,0.0020768770256528114,0.0021265673806853,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.0032086343187651,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00016043171593825502,8.25196133335984e-05,0.5143597252637847,0.0032911539320986984,0.0033690660347033,0.9768742726316247,0.0020569712075616865,0.0021056662716896,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.0031773300330553,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00015886650165276503,8.25196133335984e-05,0.5194273964310094,0.0032598496463888986,0.0033361965347081,0.9771155903062284,0.0020374060289930617,0.0020851228341925,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.003146555490484,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.0001573277745242,8.25196133335984e-05,0.5245075993934263,0.0032290751038175983,0.0033038832650082,0.9773575047330203,0.002018171939885999,0.0020649270406301,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.0031162975200313,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000155814876001565,8.25196133335984e-05,0.5296003530033266,0.003198817133364898,0.0032721123960328,0.9776000168097015,0.001999260708353061,0.0020450702475205,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.0030865442460233,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000154327212301165,8.25196133335984e-05,0.5347055266738299,0.0031690638593568983,0.0032408714583245,0.9778431203177909,0.0019806649120980616,0.0020255446614528,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.0030572881156288,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00015286440578144,8.25196133335984e-05,0.5398222883329816,0.0031398077289623984,0.0032101525214102,0.978086775634916,0.001962379830601499,0.0020063453258814,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.0030285189199265,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000151425945996325,8.25196133335984e-05,0.5449502909864673,0.0031110385332600984,0.0031799448659228,0.9783309662374585,0.0019443990832875616,0.0019874655412017,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.0030002285017146,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00015001142508573001,8.25196133335984e-05,0.550088856808335,0.0030827481150481986,0.0031502399268003,0.9785756598480253,0.001926717571905124,0.0019688999542502,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0029724058312881,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014862029156440502,8.25196133335984e-05,0.555237864661558,0.0030549254446216984,0.0031210261228525,0.9788208506981709,0.0019093284028885616,0.0019506413267828,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.0029450423136961,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000147252115684805,8.25196133335984e-05,0.5603967926018304,0.0030275619270296985,0.0030922944293809,0.9790665139334221,0.0018922262043935614,0.0019326840183631,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0029181252064478,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014590626032239,8.25196133335984e-05,0.5655659541356594,0.0030006448197813984,0.0030640314667702,0.9793126644826473,0.001875403012363374,0.0019150196667313,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.0028916447924586,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014458223962293,8.25196133335984e-05,0.5707451589407473,0.0029741644057921985,0.0030362270320816,0.9795592932828703,0.001858852753620124,0.001897641895051,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0028655879591276,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014327939795638002,8.25196133335984e-05,0.5759349530399386,0.0029481075724611984,0.0030088673570839,0.9798064263352613,0.001842567232788249,0.0018805420981774,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.0028399427113142,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014199713556571001,8.25196133335984e-05,0.5811357602732202,0.0029224623246477985,0.0029819398468799,0.9800540838225377,0.001826538952904874,0.0018637124042999,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.0028146980292212,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00014073490146106,8.25196133335984e-05,0.5863478957736066,0.0028972176425547985,0.0029554329306823,0.9803022807511109,0.001810761026596749,0.0018471455816764,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.0027898417688441,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000139492088442205,8.25196133335984e-05,0.591571997058373,0.0028723613821776983,0.0029293338572863,0.9805510474789718,0.0017952258638610614,0.0018308336608039,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0027653631990871,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000138268159954355,8.25196133335984e-05,0.5968085013993079,0.0028478828124206984,0.0029036313590414,0.980800404828557,0.0017799267577629364,0.0018147695994009,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.0027412519622848,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013706259811424002,8.25196133335984e-05,0.6020578514411299,0.0028237715756183985,0.0028783145603991,0.9810503738781287,0.0017648572347614992,0.0017989466002494,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027174985174473,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000135874925872365,8.25196133335984e-05,0.6073203926610694,0.0028000181307808983,0.0028533734433197,0.9813009710790864,0.0017500113317380614,0.0017833584020748,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.0026940922896245,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013470461448122502,8.25196133335984e-05,0.6125967818652559,0.0027766119029580985,0.0028287969041058,0.9815522277078433,0.0017353824393488116,0.0017679980650661,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,23.0,74.375,75.0,0.625,0.0026710261908412,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013355130954206002,8.25196133335984e-05,0.6178869650664868,0.0027535458041747984,0.0028045775003833,0.9818041411936282,0.0017209661276092491,0.0017528609377395,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,24.0,75.0,75.625,0.625,0.0026482905439162,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013241452719581,8.25196133335984e-05,0.623191541601559,0.0027308101572497984,0.002780705071112,0.9820567400762682,0.001706756348281124,0.001737940669445,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,25.0,75.625,76.25,0.625,0.0026258781767754,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013129390883877002,8.25196133335984e-05,0.6285105993373474,0.0027083977901089986,0.0027571720856141,0.9823100285398987,0.0016927486188181241,0.0017232325535088,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,26.0,76.25,76.875,0.625,0.002603782466641,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00013018912333205,8.25196133335984e-05,0.6338441432094941,0.0026863020799745983,0.0027339715899731,0.9825640068194818,0.001678938799984124,0.0017087322437332,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,27.0,76.875,77.5,0.625,0.0025819940322465,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000129099701612325,8.25196133335984e-05,0.6391929051966171,0.0026645136455800984,0.0027110937338588,0.9828187097712765,0.0016653210284875615,0.0016944335836617,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,28.0,77.5,78.125,0.625,0.0025605069458411,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000128025347292055,8.25196133335984e-05,0.6445568403368775,0.0026430265591746984,0.0026885322931332,0.9830741352541206,0.0016518915994841866,0.0016803326832082,1.0
