tube_kind,D,R_tail,parity,R0,R1,pad_factor,n_contour,center_real,center_imag,half_re,half_im,half_re_over_box,half_im_over_box,root_gap_abs,delta_F_abs_max,rouche_ratio_from_R0,rouche_ratio_from_R1,rouche_ratio_symmetric,R0_argument_index_round,R1_argument_index_round,R0_argument_index_error,R1_argument_index_error,R0_zero_count_abs,R1_zero_count_abs,R0_boundary_F_abs_min,R1_boundary_F_abs_min,direct_endpoint_index_ok,rouche_pass_from_R0,symmetric_rouche_pass,large_tube_status
segment,6.0,400.0,even,60.0,80.0,64.0,24.0,0.007931176873466849,-0.0030105092838165,0.00773029916543925,0.006705561001322101,77.3029916543925,67.055610013221,0.002729881605562651,4.385775316080402,2.7016284934353436,4.748525173901199,4.748525173901199,0.0,0.0,0.0,0.0,0.0,0.0,1.6233820922222828,0.9236078899161071,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,80.0,100.0,64.0,24.0,0.00550912302073865,-0.0024119018303769496,0.00749175468728895,0.0066930464521174505,74.9175468728895,66.9304645211745,0.002260800318750878,8.094303373522644,6.89349710219169,16.731043372199128,16.731043372199128,-1.0,-1.0,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.1741940634092927,0.483789515899075,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,100.0,120.0,64.0,24.0,0.0039594963655165995,-0.00197837466558795,0.0068578719679331,0.00654048071267155,68.57871967933099,65.4048071267155,0.0009578759202561388,5.762625555700471,12.929055584048431,36.01110073514558,36.01110073514558,-1.0,-1.0,0.0,0.0,1.0,1.0,0.4457112523214971,0.160023588228625,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,60.0,80.0,64.0,24.0,0.0086867661790564,-0.00316705500889825,0.0084858884677506,0.00686210671841605,84.858884677506,68.6210671841605,0.004272925610913533,13.057290782920372,7.375306065976058,14.93970780792726,14.93970780792726,0.0,0.0,0.0,0.0,0.0,0.0,1.770406633448961,0.8739990735288647,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,80.0,100.0,64.0,24.0,0.005509123023177799,-0.0024119018352601503,0.0074917546881280005,0.00669304645522205,74.91754688128,66.9304645522205,0.002260800321981289,8.094300098367166,6.893493468095375,16.731034898043976,16.731034898043976,-1.0,-1.0,0.0,0.0,1.0,1.0,1.1741942073100369,0.4837895651818567,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,100.0,120.0,64.0,24.0,0.0039594963684024004,-0.00197837466616975,0.006857871966647401,0.00654048071386835,68.578719666474,65.4048071386835,0.0009578759184999257,5.762625623112662,12.929057382382766,36.01110510273854,36.01110510273854,-1.0,-1.0,0.0,2.220446049250313e-16,1.0,1.0,0.4457111955404313,0.16002357069220935,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,800.0,even,60.0,80.0,64.0,24.0,0.0083131520251921,-0.0017850700479373001,0.0081205118794055,0.0066196264765538,81.205118794055,66.19626476553799,0.0034689461894811123,3.4053573674104203,1.2543291930867742,1.729424785971629,1.729424785971629,-1.0,0.0,0.0,0.0,1.0,0.0,2.7148832907493676,1.9690693663195162,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,800.0,even,80.0,100.0,64.0,24.0,0.00574201031931,-0.0014376641241404002,0.0072506298264766005,0.0065277794472431,72.506298264766,65.277794472431,0.0017203472775336533,6.51373114329719,2.347249766681719,6.155740888346195,6.155740888346195,-1.0,-1.0,0.0,0.0,1.0,1.0,2.77504815880995,1.0581555106760143,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,800.0,even,100.0,120.0,64.0,24.0,0.004175573515467049,-0.0011860651153532999,0.00711580697736635,0.006523819561544001,71.1580697736635,65.23819561544,0.0014528742721478672,2.591445515349644,2.081384809323386,2.219715758115288,2.219715758115288,0.0,-1.0,0.0,0.0,0.0,1.0,1.2450583398809698,1.167467278580742,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,800.0,odd,60.0,80.0,64.0,24.0,0.00831315202554045,-0.0017850700555579499,0.008120511881744851,0.00661962652126065,81.20511881744851,66.19626521260649,0.0034689462054441032,3.405357570693636,1.254329212025512,1.7294245200258198,1.7294245200258198,-1.0,0.0,0.0,0.0,1.0,0.0,2.7148834118234455,1.9690697866610536,0.0,0.0,0.0,large_tube_rouche_not_closed
