D,group_family,group_label,n_boxes,R_values,R_tail_values,parities,re_span,im_span,abs_diameter,box_re_min,box_im_min,re_overlap_width,im_overlap_width,has_common_box_intersection,exact_square_cover_factor,disk_cover_diameter_lower_factor,n_contour_jost_pass,boundary_ratio_direct_max,boundary_product_margin_min,winding_abs_max,single_pole_status
6.0,all_cases_by_D,6,16.0,"60,80,100,120","400,800","even,odd",0.0073128881087063,0.002566916173505,0.007750315550495965,0.0001,0.0001,-0.0071128881087063,-0.0023669161735050005,0.0,36.5644405435315,38.75157775247982,16.0,0.0075847882058402,131.84283764575096,0.0,tail_box_control_but_no_single_pole_intersection
12.0,all_cases_by_D,12,16.0,"60,80,100,120","400,800","even,odd",0.0073860164992749,0.0023288357509958,0.007744463549512483,0.0001,0.0001,-0.007186016499274901,-0.0021288357509958,0.0,36.930082496374496,38.722317747562414,16.0,0.0168309976894491,59.414184378794616,0.0,tail_box_control_but_no_single_pole_intersection
18.0,all_cases_by_D,18,16.0,"60,80,100,120","400,800","even,odd",0.007454671891452701,0.002203061928534,0.007773391465130966,0.0001,0.0001,-0.0072546718914527015,-0.002003061928534,0.0,37.2733594572635,38.86695732565483,16.0,0.0260580974101955,38.37578715968492,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_tail_parity,"(6,400,even)",4.0,"60,80,100,120",400,even,0.0057598516413226,0.0014781763322222002,0.005946502854551448,0.0001,0.0001,-0.0055598516413226,-0.0012781763322222003,0.0,28.799258206612997,29.73251427275724,4.0,5.603821695219382e-10,1784496463.9990227,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_tail_parity,"(6,400,odd)",4.0,"60,80,100,120",400,odd,0.007271030245052,0.0017912677750129,0.007488425806954397,0.0001,0.0001,-0.007071030245052,-0.0015912677750129002,0.0,36.355151225259995,37.44212903477199,4.0,5.603821150325121e-10,1784496637.5166738,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_tail_parity,"(6,800,even)",4.0,"60,80,100,120",800,even,0.0065738973664969,0.0009424509706818002,0.0066411098784295046,0.0001,0.0001,-0.0063738973664969,-0.0007424509706818001,0.0,32.8694868324845,33.205549392147525,4.0,0.0075847495047429,131.84351037231704,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_tail_parity,"(6,800,odd)",4.0,"60,80,100,120",800,odd,0.006573897344984701,0.000942450983468,0.006641109858949534,0.0001,0.0001,-0.006373897344984701,-0.0007424509834679999,0.0,32.869486724923505,33.20554929474767,4.0,0.0075847882058402,131.84283764575096,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_tail_parity,"(12,400,even)",4.0,"60,80,100,120",400,even,0.0073015968106588,0.0016447644578869002,0.007484555170973807,0.0001,0.0001,-0.0071015968106588005,-0.0014447644578869003,0.0,36.507984053293995,37.42277585486903,4.0,1.0047892230327828e-08,99523360.42992903,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_tail_parity,"(12,400,odd)",4.0,"60,80,100,120",400,odd,0.007301596808470001,0.0016447644605237,0.007484555169417961,0.0001,0.0001,-0.007101596808470001,-0.0014447644605237002,0.0,36.50798404235,37.4227758470898,4.0,1.0047892264120881e-08,99523360.09521228,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_tail_parity,"(12,800,even)",4.0,"60,80,100,120",800,even,0.0073669897839324,0.0009552277229987,0.00742866061139891,0.0001,0.0001,-0.0071669897839324,-0.0007552277229987,0.0,36.834948919662,37.14330305699455,4.0,0.0168309929372067,59.41420115443035,0.0,tail_box_control_but_no_single_pole_intersection
