D,R_tail,parity,n_segments,R_min,R_max,path_length,net_displacement_abs,path_over_net,path_length_over_box_halfwidth,max_step_abs,max_step_square_cover_factor,max_step_disk_cover_factor,group_square_cover_factor,mean_flow_abs_per_R,max_flow_abs_per_R,endpoint_boundary_ratio_max,endpoint_product_margin_min,all_endpoint_tail_box_control,path_status
6.0,400.0,even,3.0,60.0,120.0,0.005948557844569668,0.005946502854551448,1.000345579589968,59.485578445696675,0.002729881605562651,13.3029916543925,13.649408027813255,28.799258206612997,9.91426307428278e-05,0.00013649408027813256,5.603821695219382e-10,1784496463.9990227,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
6.0,400.0,odd,3.0,60.0,120.0,0.007491601851394748,0.007488425806954397,1.0004241271159289,74.91601851394748,0.004272925610913533,20.858884677506,21.364628054567664,36.355151225259995,0.00012486003085657914,0.00021364628054567665,5.603821150325121e-10,1784496637.5166738,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
6.0,800.0,even,3.0,60.0,120.0,0.006642167739162633,0.0066411098784295046,1.0001592897501312,66.42167739162633,0.0034689461894811123,17.205118794054997,17.344730947405562,32.8694868324845,0.00011070279565271054,0.00017344730947405562,0.0075847495047429,131.84351037231704,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
6.0,800.0,odd,3.0,60.0,120.0,0.006642167717409745,0.006641109858949534,1.0001592894083489,66.42167717409745,0.0034689462054441032,17.205118817448504,17.344731027220515,32.869486724923505,0.00011070279529016242,0.00017344731027220517,0.0075847882058402,131.84283764575096,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
12.0,400.0,even,3.0,60.0,120.0,0.0074871213866064545,0.007484555170973807,1.0003428681563602,74.87121386606454,0.004275294833605279,20.948543240238,21.376474168026395,36.507984053293995,0.0001247853564434409,0.00021376474168026397,1.0047892230327828e-08,99523360.42992903,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
12.0,400.0,odd,3.0,60.0,120.0,0.007487121384969471,0.007484555169417961,1.0003428681455908,74.8712138496947,0.004275294827403607,20.948543206517,21.376474137018036,36.50798404235,0.00012478535641615785,0.00021376474137018036,1.0047892264120881e-08,99523360.09521228,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
12.0,800.0,even,3.0,60.0,120.0,0.007429729218289233,0.00742866061139891,1.0001438492005792,74.29729218289233,0.004257318032327295,21.144883670962997,21.28659016163647,36.834948919662,0.00012382882030482055,0.00021286590161636475,0.0168309929372067,59.41420115443035,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
12.0,800.0,odd,3.0,60.0,120.0,0.007429729237842857,0.00742866063157322,1.0001438491166355,74.29729237842857,0.004257318083894455,21.144883903543004,21.286590419472276,36.8349490073285,0.00012382882063071427,0.00021286590419472275,0.0168309976894491,59.414184378794616,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
18.0,400.0,even,3.0,60.0,120.0,0.007513534726444278,0.007511300105793977,1.0002975011807314,75.13534726444277,0.0042955869731681,21.087505975767506,21.477934865840496,36.726492605209,0.0001252255787740713,0.00021477934865840497,5.0429007792054196e-08,19829856.738874093,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
18.0,400.0,odd,3.0,60.0,120.0,0.0075135347261459946,0.00751130010540255,1.0002975011931472,75.13534726145994,0.004295586970983194,21.0875059671555,21.47793485491597,36.726492603207,0.00012522557876909991,0.00021477934854915968,5.0429008070359106e-08,19829856.62943814,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
18.0,800.0,even,3.0,60.0,120.0,0.007445445381099066,0.007444493904991912,1.0001278093741894,74.45445381099066,0.004268684687260225,21.213659795227,21.343423436301126,36.941075650026,0.00012409075635165108,0.00021343423436301126,0.0260580967062911,38.37578819632562,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
18.0,800.0,odd,3.0,60.0,120.0,0.007445445373561365,0.007444493897279389,1.0001278093978052,74.45445373561365,0.004268684678680497,21.213659756993,21.343423393402485,36.9410756148555,0.00012409075622602276,0.00021343423393402485,0.0260580974101955,38.37578715968492,1.0,tail_box_control_closed_but_R_flow_needs_large_tube
