D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,s24_interval_L_bound,dH_over_s24_L,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,left,60.0,0.0,0.0,0.0,2.749013073759001e-05,0.0002640627626675,0.10410453355820097,0.0001352501142856989,0.0001339354303641473,3935.7596615894804,0.5323119440310209,0.026818556731636897
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,left,60.0,1.0,0.064,0.064,5.034549796303697e-05,0.0002640627626675,0.1906573174288513,0.0031313362412714015,0.0031156140831083063,131.0757243207425,0.41256694470557365,1.1942883855744826e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,left,60.0,2.0,-0.064,0.064,4.711114888687351e-05,0.0002640627626675,0.1784089070756049,0.0027385993231862716,0.002723883889018573,137.71398910066344,0.37915967249382615,1.45540391320519e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,left,60.0,3.0,0.064,-0.064,5.3319810635328546e-05,0.0002640627626675,0.2019209755162157,0.003314256037133401,0.0032975987130478127,128.01430725778172,0.42644445772192585,2.6495168521109413e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,left,60.0,4.0,-0.064,-0.064,5.01569564800271e-05,0.0002640627626675,0.18994331488981372,0.0029452922853726833,0.0029296279872600608,133.85794043889,0.39632671096373284,1.1513183096982935e-06
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,mid,60.3125,0.0,0.0,0.0,2.7850743711720256e-05,0.0002640627626675,0.10547016713139933,0.0001339354303641473,0.00013405100650035654,3938.7967512238292,0.5312091706905273,0.027977400139770986
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,mid,60.3125,1.0,0.064,0.064,4.9821297924785315e-05,0.0002640627626675,0.18867218316396553,0.0031156140831083063,0.0031000542371550856,130.40397900034034,0.40838137264732727,1.195951775678881e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,mid,60.3125,2.0,-0.064,0.064,4.656496018823492e-05,0.0002640627626675,0.1763405022269957,0.002723883889018573,0.0027093387052572696,136.98516452269456,0.3751169162037765,1.4350015087735288e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,mid,60.3125,3.0,0.064,-0.064,5.282581614706085e-05,0.0002640627626675,0.20005022901914254,0.0032975987130478127,0.003281095174561772,127.36581138193635,0.4221398148649682,5.899119870920181e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,mid,60.3125,4.0,-0.064,-0.064,4.960287834996773e-05,0.0002640627626675,0.18784503293418242,0.0029296279872600608,0.0029141361745466925,133.16032781709984,0.39215396862676244,6.587818141396917e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,right,60.625,0.0,0.0,0.0,2.8477226712146054e-05,0.0002640627626675,0.1078426447730676,0.00013405100650035654,0.0001356794158628891,3850.1400137592045,0.5279996689018888,0.02869852344209704
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,right,60.625,1.0,0.064,0.064,4.932174388829711e-05,0.0002640627626675,0.18678038277741413,0.0031000542371550856,0.0030846490971767346,129.73902875073387,0.40425940764188784,1.195951775678881e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,right,60.625,2.0,-0.064,0.064,4.60276085678387e-05,0.0002640627626675,0.17430556320353016,0.0027093387052572696,0.002694961028155295,136.26363455621959,0.37113920828737135,1.422482156265439e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,right,60.625,3.0,0.064,-0.064,5.234416879711961e-05,0.0002640627626675,0.19822624086922033,0.003281095174561772,0.00326474170150931,126.7241600347709,0.4178993491294163,5.899119870920181e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,0.0,right,60.625,4.0,-0.064,-0.064,4.9051545329747215e-05,0.0002640627626675,0.18575714665044035,0.0029141361745466925,0.0028988159809658245,132.46975061924695,0.38804732830630684,2.5659488090224294e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,left,60.625,0.0,0.0,0.0,2.8477226712146054e-05,0.0002640627626675,0.1078426447730676,0.00013405100650035654,0.0001356794158628891,3850.1400137592045,0.5279996689018888,0.02869852344209704
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,left,60.625,1.0,0.064,0.064,4.932174388829711e-05,0.0002640627626675,0.18678038277741413,0.0031000542371550856,0.0030846490971767346,129.73902875073387,0.40425940764188784,1.195951775678881e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,left,60.625,2.0,-0.064,0.064,4.60276085678387e-05,0.0002640627626675,0.17430556320353016,0.0027093387052572696,0.002694961028155295,136.26363455621959,0.37113920828737135,1.422482156265439e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,left,60.625,3.0,0.064,-0.064,5.234416879711961e-05,0.0002640627626675,0.19822624086922033,0.003281095174561772,0.00326474170150931,126.7241600347709,0.4178993491294163,5.899119870920181e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,left,60.625,4.0,-0.064,-0.064,4.9051545329747215e-05,0.0002640627626675,0.18575714665044035,0.0029141361745466925,0.0028988159809658245,132.46975061924695,0.38804732830630684,2.5659488090224294e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,mid,60.9375,0.0,0.0,0.0,2.939479247891628e-05,0.0002640627626675,0.11131744658723174,0.0001356794158628891,0.00013889038048988625,3702.9251840480565,0.5223847480571846,0.028944753023880162
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,mid,60.9375,1.0,0.064,0.064,4.884452948586027e-05,0.0002640627626675,0.18497318210430092,0.0030846490971767346,0.003069391806832878,129.08087031167508,0.40019937790453763,1.1320027091766928e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,mid,60.9375,2.0,-0.064,0.064,4.5498903049194976e-05,0.0002640627626675,0.17230336678135058,0.002694961028155295,0.0026807481732563994,135.5492919766663,0.367225184683807,1.411360567548653e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,mid,60.9375,3.0,0.064,-0.064,5.1876788800386604e-05,0.0002640627626675,0.19645628287888633,0.00326474170150931,0.0032485337739789,126.08931080365954,0.4137216498542561,5.602982499616088e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,mid,60.9375,4.0,-0.064,-0.064,4.850951825189588e-05,0.0002640627626675,0.18370450177020087,0.0028988159809658245,0.0028836645552345543,131.78610395655437,0.38400543008963045,2.5659488090224294e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,1.0,right,61.25,0.0,0.0,0.0,3.062680458644123e-05,0.0002640627626675,0.1159830499274356,0.00013889038048988625,0.0001437362718056032,3505.893206037749,0.5143006877380166,0.028944753023880162
