profile,D,chi
linear_interp,4.0,0.0004018269779724134
linear_interp,5.0,0.0004018269779724134
linear_interp,6.0,0.0004018269779724134
linear_interp,7.0,0.00037175813472581777
linear_interp,8.0,0.0003416892914792221
linear_interp,9.0,0.0003116204482326265
linear_interp,10.0,0.0002815516049860309
linear_interp,11.0,0.00025148276173943523
linear_interp,12.0,0.00022141391849283962
linear_interp,13.0,0.0002200426867984413
linear_interp,14.0,0.00021867145510404295
linear_interp,15.0,0.0002173002234096446
linear_interp,16.0,0.00021592899171524627
linear_interp,17.0,0.00021455776002084795
linear_interp,18.0,0.0002131865283264496
linear_interp,19.0,0.0002131865283264496
linear_interp,20.0,0.0002131865283264496
exp_fit,4.0,0.00040693103348104197
exp_fit,5.0,0.00038599427817048693
exp_fit,6.0,0.0003661347268253904
exp_fit,7.0,0.00034729695689502885
exp_fit,8.0,0.0003294283973398374
exp_fit,9.0,0.00031247918192008544
exp_fit,10.0,0.0002964020100329036
exp_fit,11.0,0.00028115201470929873
exp_fit,12.0,0.0002666866374027715
exp_fit,13.0,0.00025296550922010935
exp_fit,14.0,0.00023995033826289573
exp_fit,15.0,0.0002276048027653451
exp_fit,16.0,0.00021589444973023507
exp_fit,17.0,0.00020478659878005818
exp_fit,18.0,0.00019425025095506823
exp_fit,19.0,0.0001842560022037014
exp_fit,20.0,0.00017477596132394946
linear_interp_x0.8,4.0,0.0003214615823779307
linear_interp_x0.8,5.0,0.0003214615823779307
linear_interp_x0.8,6.0,0.0003214615823779307
linear_interp_x0.8,7.0,0.0002974065077806542
linear_interp_x0.8,8.0,0.0002733514331833777
linear_interp_x0.8,9.0,0.0002492963585861012
linear_interp_x0.8,10.0,0.00022524128398882472
linear_interp_x0.8,11.0,0.0002011862093915482
linear_interp_x0.8,12.0,0.00017713113479427171
linear_interp_x0.8,13.0,0.00017603414943875305
linear_interp_x0.8,14.0,0.00017493716408323437
linear_interp_x0.8,15.0,0.00017384017872771568
linear_interp_x0.8,16.0,0.00017274319337219702
linear_interp_x0.8,17.0,0.00017164620801667836
linear_interp_x0.8,18.0,0.00017054922266115968
linear_interp_x0.8,19.0,0.00017054922266115968
linear_interp_x0.8,20.0,0.00017054922266115968
linear_interp_x1.2,4.0,0.00048219237356689605
linear_interp_x1.2,5.0,0.00048219237356689605
linear_interp_x1.2,6.0,0.00048219237356689605
linear_interp_x1.2,7.0,0.0004461097616709813
linear_interp_x1.2,8.0,0.0004100271497750665
linear_interp_x1.2,9.0,0.0003739445378791518
linear_interp_x1.2,10.0,0.00033786192598323704
linear_interp_x1.2,11.0,0.00030177931408732224
linear_interp_x1.2,12.0,0.00026569670219140756
linear_interp_x1.2,13.0,0.00026405122415812957
linear_interp_x1.2,14.0,0.0002624057461248515
linear_interp_x1.2,15.0,0.0002607602680915735
linear_interp_x1.2,16.0,0.0002591147900582955
linear_interp_x1.2,17.0,0.0002574693120250175
linear_interp_x1.2,18.0,0.0002558238339917395
linear_interp_x1.2,19.0,0.0002558238339917395
linear_interp_x1.2,20.0,0.0002558238339917395
exp_fit_x0.8,4.0,0.0003255448267848336
exp_fit_x0.8,5.0,0.00030879542253638956
exp_fit_x0.8,6.0,0.00029290778146031233
exp_fit_x0.8,7.0,0.0002778375655160231
exp_fit_x0.8,8.0,0.00026354271787186993
exp_fit_x0.8,9.0,0.00024998334553606835
exp_fit_x0.8,10.0,0.00023712160802632292
exp_fit_x0.8,11.0,0.000224921611767439
exp_fit_x0.8,12.0,0.0002133493099222172
exp_fit_x0.8,13.0,0.0002023724073760875
exp_fit_x0.8,14.0,0.0001919602706103166
exp_fit_x0.8,15.0,0.0001820838422122761
exp_fit_x0.8,16.0,0.00017271555978418807
exp_fit_x0.8,17.0,0.00016382927902404656
exp_fit_x0.8,18.0,0.0001554002007640546
exp_fit_x0.8,19.0,0.00014740480176296113
exp_fit_x0.8,20.0,0.00013982076905915956
exp_fit_x1.2,4.0,0.0004883172401772503
exp_fit_x1.2,5.0,0.0004631931338045843
exp_fit_x1.2,6.0,0.00043936167219046847
exp_fit_x1.2,7.0,0.0004167563482740346
exp_fit_x1.2,8.0,0.00039531407680780487
exp_fit_x1.2,9.0,0.00037497501830410253
exp_fit_x1.2,10.0,0.00035568241203948436
exp_fit_x1.2,11.0,0.00033738241765115845
exp_fit_x1.2,12.0,0.00032002396488332575
exp_fit_x1.2,13.0,0.0003035586110641312
exp_fit_x1.2,14.0,0.0002879404059154749
exp_fit_x1.2,15.0,0.0002731257633184141
exp_fit_x1.2,16.0,0.0002590733396762821
exp_fit_x1.2,17.0,0.00024574391853606983
exp_fit_x1.2,18.0,0.00023310030114608187
exp_fit_x1.2,19.0,0.00022110720264444168
exp_fit_x1.2,20.0,0.00020973115358873936
