h_cap,signed_mass,signed_mass_over_required_global,signed_mass_over_required_local,min_phiL,min_phiR,min_phiL_boundary,min_phiR_boundary,min_rhs0,max_rhs0,kappa_needed,all_phiL_positive,all_phiR_positive,boundary_phiL_positive,boundary_phiR_positive,rhs0_nonnegative,admissible_global,point_count,boundary_count
0.03,0.15538482480942128,1.0692481807461611,1.1014157426289959,0.0003397757172713424,0.0077871024723240095,0.0003397757172713424,0.0077871024723240095,-0.022948038505604014,0.15890624981365395,63.17725048941979,1,1,1,1,0,0,480,100
0.06,0.15534821881329564,1.0689962842381864,1.1011562679958915,0.0024747334846214157,0.0077871024723240095,0.0024747334846214157,0.0077871024723240095,-0.01790861102737462,0.15890624981365395,6.736156805018094,1,1,1,1,0,0,468,98
0.09,0.1550960120170601,1.0672607759066786,1.099368548145433,0.00462645195996682,0.0077871024723240095,0.00462645195996682,0.0077871024723240095,-0.012966407926430112,0.15890624981365395,2.617706284306177,1,1,1,1,0,0,456,96
0.12,0.1546265259222374,1.064030105515342,1.0960406853607796,0.006791738064329146,0.0077871024723240095,0.006791738064329146,0.0077871024723240095,-0.007955196171359256,0.15890624981365395,1.0969500672274832,1,1,1,1,0,0,444,94
0.15,0.15393840091293975,1.059294917151743,1.0911630422636063,0.008967345613445485,0.0077871024723240095,0.008967345613445485,0.0077871024723240095,-0.00287122736629266,0.15890624981365395,0.30027544862136235,1,1,1,1,0,0,432,92
0.18,0.15303059580183004,1.0530480461029348,1.0847282385957344,0.011149979097146026,0.0077871024723240095,0.011149979097146026,0.0077871024723240095,0.0022299831409211025,0.15890624981365395,0.0,1,1,1,1,1,1,420,90
0.21,0.15190239236490694,1.0452845500606336,1.076731183363093,0.013336297705280192,0.0077871024723240095,0.013336297705280192,0.0077871024723240095,0.007414062014569258,0.15890624981365395,0.0,1,1,1,1,1,1,408,88
0.24,0.15055340153219926,1.0360017517211881,1.0671691187172774,0.015522919618583176,0.0077871024723240095,0.015522919618583176,0.0077871024723240095,0.012657257602863365,0.15890624981365395,0.0,1,1,1,1,1,1,396,86
0.27,0.14898356961926437,1.0251992816663316,1.0560416641263382,0.017706426575362488,0.0077871024723240095,0.017706426575362488,0.0077871024723240095,0.01795102706453731,0.15890624981365395,0.0,1,1,1,1,1,1,384,84
0.3,0.14719318398003117,1.0128791172620397,1.0433508564438831,0.019883368716570964,0.0077871024723240095,0.019883368716570964,0.0077871024723240095,0.023289697308911426,0.15890624981365395,0.0,1,1,1,1,1,1,372,82
0.33,0.1451828778764157,0.9990456161677719,1.02910118442642,0.02205026970335034,0.0077871024723240095,0.02205026970335034,0.0077871024723240095,0.02875204269308414,0.15890624981365395,0.0,1,1,1,1,1,0,360,80
0.36,0.14295363451381427,0.9837055441058731,1.0132996173381803,0.024203632093178665,0.0077871024723240095,0.024203632093178665,0.0077871024723240095,0.03420099827469704,0.15890624981365395,0.0,1,1,1,1,1,0,348,78
0.39,0.14050679024420576,0.9668680969030531,0.9959556276557018,0.02633994295393075,0.0077871024723240095,0.02633994295393075,0.0077871024723240095,0.03941983477190964,0.15890624981365395,0.0,1,1,1,1,1,0,336,76
