term,value,role
P_mass_11,0.0018808531747797604,target_positive_mass_carrier
W_pos_11,0.02029204084082765,positive_oriented_carrier_moment
mass_kernel_avg_weighted,0.09268920704099302,weighted_mass_kernel_average
mass_kernel_min_anchor,0.04367922996882942,coarse_kernel_floor
lower_product_from_kernel_min,0.0008863407184233897,coarse_lower_product
required_Pmass_global,0.001762490212369852,global_mass_target
required_Pmass_local,0.001711015541380521,local_mass_target
required_Wpos_global_given_kavg,0.019015053301625156,global_carrier_target
required_Wpos_local_given_kavg,0.018459706323993057,local_carrier_target
required_kavg_global_given_Wpos,0.08685623226342597,global_weighted_kernel_target
required_kavg_local_given_Wpos,0.08431953960677785,local_weighted_kernel_target
P_mass_plus_11,0.000947708225299184,plus_lobe_mass
P_mass_minus_11,0.0009331449494805764,minus_lobe_mass
W_pos_plus_11,0.010172341839509923,plus_lobe_carrier
W_pos_minus_11,0.01011969900131773,minus_lobe_carrier
kavg_plus_11,0.09316519639737571,plus_lobe_weighted_kernel
kavg_minus_11,0.09221074158026514,minus_lobe_weighted_kernel
