D,delta,gamma_phi_geom,gamma_mix_geom,Gamma_ref,Cmax,Pmax,chi_eff_proxy,chi_LR_baseline,ratio_proxy_to_baseline
4.0,0.50025586568779,0.6213208522934441,0.250127932843895,475.0029831292905,0.08355209975865689,0.5000000000876433,8.799403262573344e-05,0.0005265818146994,0.16710419951734368
5.0,0.5083599711808584,0.6404514031426151,0.2541799855904292,767.6149152622555,0.08302633270974728,0.5000000002623008,5.498494526928178e-05,0.0003311295553755,0.16605266541951838
6.0,0.45494799506753925,0.6569013704488731,0.2274739975337696,566.0993661540692,0.07765802084708966,0.5000000000479424,6.241017566460428e-05,0.0004018269779723,0.15531604169421032
7.0,0.4625088125338248,0.6722669424788018,0.2312544062669124,869.0649886602495,0.07738635893604605,0.5000000000677162,4.11843457564707e-05,0.0002660956421951,0.1547727178721497
8.0,0.4170096953791287,0.6874498537696307,0.2085048476895643,651.2176638510591,0.07258762613129056,0.5000000000571201,4.648176107862238e-05,0.0003201768920955,0.14517525226260908
9.0,0.3796056602450433,0.7026152936510993,0.1898028301225216,505.0602635745723,0.06812727755292376,0.5000000000351601,5.12047809763131e-05,0.0003758023424357,0.13625455510585133
10.0,0.38589582253575516,0.7173175074257658,0.1929479112678775,735.6179024334008,0.06799450876739915,0.5000000000362521,3.5669056995368095e-05,0.0002622936590172,0.13598901753484283
11.0,0.3530642967646016,0.7312875857398454,0.1765321483823008,576.0904607435714,0.0639046469542197,0.5000000000284418,3.9164767991054594e-05,0.0003064312992692,0.12780929390848006
12.0,0.3581076515471495,0.7443885570369847,0.1790538257735747,808.6836951913015,0.06376507479026079,0.5000000000431711,2.8236950144601176e-05,0.0002214139184928,0.12753014958054407
13.0,0.33069517318911057,0.7566022412789183,0.165347586594555,647.5026136368251,0.06028175048305304,0.5000000000276235,3.078734123429675e-05,0.0002553620373296,0.12056350096611666
14.0,0.3340105442690202,0.7679654319541176,0.1670052721345101,876.0507428436198,0.060086951919895416,0.5000000000386572,2.2909261453378245e-05,0.0001906342452178,0.12017390383980785
15.0,0.3102001756913655,0.7785028504371818,0.1551000878456827,711.052191628537,0.056973743050430285,0.5000000000248884,2.485508843388943e-05,0.0002181275716068,0.11394748610090237
16.0,0.3135959776662518,0.7882863473989171,0.1567979888331261,943.9701591301788,0.056913664840968145,0.5000000000345641,1.8907267561104634e-05,0.0001661048151962,0.11382732968199455
17.0,0.29205315643417684,0.7973941441335026,0.1460265782170884,770.7544642697823,0.05402105675345568,0.5000000000226612,2.0469579963709693e-05,0.0001894592700873,0.1080421135069169
18.0,0.2733889375921792,0.8058540943634039,0.1366944687960896,641.1965609138879,0.05138075105706065,0.5000000000293966,2.1907367881320464e-05,0.0002131865283264,0.10276150211414443
19.0,0.2764233537842071,0.8137388404890595,0.1382116768921035,831.2867223610073,0.0514385693411956,0.5000000000292214,1.7104593960999048e-05,0.0001662623414693,0.10287713868240798
20.0,0.25927789086048225,0.8211201470581231,0.1296389454302411,694.2806102678599,0.0490208773587961,0.5000000000190797,1.8306761706646786e-05,0.0001867241336038,0.09804175471763564
