D,kappa_env_canonical,kappa_env_bath_shape,kappa_env_bath_shape_rel_shift,kappa_env_response_linear,kappa_env_response_linear_rel_shift,kappa_env_system_total,kappa_env_system_total_rel_shift,kappa_env_uniform,kappa_env_uniform_rel_shift,bath_norm_from_mix,bath_norm_from_obs,bath_phi_identifiable
4.0,430546.4345656163,435029.714402308,0.010412999566968617,258846.6875080732,-0.39879495746091387,381193.42151113553,-0.1146287812237341,433444.09102361434,0.0067301833794570776,430546.4345657834,430546.4345655561,1
5.0,430546.4345656163,426073.2801546503,-0.010389481950951573,238229.05585092495,-0.4466820841490019,321114.2229943066,-0.2541705209606886,433444.09102361434,0.0067301833794570776,430546.43456567614,430546.43456567626,1
6.0,430546.4345656163,433208.66179879877,0.0061833684347389894,1574405.6302123207,2.656761510058162,899594.6662773761,1.0894254232647134,433444.09102361434,0.0067301833794570776,430546.4345656072,430546.4345656163,0
7.0,430546.4345656163,425136.799917992,-0.012564578900954526,277354.29342243384,-0.3558086395436997,336085.74024686037,-0.21939722811561202,433444.09102361434,0.0067301833794570776,430546.4345657684,430546.43456576864,1
8.0,430546.4345656163,431662.45459346933,0.0025921014279888244,446161.5274905689,0.03626808091142797,462105.0623585848,0.07329901088324742,433444.09102361434,0.0067301833794570776,430546.4345656933,430546.4345656942,1
9.0,430546.4345656163,437414.6881551457,0.0159524107927147,588513.5809275765,0.36689920919060737,569933.61522922,0.32374482627926815,433444.09102361434,0.0067301833794570776,430546.43456585513,430546.4345658578,0
10.0,430546.4345656163,430168.39863026,-0.0008780375471874047,392153.0337762139,-0.08917365865109994,419957.21878084034,-0.024594828651779643,433444.09102361434,0.0067301833794570776,430546.4345657768,430546.43456577754,1
11.0,430546.4345656163,435559.54956778843,0.011643610536991034,3483459.6113868803,7.090787268744627,1335175.3316927084,2.101118078099482,433444.09102361434,0.0067301833794570776,430546.43456561235,430546.4345656163,1
12.0,430546.4345656163,429029.3314085578,-0.0035236690755299227,405909.5272992837,-0.05722241618651214,417149.43765611044,-0.03111626489956243,433444.09102361434,0.0067301833794570776,430546.43456567934,430546.4345656798,0
13.0,430546.4345656163,433831.3663326639,0.007629680571764164,873654.5374667827,1.0291761058205573,650671.6933152626,0.5112694963360536,433444.09102361434,0.0067301833794570776,430546.4345659791,430546.43456598226,1
14.0,430546.4345656163,428030.9820779283,-0.005842465029877397,452890.7865077583,0.051897658761674625,431582.3558598598,0.002406061718496444,433444.09102361434,0.0067301833794570776,430546.43456566223,430546.434565663,1
15.0,430546.4345656163,432465.66655140807,0.004457665496006458,655544.5579622596,0.5225873572118807,550227.3367592389,0.277974435706035,433444.09102361434,0.0067301833794570776,430546.43456596544,430546.43456596695,0
16.0,430546.4345656163,427020.1075001842,-0.008190352497030595,529217.0034800309,0.22917520850907658,457594.2380737569,0.06282203575888268,433444.09102361434,0.0067301833794570776,430546.43456583854,430546.4345658394,1
17.0,430546.4345656163,431270.5691582769,0.0016818966190979001,618665.6386446491,0.4369312784318573,523255.57259566366,0.2153290111984849,433444.09102361434,0.0067301833794570776,430546.4345656298,430546.4345656298,1
18.0,430546.4345656163,435147.32771042595,0.010686171746960405,1759541.8523124626,3.086764425508915,928608.0142864262,1.156812691349565,433444.09102361434,0.0067301833794570776,430546.43456561386,430546.4345656163,0
19.0,430546.4345656163,430102.2167427101,-0.0010317535746274809,655363.3157353383,0.5221663986058611,527943.5191316807,0.22621737575025924,433444.09102361434,0.0067301833794570776,430546.4345659195,430546.43456592143,1
20.0,430546.4345656163,433854.82559432235,0.007684167753110982,1105898.8374590913,1.568593649079562,720702.6470637389,0.6739254798169791,433444.09102361434,0.0067301833794570776,430546.4345658629,430546.43456586514,1
