D,kappa_env,tau_scale,tau_floor,delta,delta_micro,omega1,gamma_ref,Gamma_ref,gamma_ref_micro,V11_deltaV,V22_deltaV,V12_deltaV,VLL_deltaV,VRR_deltaV,VLR_deltaV,g_z_micro,g_x_micro,tau_env,Szz_0,Sxx_delta,gamma_phi_micro,gamma_mix_micro,Cmax_micro,Pmax_micro,chi_eff_micro,chi_LR_baseline,ratio_micro_to_baseline
4.0,430546.4345656163,1.0,1e-06,0.5002558656877873,0.5002558656877873,1.7512011374518028,475.0029831292905,475.0029831292905,475.0029831292905,0.007142285352894406,0.007971232595178767,-2.3873472845301926e-06,0.0075543716267520555,0.0075591463213211165,-0.00041447362114218055,2.387347284530522e-06,0.00041447362114218055,0.5710366322940573,1.1420732645881146,1.0559068677898105,2.8024970358454056e-06,0.07809790834765044,0.3211732607166098,0.6966971188299287,0.00010561179937825583,0.0005265818146994,0.20056104565355048
5.0,430546.4345656163,1.0,1e-06,0.508359971180862,0.508359971180862,1.829303494766778,767.6149152622555,767.6149152622555,767.6149152622555,0.010557528635267847,0.009389663521931766,1.3329446380920788e-05,0.009986925524980726,0.009960266632218884,0.0005839325566680407,1.3329446380921234e-05,0.0005839325566680407,0.5466561469219149,1.0933122938438298,1.0149317950893333,8.363507538710663e-05,0.1489986159999165,0.23425477711935191,0.593262692521251,9.094048822703639e-05,0.0003311295553755,0.2746371827906154
6.0,430546.4345656163,1.0,1e-06,0.4549479950675579,0.4549479950675579,1.779356502978426,566.0993661540692,566.0993661540692,566.0993661540692,0.012043076246780778,0.011894232310779636,5.022947728865364e-17,0.011968654278780255,0.011968654278780156,7.442196800057124e-05,4.9439619065339e-17,7.442196800057124e-05,0.5620009246748034,1.124001849349607,1.055031414749071,1.1828706461312668e-27,0.002515867060208453,0.49113609166976263,0.98286647064795,4.365428364656341e-06,0.0004018269779723,0.010863950416383621
7.0,430546.4345656163,1.0,1e-06,0.4625088125338248,0.4625088125338248,1.8500632169333413,869.0649886602495,869.0649886602495,869.0649886602495,0.013799519497200432,0.012733493624877244,1.4333432886330124e-05,0.013280839993925165,0.013252173128152505,0.0005330129361615942,1.4333432886330134e-05,0.0005330129361615942,0.5405220701904428,1.0810441403808857,1.0174551180547877,9.56233289409531e-05,0.12445454365821496,0.24654588517643364,0.605779696812876,7.061325914819278e-05,0.0002660956421951,0.26536796531383816
8.0,430546.4345656163,1.0,1e-06,0.41700969537913046,0.41700969537913046,1.802159760664197,651.2176638510591,651.2176638510591,651.2176638510591,0.014838917814274476,0.014275133530290826,9.186073160686342e-06,0.014566211745443336,0.014547839599121962,0.0002818921419918255,9.186073160687147e-06,0.0002818921419918255,0.5548897616221571,1.1097795232443142,1.0533781061906398,4.0319626864906166e-05,0.03603879189930997,0.3867576253927975,0.7946960854197365,4.280681667808738e-05,0.0003201768920955,0.13369739582992543
9.0,430546.4345656163,1.0,1e-06,0.3796056602450468,0.3796056602450468,1.7609964189800305,505.0602635745723,505.0602635745723,505.0602635745723,0.015156307424303975,0.01552713869037508,-1.0139005554457656e-15,0.01534172305733851,0.015341723057340538,-0.00018541563303555196,1.0139458717084437e-15,0.00018541563303555196,0.5678603256781182,1.1357206513562363,1.0852900402512333,5.027140956184014e-25,0.016064178123533397,0.43912560928426414,0.884573083536553,2.793406060584292e-05,0.0003758023424357,0.07433178948484721
10.0,430546.4345656163,1.0,1e-06,0.38589582253576715,0.38589582253576715,1.8222365511053153,735.6179024334008,735.6179024334008,735.6179024334008,0.01625131745888919,0.015568635576492662,-1.0268139025452579e-05,0.01589970837866547,0.015920244656716372,0.0003413409411982639,1.026813902545165e-05,0.0003413409411982639,0.5487761725520374,1.0975523451040747,1.0504434078356857,4.982286752539539e-05,0.05269500139889739,0.3376941359791474,0.7198201906669056,4.838053263509767e-05,0.0002622936590172,0.18445178132165635
11.0,430546.4345656163,1.0,1e-06,0.35306429676460915,0.35306429676460915,1.782188752750411,576.0904607435714,576.0904607435714,576.0904607435714,0.016430913379904315,0.016363833878330753,4.059772602216229e-06,0.016401433401719748,0.016393313856515317,3.3539750786780116e-05,4.0597726022155445e-06,3.3539750786780116e-05,0.5611077942539604,1.1222155885079208,1.0798358803832027,7.963421639866888e-06,0.0005229948516151048,0.4975393982597831,0.9952609358114317,9.033669588268651e-07,0.0003064312992692,0.002948024438042985
12.0,430546.4345656163,1.0,1e-06,0.3581076515471522,0.3581076515471522,1.8379915777816807,808.6836951913015,808.6836951913015,808.6836951913015,0.016874247872454187,0.016182031982117335,5.2398305150098273e-17,0.01652813992728581,0.016528139927285707,0.0003461079451684255,5.204170427930421e-17,0.0003461079451684255,0.5440721340012481,1.0881442680024962,1.0483477094468239,1.268847700260342e-27,0.05406901845690515,0.32535117082667325,0.7024855948514864,4.350630182111359e-05,0.0002214139184928,0.1964930755811015
13.0,430546.4345656163,1.0,1e-06,0.33069517318911545,0.33069517318911545,1.8012226995486147,647.5026136368251,647.5026136368251,647.5026136368251,0.016999610823946732,0.01671530705512341,5.445680133296628e-06,0.016862904619668363,0.016852013259401773,0.00014215188441166042,5.445680133294925e-06,0.00014215188441166042,0.5551784353209624,1.110356870641925,1.0741504168366907,1.4177081562935259e-05,0.009345237453317567,0.45808196078516256,0.9192649843934332,1.322275650000615e-05,0.0002553620373296,0.051780431571899314
