D,gamma_mix_micro,kappa_env,g_x_micro,Sxx_delta,rate_kernel_mix,numerator_residual_abs,mix_factorization_witness_abs
4.0,0.0780979083476504,430546.4345656163,0.0004144736211421,1.0559068677898105,1.8139253301775465e-07,3.0309088572266774e-14,1.6705598682165146e-07
5.0,0.1489986159999165,430546.4345656163,0.000583932556668,1.0149317950893333,3.460686328763177e-07,2.067790383364354e-14,5.977926775813103e-08
6.0,0.0025158670602084,430546.4345656163,7.442196800057124e-05,1.055031414749071,5.843427928387661e-09,5.2909066017292616e-17,9.080395102500916e-09
7.0,0.1244545436582149,430546.4345656163,0.0005330129361615,1.0174551180547875,2.890618378566639e-07,4.3978709562964013e-14,1.5209661796689034e-07
8.0,0.0360387918993099,430546.4345656163,0.0002818921419918,1.0533781061906398,8.370477376189039e-08,6.439293542825908e-15,7.695052772760391e-08
9.0,0.0160641781235333,430546.4345656163,0.0001854156330355,1.085290040251233,3.731113959805924e-08,8.909539772616881e-15,2.3882603272795677e-07
10.0,0.0526950013988973,430546.4345656163,0.0003413409411982,1.0504434078356857,1.2239098310509134e-07,1.9644008641961364e-14,1.6047852113842964e-07
11.0,0.0005229948516151,430546.4345656163,3.3539750786780116e-05,1.0798358803832029,1.2147234528669615e-09,4.7704895589362195e-18,3.899913281202316e-09
12.0,0.0540690184569051,430546.4345656163,0.0003461079451684,1.048347709446824,1.255823161361169e-07,7.903400156550333e-15,6.298068910837173e-08
13.0,0.0093452374533175,430546.4345656163,0.0001421518844116,1.0741504168366909,2.1705527448481023e-08,7.875644580934704e-15,3.6280835047364235e-07
14.0,0.0470511865166611,430546.4345656163,0.0003231964652699,1.0462064133240911,1.0928249020138005e-07,5.016820292524926e-15,4.5925844460725784e-08
15.0,0.0182274256429793,430546.4345656163,0.0001989347107987,1.0697547026876522,4.233556285596559e-08,1.4776374568370443e-14,3.490131348371506e-07
16.0,0.0371294892782891,430546.4345656163,0.000287488525032,1.0434170977946018,8.623806004973736e-08,1.9165224962591765e-14,2.2223684936761856e-07
17.0,0.0221836163896344,430546.4345656163,0.0002198751386778,1.0657616697330898,5.1524329569736265e-08,6.973588373426765e-16,1.3504177331924438e-08
18.0,0.0022814989345445,430546.4345656163,6.98441504066144e-05,1.086276027423199,5.299077524231145e-09,1.3010426069826053e-17,2.444721758365631e-09
19.0,0.0213213587101054,430546.4345656163,0.0002159887757783,1.0615305904877446,4.9521624146305544e-08,1.5015766408055242e-14,3.032037056982517e-07
20.0,0.0062536348939074,430546.4345656163,0.0001159043582856,1.0812173137231778,1.4524879064933354e-08,3.581336616154118e-15,2.4656765162944794e-07
