objective_tol,lambda_upper,family_g_floor,proxy_name,envelope,xi_upper,a_upper_rank1,sigma_upper_rank1,trA_upper_from_sigma,opA_upper_from_sigma,opA_consistency_residual,heff_loewner_factor,cor1_logdet_gap_upper,lifted_g_floor,separator_min,eps_delta_factor_max,tail_mass_upper,eps0_upper,eps_delta_upper,delta_q_ref,conditional_statement,summary_role
1.500329e-07,0.1259406082189533,1.3474339529535382,runnerup_blend_abs_action,p95,0.1796951674928049,0.0028501516641267,0.0028542210805229,0.0028542210805229,0.002850151664126721,2.1250362580715887e-17,0.9971498483358733,0.00571659649526757,1.3455123872264525,0.0121312899594229,0.5716700499109517,0.0824314646954139,0.0898368476290993,0.0513570351679697,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",conservative raw offdiag envelope
1.500329e-07,0.1259406082189533,1.3474339529535382,xi_exact,exact,0.1332407081230305,0.0021133357746055,0.0021155720198338,0.0021155720198338,0.002113335774605485,1.5178830414797062e-17,0.9978866642253945,0.0042356228424917436,1.3460094097325896,0.0121424810519811,0.5712661353352498,0.0823554919063961,0.0897466188486092,0.0512692041090506,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",exact canonical xi
5e-07,0.1701616395593772,1.342249670208462,runnerup_blend_abs_action,p95,0.1796951674928049,0.0052030706237166,0.0052166537320748,0.0052166537320748,0.00520307062371661,1.0408340855860843e-17,0.9947969293762834,0.010460568323182954,1.3387532062754448,0.0119778845665257,0.577205167581355,0.083487196294634,0.0910922312891909,0.052578906626637,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",conservative raw offdiag envelope
5e-07,0.1701616395593772,1.342249670208462,xi_exact,exact,0.1332407081230305,0.0038579825155615,0.0038654437264364,0.0038654437264364,0.0038579825155614644,3.5561831257524545e-17,0.9961420174844385,0.007745848378736283,1.3396579802396382,0.0119985510883614,0.5764596667510279,0.0833433964347575,0.0909210669629192,0.0524123279620923,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",exact canonical xi
1e-06,0.2023574324645399,1.3375010684862083,runnerup_blend_abs_action,p95,0.1796951674928049,0.0073582530420451,0.0073854585246672,0.0073854585246672,0.007358253042045071,2.949029909160572e-17,0.9926417469579549,0.014825596575189665,1.332571147186664,0.0118355714341732,0.5823372808109192,0.0844910620126601,0.0922886260383276,0.0537431075369355,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",conservative raw offdiag envelope
1e-06,0.2023574324645399,1.3375010684862083,xi_exact,exact,0.1332407081230305,0.0054560111969053,0.0054709495867877,0.0054709495867877,0.005456011196905419,1.1882855810441129e-16,0.9945439888030946,0.010971885121887013,1.3338473676088858,0.0118651092399538,0.5812723046629771,0.0842807242458972,0.0920377308607939,0.0534989839334045,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",exact canonical xi
2e-06,0.2406448984605134,1.330785531528289,runnerup_blend_abs_action,p95,0.1796951674928049,0.0104061412474332,0.0104606637107395,0.0104606637107395,0.010406141247433331,1.3183898417423734e-16,0.9895938587525667,0.021031135461068447,1.323843252607655,0.0116313198090685,0.5896983598571351,0.0859747660983697,0.0940616986375483,0.0554680294119383,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",conservative raw offdiag envelope
2e-06,0.2406448984605134,1.330785531528289,xi_exact,exact,0.1332407081230305,0.007715965031123,0.0077458871071437,0.0077458871071437,0.00771596503112304,3.9898639947466563e-17,0.992284034968877,0.015551928196375853,1.3256414420967493,0.0116737245411593,0.5881705766421605,0.0856624632930295,0.0936880089179614,0.0551045302297332,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",exact canonical xi
2.5e-06,0.2544510003257194,1.3280792154962835,runnerup_blend_abs_action,p95,0.1796951674928049,0.0116344196063626,0.0117026290336909,0.0117026290336909,0.011634419606362578,2.2551405187698492e-17,0.9883655803936374,0.02354274539129322,1.3203308973335568,0.0115480021544717,0.5926994885245342,0.0865950652436249,0.0948046829489943,0.0561906870935995,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",conservative raw offdiag envelope
2.5e-06,0.2544510003257194,1.3280792154962835,xi_exact,exact,0.1332407081230305,0.0086267111608012,0.0086641366281079,0.0086641366281079,0.00862671116080127,7.112366251504909e-17,0.9913732888391987,0.017403557787808277,1.3223383295415243,0.0115957006276771,0.5909814860968712,0.08623885973851,0.0943779024284521,0.0557755930318721,0.001,"If the dominant-channel sigma bound is valid, then tr(A_a)<=sigma_a and ||A_a||<=1-exp(-sigma_a), hence H_eff>=exp(-sigma_a) H_PP.",exact canonical xi
