objective_tol,family_g_floor,alpha,beta,lambda,j_parent_statement,u_exact_overlap_max,u_exact_overlap_p95,u_exact_overlap_p50,xi_exact_overlap_max,xi_exact_overlap_p95,opA_upper_from_u_exact,trA_upper_from_u_exact,heff_loewner_factor_from_u_exact,cor1_logdet_gap_upper_from_u_exact,lifted_g_floor_from_u_exact,separator_min_from_u_exact,eps_delta_upper_from_u_exact,delta_q_ref
1.500329e-07,1.3474339529535382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.13324068211030102,0.0,0.0,1.0,0.0,1.3474339529535382,0.012174489269613509,0.051018956969689166,0.001
1.500329e-07,1.3474339529535382,1.0,1.0,-0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3465359884700747,0.012154324400658778,0.05117644428086032,0.001
1.500329e-07,1.3474339529535382,1.0,1.0,0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3465359884700747,0.012154324400658778,0.05117644428086032,0.001
5e-07,1.342249670208462,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.13324068211030102,0.0,0.0,1.0,0.0,1.342249670208462,0.012057523173063855,0.05194038983176479,0.001
5e-07,1.342249670208462,1.0,1.0,-0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3413551606637486,0.012037207065094369,0.052102409588877414,0.001
5e-07,1.342249670208462,1.0,1.0,0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3413551606637486,0.012037207065094369,0.052102409588877414,0.001
1e-06,1.3375010684862083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.13324068211030102,0.0,0.0,1.0,0.0,1.3375010684862083,0.011949215907840816,0.05281101770269434,0.001
1e-06,1.3375010684862083,1.0,1.0,-0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.336609723531257,0.0119287597894564,0.05297737569054021,0.001
1e-06,1.3375010684862083,1.0,1.0,0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.336609723531257,0.0119287597894564,0.05297737569054021,0.001
2e-06,1.330785531528289,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.13324068211030102,0.0,0.0,1.0,0.0,1.330785531528289,0.011794104078330814,0.05408806276752797,0.001
2e-06,1.330785531528289,1.0,1.0,-0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3298986619790987,0.011773447499157652,0.05426088204194299,0.001
2e-06,1.330785531528289,1.0,1.0,0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3298986619790987,0.011773447499157652,0.05426088204194299,0.001
2.5e-06,1.3280792154962835,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.13324068211030102,0.0,0.0,1.0,0.0,1.3280792154962835,0.01173094286449805,0.05461856541971093,0.001
2.5e-06,1.3280792154962835,1.0,1.0,-0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3271941495053845,0.01171020467652617,0.05479410305270111,0.001
2.5e-06,1.3280792154962835,1.0,1.0,0.1,1.500328872443825e-07,0.0013324070812303058,0.0013324068211030104,0.0012852393386315812,0.13324070812303054,0.13324068211030102,0.0013324070812303058,0.0013328512043135898,0.9986675929187697,0.0026683695169002685,1.3271941495053845,0.01171020467652617,0.05479410305270111,0.001
2.5e-06,1.3280792154962835,1.0,1.0,-0.2,2.4146198993085584e-06,0.005329628324921223,0.005329627284412042,0.005140957354526325,0.13324070812303054,0.13324068211030102,0.005329628324921223,0.005336748546182601,0.9946703716750788,0.010716370923858605,1.324535403085026,0.011647662048070107,0.05532760123603024,0.001
2.5e-06,1.3280792154962835,1.0,1.0,0.2,2.4146198993085584e-06,0.005329628324921223,0.005329627284412042,0.005140957354526325,0.13324070812303054,0.13324068211030102,0.005329628324921223,0.005336748546182601,0.9946703716750788,0.010716370923858605,1.324535403085026,0.011647662048070107,0.05532760123603024,0.001
