objective_tol,lambda_upper,family_g_floor,proxy_name,envelope,xi_upper,a_upper_rank1,sigma_upper_rank1,lifted_g_floor,separator_min,eps_delta_factor_max,tail_mass_upper,eps0_upper,eps_delta_upper,delta_q_ref
1.500329e-07,0.12594060821895336,1.3474339529535382,xi_exact,exact,0.1332407081230305,0.002113335774605566,0.002115572019833891,1.3460094097325896,0.012142481051981124,0.5712661353352498,0.08235549190639614,0.08974661884860921,0.05126920410905067,0.001
1.500329e-07,0.12594060821895336,1.3474339529535382,runnerup_blend_abs_action,p95,0.1796951674928049,0.002850151664126764,0.0028542210805229088,1.3455123872264523,0.01213128995942292,0.5716700499109517,0.08243146469541394,0.08983684762909933,0.05135703516796978,0.001
1.500329e-07,0.12594060821895336,1.3474339529535382,runnerup_blend_abs_action,max,0.1800120579497321,0.002855177875325199,0.0028592616708357902,1.3455089961423732,0.0121312135631364,0.5716728071875237,0.08243198380735293,0.08983746420172302,0.051357635350807666,0.001
1.500329e-07,0.12594060821895336,1.3474339529535382,best_blend_curv_action,p95,0.2245821723535536,0.0035621061000002366,0.0035684655063455265,1.3450319606558325,0.012120460993776616,0.5720608786683038,0.0825051126779304,0.08992432962622986,0.05144219101963923,0.001
1.500329e-07,0.12594060821895336,1.3474339529535382,best_blend_curv_action,max,0.22490066696956565,0.0035671577548249465,0.003573535232879387,1.3450285511880438,0.01212038410268479,0.5720636536932727,0.0825056360861113,0.08992495140150515,0.05144279625693502,0.001
5e-07,0.17016163955937727,1.342249670208462,xi_exact,exact,0.1332407081230305,0.0038579825155615386,0.0038654437264364957,1.3396579802396382,0.011998551088361453,0.5764596667510279,0.08334339643475754,0.09092106696291925,0.052412327962092324,0.001
5e-07,0.17016163955937727,1.342249670208462,runnerup_blend_abs_action,p95,0.1796951674928049,0.005203070623716643,0.005216653732074854,1.3387532062754448,0.01197788456652571,0.577205167581355,0.08348719629463408,0.09109223128919099,0.05257890662663703,0.001
5e-07,0.17016163955937727,1.342249670208462,runnerup_blend_abs_action,max,0.1800120579497321,0.0052122461816928485,0.005225877323363791,1.3387470322334758,0.011977743400303886,0.5772102596587695,0.08348818025059955,0.0910934026725673,0.05258004660983342,0.001
5e-07,0.17016163955937727,1.342249670208462,best_blend_curv_action,p95,0.2245821723535536,0.006502773112304375,0.006524008249626001,1.3378783797076568,0.011957863036679783,0.5779273479333218,0.08362698225699529,0.09125866938221913,0.05274088077198974,0.001
5e-07,0.17016163955937727,1.342249670208462,best_blend_curv_action,max,0.22490066696956565,0.006511995118680537,0.006533290660213374,1.3378721703538479,0.011957720790163329,0.5779324786026738,0.08362797706588207,0.09125985404717496,0.05274203364640208,0.001
1e-06,0.20235743246453994,1.3375010684862083,xi_exact,exact,0.1332407081230305,0.005456011196905398,0.00547094958678774,1.3338473676088858,0.011865109239953875,0.5812723046629771,0.08428072424589725,0.09203773086079393,0.0534989839334045,0.001
1e-06,0.20235743246453994,1.3375010684862083,runnerup_blend_abs_action,p95,0.1796951674928049,0.007358253042045116,0.007385458524667236,1.332571147186664,0.011835571434173242,0.5823372808109192,0.08449106201266011,0.09228862603832766,0.05374310753693552,0.001
1e-06,0.20235743246453994,1.3375010684862083,runnerup_blend_abs_action,max,0.1800120579497321,0.007371229240577405,0.007398530998586266,1.3325624372143456,0.011835369558495401,0.5823445589780244,0.08449250317512919,0.09229034548396706,0.0537447805387903,0.001
1e-06,0.20235743246453994,1.3375010684862083,best_blend_curv_action,p95,0.2245821723535536,0.009196309928455949,0.009238857038437916,1.3313368265051815,0.011806924235685967,0.5833700364765975,0.08469606309300598,0.09253326646797995,0.053981135034724174,0.001
1e-06,0.20235743246453994,1.3375010684862083,best_blend_curv_action,max,0.22490066696956565,0.009209351814945409,0.009252020062007201,1.3313280643250027,0.011806720596415632,0.5833773774566406,0.08469752390884791,0.09253501014282535,0.053982831540045094,0.001
