eta,D_min,D_max,g_proxy_min,g_proxy_p50,g_proxy_max,gap_separator_min,gap_separator_max
0.2,4.0,17.6,1.3537138088886351,1.4703046018627388,1.560887695720297,0.014335031465031012,0.04023121353531989
0.39,4.0,17.6,1.3537138097999242,1.470301523554724,1.560887069132545,0.014336103818119561,0.040234673322144476
0.5800000000000001,4.0,18.4,1.3537138107010258,1.4693076375066296,1.5608864425357913,0.014336471237551107,0.040237974950244615
0.77,4.0,18.4,1.3537138116063565,1.4693016191864108,1.560885815930051,0.014324903865558958,0.040241121726818596
0.96,4.0,18.4,1.3537138125111756,1.469295603130422,1.5608851893153137,0.014337942528866665,0.04024411688895002
1.15,4.0,18.4,1.35371381341761,1.469289589341973,1.5608845626915788,0.014337822766250952,0.040246963604824715
1.34,4.0,18.4,1.3537138143241414,1.4692835778243423,1.560883936058846,0.014337737127951833,0.04024966497495441
1.53,4.0,18.4,1.353713815230782,1.4692775685807784,1.5608833094171097,0.014331790194585525,0.040252224033407114
1.72,4.0,18.4,1.353713816135611,1.4692715616144991,1.560882682766369,0.014332399395379669,0.040254643749038976
1.91,4.0,18.4,1.3537138170414043,1.4692655569286928,1.5608820561066197,0.01433288572422664,0.04025692702672834
2.1,4.0,18.4,1.3537138179468868,1.469259554526517,1.5608814294378601,0.014333282948602588,0.04025907670860662
2.29,4.0,18.4,1.3537138188530649,1.4692535544111007,1.5608808027600893,0.01433801598572304,0.04026109557528579
2.4800000000000004,4.0,18.4,1.3537138197589151,1.4692475565855414,1.5608801760733013,0.014334336310366402,0.04026298634708014
2.6700000000000004,4.0,18.4,1.3537138206645183,1.4692415610529082,1.5608795493774967,0.014334544559612916,0.04026475168522081
2.8600000000000003,4.0,19.200000000000003,1.3537138215706577,1.46660095116252,1.5608789226726711,0.014334724772402718,0.04026639419306133
3.0500000000000003,4.0,19.200000000000003,1.3537138224765448,1.466597980680548,1.5608782959588214,0.014334882253344339,0.04026791641727212
3.24,4.0,19.200000000000003,1.3537138233822157,1.4665950084189325,1.5608776692359467,0.014335021048255014,0.04026932084902468
3.43,4.0,19.200000000000003,1.35371382428833,1.4665925715505383,1.5608770425040435,0.014332516124730854,0.04027060992516163
3.62,4.0,19.200000000000003,1.3537138251933558,1.4665888833578706,1.5608764157631094,0.014335561223985493,0.04027178602935333
3.81,4.0,19.200000000000003,1.3537138260996768,1.466585917134479,1.5608757890131408,0.014335645150011511,0.040272851493241446
4.0,4.0,19.200000000000003,1.3537138270052536,1.4665829497276992,1.5608751622541364,0.014335721000391821,0.040273808597563465
