D,R_star,rho_anchor,zeta_anchor,rho_box,zeta_box,anchor_exact,diag_anchor,mirror_anchor,diag_box,diag_shell,diag_same_sign_as_anchor,mirror_same_sign_as_anchor,box_same_sign_as_anchor,shell_same_sign_as_anchor,diag_abs_share_of_anchor,mirror_abs_share_of_anchor,box_abs_share_of_diag,shell_abs_share_of_diag,mirror_over_diag_abs
4.0,1.35,0.7,1.21,0.7,1.21,-0.0006633386492995244,-0.0005620229930508667,-0.00010131565624865763,-0.0005620229930508667,0.0,1,1,1,1,0.8472640538047264,0.15273594619527361,1.0,0.0,0.1802695930618054
5.0,1.35,0.7,1.21,0.7,1.21,0.0007222532605259878,0.0008043181576225268,-8.206489709653911e-05,0.0008043181576225268,0.0,1,0,1,1,1.1136234359631336,0.11362343596313372,1.0,0.0,0.10203039222577497
6.0,1.35,0.7,1.21,0.7,1.21,0.00013614696982325894,0.0002327869482136745,-9.663997839041565e-05,0.0002327869482136745,0.0,1,0,1,1,1.7098210009071086,0.7098210009071092,1.0,0.0,0.4151434568475466
7.0,1.35,0.7,1.21,0.7,1.21,0.0006665995585972853,0.0006810647283884482,-1.446516979116282e-05,0.0006810647283884482,0.0,1,0,1,1,1.021699939048267,0.021699939048267062,1.0,0.0,0.021239052895002587
8.0,1.35,0.7,1.21,0.7,1.21,0.0004715895549834184,0.0005311175864567822,-5.9528031473363815e-05,0.0005311175864567822,0.0,1,0,1,1,1.1262284773789295,0.12622847737892942,1.0,0.0,0.11208070113153312
9.0,1.35,0.7,1.21,0.7,1.21,-0.000234026733987867,-0.0002046298042150081,-2.9396929772858867e-05,-0.0002046298042150081,0.0,1,1,1,1,0.8743864460614018,0.12561355393859805,1.0,0.0,0.14365908175316924
10.0,1.35,0.7,1.21,0.7,1.21,0.0005446457121114504,0.0005768294962610631,-3.218378414961276e-05,0.0005768294962610631,0.0,1,0,1,1,1.0590912283598901,0.05909122835989026,1.0,0.0,0.055794276052497385
11.0,1.35,0.7,1.21,0.7,1.21,0.0001323211313169622,0.00016375709668931953,-3.1435965372357336e-05,0.00016375709668931953,0.0,1,0,1,1,1.237573281451589,0.23757328145158904,1.0,0.0,0.19196704147727867
12.0,1.35,0.7,1.21,0.7,1.21,0.0005224249136231416,0.0005379534234786361,-1.5528509855494485e-05,0.0005379534234786361,0.0,1,0,1,1,1.0297239075904718,0.02972390759047182,1.0,0.0,0.02886590023924473
13.0,1.35,0.7,1.21,0.7,1.21,0.00029861687500661304,0.0003229956286054475,-2.4378753598834522e-05,0.0003229956286054475,0.0,1,0,1,1,1.081638901345728,0.08163890134572817,1.0,0.0,0.0754770388196621
14.0,1.35,0.7,1.21,0.7,1.21,0.0004485163848264558,0.0004533809188704809,-4.8645340440251975e-06,0.0004533809188704809,0.0,1,0,1,1,1.0108458335271462,0.010845833527146236,1.0,0.0,0.01072946355162968
15.0,1.35,0.7,1.21,0.7,1.21,0.0003694377141929458,0.0003864860953830876,-1.704838119014188e-05,0.0003864860953830876,0.0,1,0,1,1,1.0461468348660201,0.046146834866020316,1.0,0.0,0.044111240724568394
16.0,1.35,0.7,1.21,0.7,1.21,0.0003707682927445255,0.0003705318676880976,2.3642505642792975e-07,0.0003705318676880976,0.0,1,1,1,1,0.9993623374461774,0.0006376625538226276,1.0,0.0,0.0006380694268028388
17.0,1.35,0.7,1.21,0.7,1.21,0.0003734327783039466,0.0003840241214217718,-1.059134311782516e-05,0.0003840241214217718,0.0,1,0,1,1,1.0283621142362724,0.02836211423627251,1.0,0.0,0.027579890238698678
18.0,1.35,0.7,1.21,0.7,1.21,0.0001839717298778013,0.0001962004466260848,-1.2228716748283536e-05,0.0001962004466260848,0.0,1,0,1,1,1.0664706297886426,0.06647062978864286,1.0,0.0,0.06232767029113241
19.0,1.35,0.7,1.21,0.7,1.21,0.0003451163127692436,0.00035140192563789326,-6.285612868649782e-06,0.00035140192563789326,0.0,1,0,1,1,1.0182130274231704,0.01821302742317068,1.0,0.0,0.017887246511923995
20.0,1.35,0.7,1.21,0.7,1.21,0.00024418262741762324,0.00025382133407225705,-9.638706654633831e-06,0.00025382133407225705,0.0,1,0,1,1,1.039473351386906,0.03947335138690617,1.0,0.0,0.037974375518371184
