D,W_band_neg,M_band_neg,rho_bar_weighted,factor_resid_abs,rho_min_band,rho_max_band,W_over_M
4.0,0.03311421205604651,0.011881568211724293,0.44356859645114094,1.3552527156068805e-20,0.21,0.69,2.78702368794808
5.0,0.028872970242268987,0.010362078751701392,0.44347047015520813,1.3552527156068805e-20,0.21,0.69,2.786407142247227
6.0,0.02377558433412809,0.008525149498624948,0.44386339175460204,1.3552527156068805e-20,0.21,0.69,2.788875941467412
7.0,0.025668306149315267,0.009213235232207854,0.44340969284908127,6.776263578034403e-21,0.21,0.69,2.786025267170361
8.0,0.01983575395141157,0.007114352498267769,0.44374499184436184,6.776263578034403e-21,0.21,0.69,2.7881320128910194
9.0,0.021710804344395367,0.007790472065045365,0.4435394673212782,6.776263578034403e-21,0.21,0.69,2.786840664227315
10.0,0.01739190755738999,0.0062396536422378865,0.44361565821835375,6.776263578034403e-21,0.21,0.69,2.7873193857523613
11.0,0.015475951819304992,0.005549286660280326,0.44385420719461927,6.776263578034403e-21,0.21,0.69,2.7888182331750753
12.0,0.015551105741983035,0.00558046524681573,0.44351774268169436,6.776263578034403e-21,0.21,0.69,2.7867041642910784
13.0,0.013289720864388455,0.004765704324579047,0.4438220720010252,6.776263578034403e-21,0.21,0.69,2.7886163217988416
14.0,0.014054691892444083,0.005044206103749954,0.4434540624050093,6.776263578034403e-21,0.21,0.69,2.7863040493122537
15.0,0.011605831419236476,0.004162658551706439,0.4437369570717018,3.3881317890172014e-21,0.21,0.69,2.7880815289254954
16.0,0.012837287128808727,0.004607702648354228,0.4434135312897483,3.3881317890172014e-21,0.21,0.69,2.786049384804362
17.0,0.01039833666991051,0.0037303939477487365,0.4436385819113617,3.3881317890172014e-21,0.21,0.69,2.7874634195634553
18.0,0.00953070601036242,0.0034174600274094113,0.4438556590388749,3.3881317890172014e-21,0.21,0.69,2.788827355381571
19.0,0.009521561564514527,0.0034164102781403145,0.4435660431776891,3.3881317890172014e-21,0.21,0.69,2.787007645257842
20.0,0.008400857666632018,0.0030127025320934257,0.4438002124713152,3.3881317890172014e-21,0.21,0.69,2.788478974322946
