D,exact,I_plus,I_minus,I_self_pair,I_cross_mass,I_cross_deriv,I_cross_total,self_pair_over_exact,cross_mass_over_exact,cross_deriv_over_exact,cross_total_over_exact,self_pair_abs_share,cross_mass_abs_share,cross_deriv_abs_share,cross_total_abs_share,self_pair_same_sign_as_exact,cross_total_same_sign_as_exact,plus_minus_sym_resid_abs,reconstruction_resid_abs,u_split_resid_abs,delta_split_resid_abs
4.0,-0.0008289472422843593,-0.00041964835960474063,-0.0003935662209405417,-0.0008132145805452823,-9.230082780176456e-06,-6.502578958899057e-06,-1.573266173907551e-05,0.9810209131093531,0.011134704730714574,0.007844382159930552,0.018979086890645126,0.9810209131093531,0.011134704730714574,0.007844382159930552,0.018979086890645126,1,1,2.608213866419891e-05,1.4094628242311558e-18,3.552713678800501e-15,5.329070518200751e-15
5.0,0.0011678651133360826,0.0005762685114410099,0.0005652401709094259,0.0011415086823504358,1.8588960013494856e-05,7.767470972151236e-06,2.635643098564609e-05,0.9774319562382012,0.015917043673300834,0.006651000088497335,0.02256804376179817,0.9774319562382012,0.015917043673300834,0.006651000088497335,0.02256804376179817,1,1,1.1028340531584e-05,8.673617379884035e-19,3.552713678800501e-15,4.440892098500626e-15
6.0,0.0001488439360011433,7.311690386519131e-05,7.311690386581606e-05,0.00014623380773100736,2.762513986838891e-06,-1.5238571670549792e-07,2.6101282701333925e-06,0.982463993224985,0.018559802038678092,-0.0010237952636802578,0.01753600677499783,0.982463993224985,0.018559802038678092,0.0010237952636802578,0.01753600677499783,1,1,6.247579493676159e-16,2.5478751053409354e-18,3.552713678800501e-15,3.552713678800501e-15
7.0,0.001066025872323185,0.0005214576358712685,0.0005268912763189025,0.001048348912190171,1.2169379702277985e-05,5.5075804307371024e-06,1.7676960133015084e-05,0.9834178882596061,0.011415651362904837,0.005166460377490144,0.016582111740394978,0.9834178882596061,0.011415651362904837,0.005166460377490144,0.016582111740394978,1,1,5.4336404476339455e-06,1.0842021724855044e-18,7.105427357601002e-15,5.329070518200751e-15
8.0,0.0005637842839836496,0.000286572548332919,0.0002702848653304829,0.0005568574136634019,5.3112295285943194e-06,1.6156407916527855e-06,6.926870320247107e-06,0.9877136157976893,0.009420676807564842,0.002865707394744691,0.012286384202309538,0.9877136157976893,0.009420676807564842,0.002865707394744691,0.012286384202309538,1,1,1.6287683002436104e-05,6.505213034913027e-19,3.552713678800501e-15,3.552713678800501e-15
9.0,-0.0003708312660711061,-0.00018327343002322785,-0.00018327343002257798,-0.0003665468600458058,-2.6237859763747055e-06,-1.6606200489263264e-06,-4.2844060253010314e-06,0.988446481143047,0.00707541735672202,0.0044781015002330095,0.011553518856955028,0.988446481143047,0.00707541735672202,0.0044781015002330095,0.011553518856955028,1,1,6.498707821878114e-16,7.589415207398531e-19,4.440892098500626e-15,3.552713678800501e-15
10.0,0.0006826818823965249,0.0003320771767254207,0.0003436149416735601,0.0006756921183989808,5.092115356497042e-06,1.8976486410432345e-06,6.989763997540277e-06,0.9897613161008363,0.007458987103365617,0.002779696795792532,0.01023868389915815,0.9897613161008363,0.007458987103365617,0.002779696795792532,0.01023868389915815,1,1,1.1537764948139385e-05,3.7947076036992655e-18,7.105427357601002e-15,7.105427357601002e-15
11.0,6.707950157355848e-05,4.093419085627601e-05,2.603328870593751e-05,6.696747956221352e-05,3.855276560368756e-07,-2.735056446929012e-07,1.1202201134397446e-07,0.998330011274426,0.005747324398558793,-0.004077335672999576,0.0016699887255592176,0.998330011274426,0.005747324398558793,0.004077335672999576,0.0016699887255592176,1,1,1.4900902150338503e-05,9.893344823930228e-19,1.7763568394002505e-15,1.7763568394002505e-15
12.0,0.0006922158903368529,0.00034303042990529157,0.00034303042990538405,0.0006860608598106756,4.368312567393513e-06,1.7867179587829186e-06,6.155030526176432e-06,0.9911082212759056,0.006310621625960887,0.0025811570981322724,0.00889177872409316,0.9911082212759056,0.006310621625960887,0.0025811570981322724,0.00889177872409316,1,1,9.248244531301353e-17,8.673617379884035e-19,5.329070518200751e-15,5.329070518200751e-15
13.0,0.0002843037688233193,0.00013516213716980533,0.0001473538009965277,0.00028251593816633303,1.4624121963527208e-06,3.2541846063243004e-07,1.7878306569851507e-06,0.993711547812448,0.005143836827789424,0.001144615359758602,0.006288452187548026,0.993711547812448,0.005143836827789424,0.001144615359758602,0.006288452187548026,1,1,1.219166382672237e-05,1.1384122811097797e-18,3.552713678800501e-15,2.6645352591003757e-15
14.0,0.0006463929305398303,0.00032314422794516625,0.0003181346260766636,0.0006412788540218298,3.568762045563641e-06,1.5453144724359637e-06,5.114076517999604e-06,0.9920882851956171,0.005521041269098063,0.002390673535283571,0.007911714804381633,0.9920882851956171,0.005521041269098063,0.002390673535283571,0.007911714804381633,1,1,5.009601868502674e-06,8.673617379884035e-19,3.552713678800501e-15,3.1086244689504383e-15
15.0,0.00039786942159756683,0.0001977172514498358,0.0001977172514488806,0.00039543450289871644,1.8361053793160562e-06,5.988133195336725e-07,2.4349186988497282e-06,0.9938801059677483,0.004614844166569862,0.001505049865680189,0.00611989403225005,0.9938801059677483,0.004614844166569862,0.001505049865680189,0.00611989403225005,1,1,9.552092190140415e-16,6.505213034913027e-19,3.552713678800501e-15,5.329070518200751e-15
16.0,0.0005749770500641468,0.0002838489168404627,0.0002870120311514901,0.0005708609479919528,2.838372050738929e-06,1.2777300214545344e-06,4.1161020721934625e-06,0.9928412758879076,0.00493649624871509,0.002222227863376435,0.0071587241120915236,0.9928412758879076,0.00493649624871509,0.002222227863376435,0.0071587241120915236,1,1,3.1631143110273695e-06,5.421010862427522e-19,6.217248937900877e-15,5.329070518200751e-15
