D,N_mass_band,kernel_avg_weighted,W_band_neg,M_band_neg,rho_bar_weighted,M_band_abs,theta_neg,A_band,S_self,self_bias,self_mean,mirror_mean,mir_self_ratio,N_mass_inner,P_mass_inner,canonical_N_mass_tail,canonical_tail_over_P_mass_inner,canonical_N_mass_rim,canonical_rim_over_P_mass_inner,canonical_N_mass_core,canonical_core_over_P_mass_inner,canonical_N_mass_band,band_mainline_exact,band_mainline_resid_abs,band_over_P_mass_inner,mainline_over_P_mass_inner,nu_mass_inner_exact,nu_mass_inner_reconstructed,nu_mass_inner_resid_abs
4.0,0.0018333900790008,0.0553656561689513,0.0331142120560465,0.0118815682117242,0.4435685964511409,0.0218175884267204,0.5445866875540063,2.3813999999999997,0.2095529588702492,0.834979742066461,0.0879956995339922,0.0623457728381164,0.7085093154357227,0.0020356905555677,0.0031783215471709,9.260516875379582e-05,0.0291365009422112,0.0001096953078131,0.0345135966216987,2.1684043449710093e-19,6.822482599034525e-17,0.0018333900790008,0.0018333900790008122,1.214306433183765e-17,0.5768422268768698,0.5768422268768736,0.6404923244407781,0.6404923244407836,5.551115123125783e-15
5.0,0.0015546949902153,0.0538460358310934,0.0288729702422689,0.0103620787517013,0.4434704701552081,0.0180816506472744,0.5730715051318236,2.3813999999999997,0.2057959189846091,0.740007028110269,0.086418039382132,0.0593656839569994,0.6869593939118459,0.0016943363664319,0.0038519779319045,6.287186047527777e-05,0.0163219679828723,7.676951574140181e-05,0.0199298950042123,0.0,0.0,0.0015546949902153,0.0015546949902153087,8.673617379884035e-18,0.4036095267676224,0.4036095267676246,0.4398613897546874,0.4398613897547092,2.1760371282653068e-14
6.0,0.0020322204441319,0.0854750998155236,0.023775584334128,0.0085251494986249,0.443863391754602,0.0182928081409847,0.466038315873684,2.3976,0.2050951476921358,0.8132623849066077,0.0855418533917817,0.0548358162441666,0.6410407779337977,0.0022981171666045,0.0026234946087564,0.0001097809144718,0.0418452982923683,0.0001261033883707,0.0480669515957108,3.001241963005797e-05,0.0114398632762139,0.0020322204441319,0.0020322204441319968,9.6710833785707e-17,0.7746234497105453,0.7746234497105822,0.8759755628748416,0.8759755628748752,3.3639757646142243e-14
7.0,0.0014660833831229,0.0571164834404974,0.0256683061493152,0.0092132352322078,0.4434096928490812,0.0153070677842688,0.601894194371853,2.3813999999999997,0.2039122307084261,0.7428896324982264,0.0856270390142043,0.0505236172649321,0.5900427931012648,0.0015927466643853,0.0035492900325143,5.69018396956323e-05,0.0160318934700646,6.97614415666899e-05,0.0196550411286817,2.1684043449710093e-19,6.10940307809923e-17,0.0014660833831229,0.0014660833831229814,8.153200337090993e-17,0.41306384366800636,0.4130638436680293,0.4487507782667752,0.4487507782667757,4.996003610813204e-16
8.0,0.0015741737573348,0.0793604196336999,0.0198357539514115,0.0071143524982677,0.4437449918443618,0.0145396937276883,0.4893055267539584,2.3813999999999997,0.1955355922209107,0.7781369938419713,0.0821095121444993,0.0477796956285931,0.581902076637707,0.0017303072098026,0.0027283453038393,7.106863589744915e-05,0.0260482556212515,8.506481657036182e-05,0.0311781710513905,0.0,0.0,0.0015741737573348,0.0015741737573348425,4.2500725161431774e-17,0.5769701346525451,0.5769701346525606,0.6341965613251845,0.6341965613252026,1.8096635301390052e-14
9.0,0.0016380231557762,0.0754473731047708,0.0217108043443953,0.0077904720650453,0.4435394673212782,0.0141093644571696,0.5521490417725117,2.3976,0.2012054367179243,0.8353515478807718,0.083919518150619,0.0419728503591468,0.5001559980815642,0.0017970668243908,0.0024504172415168,7.219836460995149e-05,0.0294637025020525,8.684530400459483e-05,0.0354410271578229,0.0,0.0,0.0016380231557762,0.0016380231557762755,7.546047120499111e-17,0.6684670381939809,0.6684670381940118,0.7333717678538785,0.7333717678538872,8.770761894538737e-15
10.0,0.0012925073716764,0.0743165962337045,0.0173919075573899,0.0062396536422378,0.4436156582183537,0.0120577036978289,0.5174827478437165,2.3813999999999997,0.1898972597696687,0.7579220240681172,0.0797418576340256,0.0418881699308109,0.5252971422243039,0.0014117322826914,0.0026080569569974,5.3870444298209034e-05,0.0206553941062036,6.535446671678902e-05,0.0250586807705413,0.0,0.0,0.0012925073716764,0.0012925073716764648,6.483528991463317e-17,0.49558249416624556,0.49558249416627037,0.5412965690429925,0.5412965690430154,2.2870594307278225e-14
11.0,0.0015288810217468,0.098790758694382,0.0154759518193049,0.0055492866602803,0.4438542071946192,0.0122776431711384,0.451983054314958,2.3813999999999997,0.1916370052944671,0.8317750762258291,0.0804724134099551,0.0385123245852253,0.4785779741565582,0.0017991238513824,0.0018783678552505,9.038299571084794e-05,0.0481178356295882,0.0001011160444332,0.0538318648025004,7.874378949150086e-05,0.0419213889714896,0.0015288810217468,0.001528881021746841,4.098284211995207e-17,0.8139412189541052,0.813941218954127,0.9578123083577088,0.957812308357705,3.774758283725532e-15
12.0,0.0011018552982887,0.0708538232952835,0.015551105741983,0.0055804652468157,0.4435177426816943,0.0102903736655997,0.5422995731895477,2.3976,0.1874749990448657,0.7477996571138871,0.0781927757110717,0.0367005462061523,0.4693598081460057,0.0011989669845087,0.0024142917845905,4.371704956692064e-05,0.0181076081383158,5.3394636653048434e-05,0.0221160660835799,0.0,0.0,0.0011018552982887,0.0011018552982887339,3.382710778154774e-17,0.45638862101152,0.45638862101153405,0.49661229523342915,0.49661229523342976,6.106226635438361e-16
13.0,0.0012401167723759,0.0933139819135741,0.0132897208643884,0.004765704324579,0.4438220720010252,0.0102782681636085,0.4636680274068533,2.3813999999999997,0.1834821086592804,0.8039597170882163,0.0770480006127825,0.0348386997130163,0.4521687705837295,0.0013797333885985,0.0018397910383619,6.059975707054053e-05,0.0329383912667032,7.104638195865563e-05,0.0386165496391976,7.97047719337243e-06,0.0043322730827457,0.0012401167723759,0.0012401167723759918,9.172350379227368e-17,0.674053056307996,0.6740530563080458,0.7499402702966621,0.7499402702966923,3.019806626980426e-14
