D,dz,zmax,Nz,E1,S1,rel_error_E1,rel_error_S1,E1_converged,S1_converged
6.0,0.04,60.0,3001,-0.48032802312828965,4.28295330215218,6.742310269015465e-13,2.845188135057608e-13,True,True
6.0,0.04,80.0,4001,-0.4803280231279658,4.282953302150961,0.0,0.0,True,True
6.0,0.02,60.0,6001,-0.4794374275201105,4.281584505006485,1.7926826425729017e-12,7.567466836821433e-13,True,True
6.0,0.02,80.0,8001,-0.479437427519251,4.281584505003245,0.0,0.0,True,True
6.0,0.01,60.0,12001,-0.4792227355403187,4.290936601159128,6.581790426545355e-13,2.7902171974125206e-13,True,True
6.0,0.01,80.0,16001,-0.4792227355400033,4.290936601157931,0.0,0.0,True,True
12.0,0.04,60.0,3001,-0.4790325919143867,8.512695079170644,1.4995102818823372e-13,6.802690854761131e-14,True,True
12.0,0.04,80.0,4001,-0.4790325919144585,8.512695079171223,0.0,0.0,True,True
12.0,0.02,60.0,6001,-0.4781115780421215,8.507335077580025,8.417613479988329e-14,3.8210943691041607e-14,True,True
12.0,0.02,80.0,8001,-0.47811157804216176,8.50733507758035,0.0,0.0,True,True
12.0,0.01,60.0,12001,-0.4778895328999169,8.515468967630678,3.1042320523270598e-12,1.4034845128198992e-12,True,True
12.0,0.01,80.0,16001,-0.4778895329014004,8.51546896764263,0.0,0.0,True,True
18.0,0.04,60.0,3001,-0.4824579660644801,12.755071025721016,2.52209419385326e-13,1.167055070423206e-13,True,True
18.0,0.04,80.0,4001,-0.4824579660643584,12.755071025719527,0.0,0.0,True,True
18.0,0.02,60.0,6001,-0.48153337700726767,12.745759620636498,7.207303461600669e-13,3.3406618913084366e-13,True,True
18.0,0.02,80.0,8001,-0.4815333770069206,12.74575962063224,0.0,0.0,True,True
18.0,0.01,60.0,12001,-0.4813104650816182,12.752939200541771,1.1920855679468782e-12,5.53399150733305e-13,True,True
18.0,0.01,80.0,16001,-0.48131046508219194,12.752939200548829,0.0,0.0,True,True
