D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
6.0,coarse,0.12,0.06,1,0.7063129059724655,0.7063129059724655,0.7063129059724655,26.9792036928965,1.0,0.0989030900261506
6.0,coarse,0.12,0.06,2,0.7906368119772649,0.7063129059724655,0.7906368119772649,30.39432188609088,4.4151181931943775,0.4366688321375989
6.0,coarse,0.12,0.06,3,0.9312735863033281,0.7063129059724655,0.9312735863033281,36.09011124629644,10.110907553399937,1.0
6.0,coarse,0.12,0.06,4,1.151691982008115,0.7063129059724655,1.151691982008115,45.01705627234031,19.03785257944381,1.8829024475693146
6.0,coarse,0.12,0.06,5,1.4225783333464064,0.7063129059724655,1.4225783333464064,55.9879535015411,30.0087498086446,2.967958083896606
6.0,coarse,0.12,0.06,6,1.7523696946672853,0.7063129059724655,1.7523696946672853,69.34450363503669,43.36529994214018,4.288962164188514
6.0,coarse,0.12,0.06,7,2.1476465776577447,0.7063129059724655,2.1476465776577447,85.3532173961503,59.374013703253794,5.872273422506809
6.0,coarse,0.12,0.06,8,2.6007287693348005,0.7063129059724655,2.6007287693348005,103.70304615907105,77.72384246617455,7.687128188610408
6.0,coarse,0.12,0.06,9,3.113840163771762,0.7063129059724655,3.113840163771762,124.48405763376799,98.50485394087148,9.742434437326828
6.0,coarse,0.12,0.06,10,3.3288039025026785,0.7063129059724655,3.3288039025026785,133.19008905237013,107.21088535947362,10.60348784649133
6.0,coarse,0.12,0.06,11,3.413381710051576,0.7063129059724655,3.413381710051576,136.61549025810046,110.63628656520396,10.942270610317363
6.0,coarse,0.12,0.06,12,3.5541961368736175,0.7063129059724655,3.5541961368736175,142.31847454439315,116.33927085149665,11.506313378602291
6.0,coarse,0.12,0.06,13,3.688031187272606,0.7063129059724655,3.688031187272606,147.73879408555217,121.75959039265567,12.042399730152045
6.0,coarse,0.12,0.06,14,3.7747640552418686,0.7063129059724655,3.7747640552418686,151.2514752383073,125.2722715454108,12.389814750436148
6.0,coarse,0.12,0.06,15,4.045380633490389,0.7063129059724655,4.045380633490389,162.2114466573724,136.2322429644759,13.47378979037998
