D,n_bound_superrad_1d,E1,E2,E3,E4,E5,E6,E4_positive,E3_positive,omega_N2,S_l1_N2,gamma_geo_l1_N2,omega_N3,S_l1_N3,gamma_geo_l1_N3,omega_N4,S_l1_N4,gamma_geo_l1_N4,gamma_N4_over_N3_l1,gamma_N4_over_N2_l1
4.0,2,-0.5050527899604876,-0.3900972960948781,0.005636667361514087,0.005637926145822842,0.011839913414314566,0.011853098168031841,1,1,0.7809626776646537,10.815010368885392,3.1537817049054014e-10,1.0028143733316661,10.376384484374634,9.73660390292951e-10,1.0028150009573362,10.376382982954542,9.73663923424951e-10,1.000003628710827,3.087290163141321
5.0,2,-0.48736758782856104,-0.43261847416880594,0.005645036707203628,0.0056459649719377385,0.011882595614831713,0.011892212630458626,1,1,0.7532473204938352,11.840124754315966,3.915037296901451e-11,1.0028185462519548,11.09602277649702,2.3085507773547248e-10,1.002819009079775,11.096021102375051,2.308559572420855e-10,1.0000038097780721,5.89664771328733
6.0,2,-0.4794374275187293,-0.45294840099225475,0.005654949939259288,0.005655696403568085,0.011931079016909492,0.011938733837897612,1,1,0.7396293659718088,12.771071954781556,5.973130317742312e-12,1.0028234889244396,11.703938430209313,6.844043232676424e-11,1.0028238611059577,11.70393648889976,6.844072345605463e-11,1.000004253761709,11.45809982627726
7.0,2,-0.4763409210049378,-0.46342458054643554,0.0056663783197056835,0.00566700826454413,0.011985048620619203,0.011991453803633843,1,1,0.7325130848344857,13.64212283268925,1.0361390733932214e-12,1.0028291870102262,12.21227519499099,2.4761645864859546e-11,1.002829501094413,12.212273024661641,2.4761761102280197e-11,1.0000046538675693,23.898105706204703
8.0,2,-0.47556205301766946,-0.4692386181948583,0.005679296812139627,0.005679845002577942,0.012044239525977702,0.012049777761242627,1,1,0.7285337204311305,14.473138876745903,1.9554240758267543e-13,1.0028356280127926,12.670757331952199,9.89805296135281e-12,1.002835901332514,12.670754883103342,9.898104136839552e-12,1.0000051702579227,50.61870854103414
9.0,2,-0.4758263322478788,-0.4727234393793163,0.005693683569649919,0.005694170891217874,0.012108427674165222,0.012113330621538843,1,1,0.7261381140112377,15.276405844507778,3.909324396057049e-14,1.002842801025707,13.079531073299773,4.3701517645639175e-12,1.0028430439962936,13.079528341829633,4.370176697321372e-12,1.0000057052383529,111.7885407956715
10.0,2,-0.4765080534854851,-0.4749831609579057,0.005709519606874885,0.005709959698612432,0.012177423258124626,0.012181843265914039,1,1,0.7245804572593416,16.05984621058191,8.141069035041287e-15,1.0028506965678834,13.449025250019709,2.087187063755519e-12,1.0028509159880599,13.449022232623175,2.087200116207432e-12,1.000006253609051,256.37912014055865
11.0,2,-0.4773131000301454,-0.47656286568862405,0.005726788566197152,0.005727190894758158,0.012251065736113644,0.012255109344943855,1,1,0.7234895536988074,16.828726193883824,1.7465716958192153e-15,1.0028593064666795,13.786599023950945,1.062557028705868e-12,1.0028595070568558,13.786595717317418,1.062564268234711e-12,1.0000068133085072,608.371400256961
12.0,2,-0.4781115780409928,-0.47774214230038803,0.0057454765562205985,0.005745848002109758,0.01232921992034771,0.012332965305447707,1,1,0.7226741019990517,17.586636550835088,3.8316344819051896e-16,1.0028686237769753,14.09764784740167,5.704041913914852e-13,1.0028688089685605,14.097644247818112,5.704084031740226e-13,1.0000073838562216,1488.6816732330913
13.0,2,-0.4788521896061333,-0.47867013640811784,0.005765572014613399,0.005765917771478473,0.012411772806463932,0.012415279652149967,1,1,0.7220317607918038,18.336083898561057,8.551379651983402e-17,1.0028786427152878,14.386250326737041,3.2026547101624023e-13,1.0028788150975276,14.386246429767041,3.2026802220587293e-13,1.0000079658591499,3745.220481838742
14.0,2,-0.4795197351058492,-0.47942996604802435,0.005787065602374792,0.0057873897060265874,0.012498630986289182,0.012501946448561042,1,1,0.7215053942636244,19.078857753946444,1.9344356857306486e-17,1.0028893586050784,14.655567562275841,1.8689116887135437e-13,1.0028895201892531,14.655563362587124,1.8689276875931846e-13,1.0000085605327087,9661.358614190778
15.0,2,-0.4801146044435384,-0.4800703163786969,0.00580995011544889,0.005810255783608547,0.012589718488036536,0.012592881002461587,1,1,0.7210614978082298,19.816262113037624,4.423700653177965e-18,1.002900767830913,14.90810083204096,1.1278364072935309e-13,1.0029009202223036,14.90809632312277,1.1278467493605574e-13,1.000009169829028,25495.54858668653
16.0,2,-0.48064317139831114,-0.48062131146524123,0.0058342204122124345,0.005834510263207545,0.012684974958669439,0.012688016796755922,1,1,0.7206793243422478,20.549260973397303,1.0206592288586215e-18,1.0029128678064338,15.145864110649432,7.010238436577795e-14,1.0029130123117733,15.145859284708349,7.010307108984099e-14,1.0000097960157739,68684.11033546971
17.0,2,-0.48111347069121324,-0.4811026765299854,0.005859873346411153,0.005860149556872541,0.012784354135566937,0.01278730319819901,1,1,0.7203452807308977,21.278556878678508,2.372580981155992e-19,1.0029256569389216,15.370503221942414,4.473209874124207e-14,1.0029257946410155,15.370498069771049,4.47325658202917e-14,1.0000104416976348,188539.6796803819
18.0,2,-0.48153337700598453,-0.48152804504448543,0.005886907717810705,0.005887172117901834,0.012887822537318416,0.012890703677292465,1,1,0.7200499669857467,22.004256024315726,5.555315073920771e-20,1.0029391346026566,15.583380349657196,2.922283778154782e-14,1.0029392664151673,15.583374860409267,2.922316244680205e-14,1.0000111099837963,526039.6945618646
19.0,2,-0.4819099360231235,-0.4819073013523879,0.005915324219351162,0.005915578377383882,0.012995358337999398,0.01299819439109174,1,1,0.719786564647063,22.717137558284435,1.3345927570333778e-20,1.0029533011163199,15.785635365498198,1.9500782882886127e-14,1.0029534278211045,15.78562952654025,1.950101307631386e-14,1.0000118043172481,1461195.7822745882
20.0,2,-0.48224920366290336,-0.48224790141734075,0.005945125403411246,0.005945370681707314,0.013106950406210401,0.013109763036276492,1,1,0.7195499277893748,23.439152455581038,3.148268688344037e-21,1.0029681577216012,15.978231223714888,1.3266972935144543e-14,1.002968279997595,15.978225020403167,1.3267139151954579e-14,1.0000125286160488,4214106.375695965
