D,sigma_exact,sigma_hessian,sigma_moment,sigma_curvature,sigma_hessian_relerr,sigma_moment_relerr,sigma_curvature_relerr,logfit_amp,logfit_max_resid,m2_obs,rho_max,z_max,z_margin,kappa_rho_core,kappa_z_core,kappa_iso_core,core_anisotropy_ratio,amp_curvature_box,kernel_rel_sup_curvature_candidate
4.0,2.5,2.499999999999997,2.499897737428519,2.5025244058102856,1.2434497875801752e-15,4.090502859241951e-05,0.0010097623241142272,0.007944244960266038,2.4868995751603507e-14,6.579834621039743,3.0,8.0,6.0,6308.3559795060755,6308.379260969943,6308.363739994032,0.999996309438145,0.007938350926404646,0.0007416267736559896
5.0,2.5,2.499999999999999,2.499899754411171,2.5016598539077304,3.552713678800501e-16,4.0098235531615954e-05,0.0006639415630921519,0.005542472170062962,1.4210854715202004e-14,6.580129597266111,3.0,8.5,6.0,6317.084738764578,6317.096695459768,6317.088724329641,0.9999981072483506,0.005542619614349328,0.0004983042866017164
6.0,2.5,2.500000000000001,2.4998993244402143,2.5010829159430106,3.552713678800501e-16,4.0270223914262714e-05,0.00043316637720423044,0.0035695665131842105,7.105427357601002e-15,6.580212621433326,3.0,9.0,6.0,6322.917214912849,6322.924147992737,6322.919525939479,0.9999989035010186,0.003571093658680422,0.0005223200892841566
7.0,2.5,2.500000000000001,2.4998992973096312,2.500670550172796,3.552713678800501e-16,4.028107614750809e-05,0.0002682200691184633,0.0021221882597193082,1.1546319456101628e-14,6.580235197008197,3.0,9.5,6.0,6327.089750602256,6327.0941226534205,6327.091207952643,0.9999993089953966,0.002123408557955194,0.000575098248966321
8.0,2.5,2.5000000000000013,2.4998993387095485,2.5003611343154777,5.329070518200751e-16,4.026451618059923e-05,0.0001444537261910739,0.0011646733262768434,2.842170943040401e-14,6.580240914949034,3.0,10.0,6.0,6330.222683391896,6330.225615307939,6330.223660697244,0.9999995368386182,0.0011652912461536846,0.0005305948698132892
9.0,2.5,2.4999999999999973,2.499899331693519,2.5001203956978877,1.0658141036401502e-15,4.026732259241328e-05,4.815827915507498e-05,0.0005900453760590233,2.398081733190338e-14,6.580242154275548,3.0,10.5,6.0,6332.66149539935,6332.663556193552,6332.6621823307505,0.999999674577027,0.0005902234909694968,0.0003018838036342748
10.0,2.5,2.5000000000000027,2.4998993314554747,2.4999277542341307,1.0658141036401502e-15,4.026741781011367e-05,2.8898306347713287e-05,0.0002759454036526043,3.552713678800501e-14,6.5802424157669295,3.0,11.0,6.0,6334.613856587624,6334.615359842033,6334.614357672427,0.9999997626920777,0.00027592247998635595,8.308174828533902e-05
11.0,2.5,2.4999999999999973,2.499899331851508,2.499770105576864,1.0658141036401502e-15,4.026725939674236e-05,9.195776925441379e-05,0.00011912768726097534,2.842170943040401e-14,6.580242467155041,3.0,11.5,6.0,6336.212108646322,6336.2132386277635,6336.212485306803,0.9999998216629714,0.0001190559336976172,0.0006023520316317488
12.0,2.5,2.500000000000005,2.4998993317985043,2.49963870935904,1.9539925233402757e-15,4.026728059827178e-05,0.00014451625638400856,4.747481892208589e-05,6.394884621840902e-14,6.5802424757779585,3.0,12.0,6.0,6337.544579618992,6337.545450357141,6337.5448698650425,0.9999998626064057,4.7414542013252284e-05,0.0012697126080936762
13.0,2.5,2.500000000000003,2.499899331797603,2.499527512257337,1.2434497875801752e-15,4.026728095887222e-05,0.00018899509706518102,1.7465072567887883e-05,4.973799150320701e-14,6.5802424771962755,3.0,12.5,6.0,6338.672476491781,6338.673161593533,6338.672704859032,0.9999998919171671,1.742893447128535e-05,0.0020692196816264347
14.0,2.5,2.499999999999999,2.49989933179939,2.4994321891182674,3.552713678800501e-16,4.026728024406623e-05,0.0002271243526930533,5.931018310167725e-06,3.197442310920451e-14,6.580242477413455,3.0,13.0,6.0,6339.639552390253,6339.640101087341,6339.639735289282,0.9999999134498049,5.913307380746954e-06,0.0029862202701868164
15.0,2.5,2.5000000000000004,2.4998993317992015,2.4993495673320454,1.7763568394002506e-16,4.026728031938376e-05,0.00026017306718184585,1.8592988281080938e-06,4.263256414560601e-14,6.580242477441759,3.0,13.5,6.0,6340.477913987286,6340.478360218783,6340.478062731118,0.9999999296217933,1.85178930184852e-06,0.004038995591544668
16.0,2.5,2.5,2.4998993317992007,2.4992772669166934,0.0,4.026728031973903e-05,0.0002890932333226459,5.380536693157729e-07,2.842170943040401e-14,6.5802424774454,3.0,14.0,6.0,6341.211654799395,6341.212022562104,6341.211777386964,0.9999999420043506,5.352480007553244e-07,0.00521456230546697
17.0,2.5,2.5000000000000004,2.499899331799205,2.499213467538499,1.7763568394002506e-16,4.0267280317962675e-05,0.0003146129846003376,1.4373210702080294e-07,2.842170943040401e-14,6.580242477445837,3.0,14.5,6.0,6341.8592082662435,6341.859514924054,6341.859310485514,0.9999999516454425,1.4279781700702418e-07,0.006500310456270451
18.0,2.5,2.500000000000001,2.499899331799204,2.4991567531515284,3.552713678800501e-16,4.026728031831794e-05,0.0003372987393886362,3.544402606248344e-08,5.684341886080802e-14,6.58024247744588,3.0,15.0,6.0,6342.434917588236,6342.435175973549,6342.435003716673,0.9999999592608666,3.5163462361021996e-08,0.00791580428647749
