D,eta,C_tree_mumu,coeff_1,coeff_2,coeff_3,g_mu1_sq,g_mu2_sq,g_mu3_sq,mu_contrib_1,mu_contrib_2,mu_contrib_3,mu_share_1,mu_share_2,mu_share_3,y2_raw,p2_kin,m2_2,coeff2_kin_over_m2,C_tree_mumu_single_layer_pred,abs_single_layer_residual
4.0,0.2,0.0014758502143104,0.049995184152834875,0.35553548601005625,0.12845290190625552,6.442874387242344e-32,0.0041510630369783405,6.442874387242344e-32,3.221126914637642e-33,0.0014758502143104744,8.27605911658767e-33,2.182556795672339e-30,1.0000000000000504,5.607655191793775e-30,0.0041510630369783405,0.5837769412588872,1.6419653290034042,0.35553548601005625,0.0014758502143104744,7.43762690325056e-17
4.8,0.2,0.0015683202593658,0.07701036367732576,0.3769000766018832,0.09569135686240444,6.450661658690802e-32,0.004161103583490356,6.450661658690802e-32,4.967678002951601e-33,0.0015683202593658858,6.172725667804113e-33,3.167515036093737e-30,1.0000000000000546,3.935883395589272e-30,0.004161103583490356,0.5849273845853376,1.551942864695122,0.3769000766018832,0.0015683202593658858,8.565197162635485e-17
5.6,0.2,0.0013021892258809,0.10060441067224961,0.3791667999611166,0.06704947289713248,5.860327639121613e-32,0.00343434400378527,5.860327639121613e-32,5.8957480848012576e-33,0.0013021892258809097,3.92931879207601e-33,4.527566322638651e-30,1.0000000000000075,3.017471435012004e-30,0.00343434400378527,0.5591753679191946,1.4747477046422257,0.3791667999611166,0.0013021892258809097,9.75781955236954e-18
6.4,0.2,0.0006722767776805,0.1257516113210336,0.34686755800755326,0.05236204997297603,4.4024275081853346e-32,0.0019381367964826934,4.4024275081853346e-32,5.536123528783487e-33,0.0006722767776805341,2.305201291860048e-33,8.234887344888377e-30,1.0000000000000506,3.42894677964854e-30,0.0019381367964826932,0.5291961926395745,1.525643377199464,0.34686755800755326,0.000672276777680534,3.393552799879629e-17
7.2,0.2,0.0001209655046577,0.1554611778513543,0.3068207296420088,0.04629897694402536,1.9855847179327196e-32,0.0003942546672087957,1.9855847179327196e-32,3.086813389734697e-33,0.00012096550465777006,9.193054107597609e-34,2.5518129308595476e-29,1.000000000000579,7.599731951362077e-30,0.0003942546672087958,0.5022683822664366,1.6370092817798572,0.3068207296420088,0.00012096550465777009,7.008011792403179e-17
8.0,0.2,8.591083119440962e-05,0.1820472369122112,0.30804499395090496,0.04395337715187565,1.6700015826228804e-32,0.0002788905285962925,1.6700015826228804e-32,3.0401917375551514e-33,8.591083119440962e-05,7.340220940525269e-34,3.538775839190091e-29,1.0,8.543999445093149e-30,0.0002788905285962925,0.48003904807169423,1.5583406888546971,0.30804499395090496,8.59108311944096e-05,1.3552527156068805e-20
8.8,0.2,5.848230801141066e-05,0.155329249657946,0.2682273453142331,0.042357383623688884,1.4765927312580927e-32,0.00021803260940042338,1.4765927312580927e-32,2.2935804099669664e-33,5.848230801141067e-05,6.254460477384958e-34,3.9218363432569366e-29,1.0000000000000002,1.069461977486359e-29,0.00021803260940042336,0.4622615483611944,1.7233945622495974,0.2682273453142331,5.848230801141067e-05,6.776263578034403e-21
9.6,0.2,4.3579838328899834e-05,0.16152502998349622,0.2625585969697808,0.041326764841969545,1.2883376121110573e-32,0.00016598138027800206,1.2883376121110573e-32,2.0809877142510444e-33,4.357983832889987e-05,5.324282553277824e-34,4.775115727932942e-29,1.0000000000000009,1.2217306803882847e-29,0.00016598138027800206,0.4479745874560516,1.7061889902908467,0.2625585969697808,4.357983832889987e-05,3.3881317890172014e-20
10.4,0.2,2.996797540013284e-05,0.17639310314567963,0.2674407994958114,0.04063826049004364,1.058558517133576e-32,0.00011205461341960352,1.058558517133576e-32,1.8672242169848056e-33,2.996797540013284e-05,4.3017976763228585e-34,6.230731946531591e-29,1.0,1.435464898407448e-29,0.00011205461341960352,0.4365525232807252,1.6323333018138184,0.2674407994958114,2.996797540013284e-05,0.0
11.2,0.2,1.6473387012688423e-05,0.19039181628226284,0.27312194620045815,0.040136040046769475,7.766281918616586e-33,6.0315134839430895e-05,7.766281918616586e-33,1.4786365202455087e-33,1.6473387012688423e-05,3.1170780210009695e-34,8.975910777222724e-29,1.0,1.8921901237432705e-29,6.0315134839430895e-05,0.4274971575917408,1.5652244850290382,0.27312194620045815,1.6473387012688423e-05,0.0
12.0,0.2,8.248761138314983e-06,0.20336892222463163,0.27894931279632773,0.03982763960159168,5.437906249220823e-33,2.957082437531488e-05,5.437906249220823e-33,1.1059011330626278e-33,8.248761138314983e-06,2.1657897028121013e-34,1.3406875463101796e-28,1.0,2.6255939122205185e-29,2.9570824375314875e-05,0.420110827998155,1.5060471875221828,0.27894931279632773,8.248761138314981e-06,1.6940658945086007e-21
12.8,0.2,2.0494321184607085e-06,0.17135082903853138,0.22310340441491927,0.03962130271830165,3.0308446065934072e-33,9.186019029316344e-06,3.0308446065934072e-33,5.193377360267418e-34,2.0494321184607085e-06,1.2008601164996927e-34,2.534056782601841e-28,1.0,5.859477392213591e-29,9.186019029316344e-06,0.41412988848407895,1.8562239763670116,0.22310340441491927,2.0494321184607085e-06,0.0
13.6,0.2,5.624265717181725e-07,0.17198273027864014,0.21727377099825815,0.03945217894771782,1.608900787690989e-33,2.5885617446326847e-06,1.608900787690989e-33,2.7670315021455104e-34,5.624265717181736e-07,6.347464178510906e-35,4.919809342742163e-28,1.0000000000000018,1.128585400778605e-28,2.5885617446326847e-06,0.40933980625621896,1.883981689899885,0.21727377099825815,5.624265717181734e-07,9.529120656610879e-22
