D,eta,mu_diag,mu_matched_limit,delta_mu,rel_delta_mu
6.0,0.5,649.234032115619,649.2340321156192,2.2737367544323206e-13,3.502183560869467e-16
6.0,1.0,649.2274990162358,649.2274990162362,3.410605131648481e-13,5.253328204391399e-16
6.0,2.0,649.2144314856869,649.214431485687,1.1368683772161603e-13,1.7511446481781184e-16
6.0,3.0,649.2013621801729,649.201362180173,1.1368683772161603e-13,1.7511799010992298e-16
8.0,0.5,4.580581576315436,4.580581576315436,0.0,0.0
8.0,1.0,4.580581314267878,4.58058131426788,1.7763568394002505e-15,3.8780161676579006e-16
8.0,2.0,4.580580791434721,4.580580791434721,0.0,0.0
8.0,3.0,4.580580268490769,4.580580268490769,0.0,0.0
10.0,0.5,1.000000004732378,1.0000000047323785,4.440892098500626e-16,4.440892077484646e-16
10.0,1.0,1.0,1.0,0.0,0.0
10.0,2.0,0.9999999955609713,0.9999999955609713,0.0,0.0
10.0,3.0,0.9999999989512098,0.9999999989512098,0.0,0.0
12.0,0.5,0.03894859501832551,0.03894859501832553,2.0816681711721685e-17,5.344655359693291e-16
12.0,1.0,0.03894847722237275,0.03894847722237277,2.0816681711721685e-17,5.344671524093421e-16
12.0,2.0,0.03894851097116781,0.03894851097116783,2.0816681711721685e-17,5.344666892947854e-16
12.0,3.0,0.038948521385593286,0.0389485213855933,1.3877787807814457e-17,3.5631103092267136e-16
16.0,0.5,2.2468490031176468e-06,2.246849003117647e-06,4.235164736271502e-22,1.8849351827358847e-16
16.0,1.0,2.2601577487675614e-06,2.260157748767562e-06,4.235164736271502e-22,1.8738359030828223e-16
16.0,2.0,2.259553613276068e-06,2.259553613276068e-06,0.0,0.0
16.0,3.0,2.2597549648564054e-06,2.2597549648564063e-06,8.470329472543003e-22,3.7483397997894184e-16
20.0,0.5,0.0,2.5236955932230762e-08,2.5236955932230762e-08,2.523695593223076e+22
20.0,1.0,0.0,2.5236955932230762e-08,2.5236955932230762e-08,2.523695593223076e+22
20.0,2.0,0.0,2.5236955932230762e-08,2.5236955932230762e-08,2.523695593223076e+22
20.0,3.0,0.0,2.5236955932230762e-08,2.5236955932230762e-08,2.523695593223076e+22
