ref_D,ref_eta,f_R3_gt_0p90,f_winner_gt_3,f_hmumu_chi2_le_4,best_chi2,best_D,best_eta,anchor_source,delta_f_hmumu_chi2_le_4_vs_baseline,delta_best_chi2_vs_baseline
9.966101694915254,0.9728813559322034,0.9269444444444445,0.0002777777777777778,0.16111111111111112,2.83878030545507e-06,9.694915254237287,0.32881355932203393,selector_fixed,-0.0002777777777777657,-6.108145369064012e-05
10.0,1.0,0.9269444444444445,0.0002777777777777778,0.1613888888888889,6.392023399609519e-05,8.067796610169491,2.711864406779661,baseline_fixed,0.0,0.0
8.067796610169491,2.711864406779661,0.9269444444444445,0.0002777777777777778,0.10277777777777777,7.173570651799572e-06,8.610169491525424,0.2,selector_chi2_best,-0.058611111111111114,-5.674666334429562e-05
8.610169491525424,3.291525423728814,0.9269444444444445,0.0002777777777777778,0.11888888888888889,1.7142611857713688e-05,9.423728813559322,0.5220338983050847,selector_robust_center,-0.042499999999999996,-4.6777622138381505e-05
7.0,0.6,0.9269444444444445,0.0002777777777777778,0.025833333333333333,0.043597952984297264,6.983050847457627,0.2,grid,-0.13555555555555554,0.04353403275030117
8.0,0.6,0.9269444444444445,0.0002777777777777778,0.07527777777777778,6.373089555526132e-05,7.254237288135593,2.2610169491525425,grid,-0.08611111111111111,-1.893384408338647e-07
9.0,0.6,0.9269444444444445,0.0002777777777777778,0.11694444444444445,7.5135337048485e-07,7.796610169491526,2.0033898305084747,grid,-0.04444444444444444,-6.316888062561035e-05
10.0,0.6,0.9269444444444445,0.0002777777777777778,0.16305555555555556,2.28491779049193e-09,7.796610169491526,3.227118644067797,grid,0.0016666666666666774,-6.39179490783047e-05
11.0,0.6,0.9269444444444445,0.0002777777777777778,0.2338888888888889,6.625487041558297e-06,8.067796610169491,0.32881355932203393,grid,0.07250000000000001,-5.729474695453689e-05
12.0,0.6,0.9269444444444445,0.0002777777777777778,0.0775,9.29235420982808e-05,11.593220338983052,3.613559322033898,grid,-0.08388888888888889,2.9003308102185617e-05
13.0,0.6,0.9269444444444445,0.0002777777777777778,0.023055555555555555,0.00011528869285248055,12.94915254237288,1.6169491525423727,grid,-0.13833333333333334,5.1368458856385356e-05
7.0,0.9,0.9269444444444445,0.0002777777777777778,0.029166666666666667,2.8490533371968483e-06,6.983050847457627,0.2,grid,-0.1322222222222222,-6.107118065889833e-05
8.0,0.9,0.9269444444444445,0.0002777777777777778,0.07805555555555556,2.8049603828755952e-06,7.254237288135593,2.5830508474576273,grid,-0.08333333333333333,-6.111527361321959e-05
9.0,0.9,0.9269444444444445,0.0002777777777777778,0.12194444444444444,4.477558568038017e-08,8.067796610169491,1.2949152542372881,grid,-0.03944444444444445,-6.38754584104148e-05
10.0,0.9,0.9269444444444445,0.0002777777777777778,0.16305555555555556,6.331321455645281e-09,9.694915254237287,0.39322033898305087,grid,0.0016666666666666774,-6.391390267463954e-05
11.0,0.9,0.9269444444444445,0.0002777777777777778,0.23055555555555557,1.8781300120740179e-06,10.508474576271187,2.5830508474576273,grid,0.06916666666666668,-6.204210398402117e-05
12.0,0.9,0.9269444444444445,0.0002777777777777778,0.07361111111111111,5.7669686454006044e-05,11.593220338983052,3.8711864406779664,grid,-0.08777777777777777,-6.2505475420891456e-06
13.0,0.9,0.9269444444444445,0.0002777777777777778,0.024444444444444446,0.00013864908232039295,12.94915254237288,1.8745762711864407,grid,-0.13694444444444445,7.472884832429776e-05
7.0,1.2,0.9269444444444445,0.0002777777777777778,0.0325,2.282032215730608e-05,6.983050847457627,0.5220338983050847,grid,-0.1288888888888889,-4.109991183878911e-05
8.0,1.2,0.9269444444444445,0.0002777777777777778,0.0811111111111111,8.799164239295763e-05,7.796610169491526,0.7152542372881356,grid,-0.08027777777777778,2.4071408396862437e-05
9.0,1.2,0.9269444444444445,0.0002777777777777778,0.12638888888888888,8.162225868991327e-07,8.338983050847457,1.1016949152542372,grid,-0.035,-6.310401140919605e-05
10.0,1.2,0.9269444444444445,0.0002777777777777778,0.1597222222222222,3.5409996695876414e-06,9.694915254237287,0.7152542372881356,grid,-0.0016666666666666774,-6.037923432650755e-05
11.0,1.2,0.9269444444444445,0.0002777777777777778,0.2225,6.920615061938231e-07,8.338983050847457,2.1966101694915254,grid,0.061111111111111116,-6.322817248990136e-05
12.0,1.2,0.9269444444444445,0.0002777777777777778,0.0675,5.8853607290097937e-05,11.864406779661017,1.1016949152542372,grid,-0.09388888888888888,-5.066626705997253e-06
13.0,1.2,0.9269444444444445,0.0002777777777777778,0.026111111111111113,0.00014631553542222644,12.94915254237288,2.1966101694915254,grid,-0.13527777777777777,8.239530142613125e-05
7.0,1.5,0.9269444444444445,0.0002777777777777778,0.035833333333333335,0.00013288423387618708,6.983050847457627,0.8440677966101695,grid,-0.12555555555555556,6.896399988009189e-05
8.0,1.5,0.9269444444444445,0.0002777777777777778,0.08527777777777777,8.058270391804664e-05,7.796610169491526,1.0372881355932204,grid,-0.07611111111111112,1.6662469921951446e-05
9.0,1.5,0.9269444444444445,0.0002777777777777778,0.13194444444444445,2.3099697254748866e-06,8.881355932203391,0.32881355932203393,grid,-0.02944444444444444,-6.161026427062031e-05
10.0,1.5,0.9269444444444445,0.0002777777777777778,0.15583333333333332,9.289393816133074e-07,9.152542372881356,3.0338983050847457,grid,-0.005555555555555564,-6.299129461448188e-05
11.0,1.5,0.9269444444444445,0.0002777777777777778,0.21611111111111111,2.002908373750929e-06,7.796610169491526,1.8101694915254236,grid,0.05472222222222223,-6.191732562234426e-05
12.0,1.5,0.9269444444444445,0.0002777777777777778,0.06444444444444444,1.5295677407948108e-07,11.864406779661017,1.423728813559322,grid,-0.09694444444444444,-6.37672772220157e-05
13.0,1.5,0.9269444444444445,0.0002777777777777778,0.028333333333333332,0.00012330331423796048,12.94915254237288,2.454237288135593,grid,-0.13305555555555557,5.938308024186529e-05
7.0,1.8,0.9269444444444445,0.0002777777777777778,0.03916666666666667,0.00034576170582915986,6.983050847457627,1.1661016949152543,grid,-0.12222222222222222,0.00028184147183306466
8.0,1.8,0.9269444444444445,0.0002777777777777778,0.08694444444444445,6.970601096459943e-07,8.067796610169491,0.32881355932203393,grid,-0.07444444444444444,-6.32231738864492e-05
9.0,1.8,0.9269444444444445,0.0002777777777777778,0.13333333333333333,0.00017383275677999955,8.881355932203391,0.5864406779661018,grid,-0.028055555555555556,0.00010991252278390436
10.0,1.8,0.9269444444444445,0.0002777777777777778,0.15,6.6237905414842635e-06,8.881355932203391,2.454237288135593,grid,-0.011388888888888893,-5.7296443454610924e-05
11.0,1.8,0.9269444444444445,0.0002777777777777778,0.21,1.0382108234233192e-06,10.508474576271187,3.4203389830508475,grid,0.048611111111111105,-6.288202317267187e-05
12.0,1.8,0.9269444444444445,0.0002777777777777778,0.06166666666666667,7.503686003936949e-05,11.864406779661017,1.7457627118644068,grid,-0.09972222222222221,1.1116626043274302e-05
13.0,1.8,0.9269444444444445,0.0002777777777777778,0.029722222222222223,0.00017317208495541654,12.94915254237288,2.776271186440678,grid,-0.13166666666666665,0.00010925185095932135
7.0,2.1,0.9269444444444445,0.0002777777777777778,0.042777777777777776,0.0004974871063174987,6.983050847457627,1.423728813559322,grid,-0.11861111111111111,0.00043356687232140345
8.0,2.1,0.9269444444444445,0.0002777777777777778,0.09027777777777778,1.327158837785879e-05,8.067796610169491,0.6508474576271186,grid,-0.07111111111111111,-5.06486456182364e-05
9.0,2.1,0.9269444444444445,0.0002777777777777778,0.13666666666666666,1.1396398434170743e-05,9.152542372881356,0.4576271186440678,grid,-0.02472222222222223,-5.2523835561924445e-05
10.0,2.1,0.9269444444444445,0.0002777777777777778,0.1438888888888889,4.15993782246371e-05,9.423728813559322,2.711864406779661,grid,-0.017499999999999988,-2.2320855771458088e-05
11.0,2.1,0.9269444444444445,0.0002777777777777778,0.20527777777777778,2.82511291963787e-07,8.067796610169491,1.8745762711864407,grid,0.043888888888888894,-6.36377227041314e-05
12.0,2.1,0.9269444444444445,0.0002777777777777778,0.058611111111111114,0.0002939242845540243,11.864406779661017,2.0677966101694913,grid,-0.10277777777777777,0.00023000405055792912
13.0,2.1,0.9269444444444445,0.0002777777777777778,0.030555555555555555,0.00012115755823794288,12.94915254237288,3.0338983050847457,grid,-0.13083333333333333,5.7237324241847694e-05
7.0,2.4,0.9269444444444445,0.0002777777777777778,0.04694444444444444,0.00023485744517292288,6.983050847457627,1.7457627118644068,grid,-0.11444444444444445,0.00017093721117682767
8.0,2.4,0.9269444444444445,0.0002777777777777778,0.09472222222222222,2.0645564809954088e-07,7.525423728813559,3.0983050847457627,grid,-0.06666666666666667,-6.371377834799565e-05
9.0,2.4,0.9269444444444445,0.0002777777777777778,0.13666666666666666,1.131910957160323e-05,9.152542372881356,0.9084745762711863,grid,-0.02472222222222223,-5.260112442449196e-05
10.0,2.4,0.9269444444444445,0.0002777777777777778,0.1363888888888889,4.870149153651694e-05,9.423728813559322,3.0338983050847457,grid,-0.024999999999999994,-1.521874245957825e-05
11.0,2.4,0.9269444444444445,0.0002777777777777778,0.2,1.540034987758146e-07,4.0,2.5830508474576273,grid,0.038611111111111124,-6.376623049731938e-05
12.0,2.4,0.9269444444444445,0.0002777777777777778,0.0575,0.0001873434555720266,11.864406779661017,2.3254237288135595,grid,-0.10388888888888889,0.00012342322157593143
13.0,2.4,0.9269444444444445,0.0002777777777777778,0.03166666666666667,0.0001818352212565498,12.94915254237288,3.3559322033898304,grid,-0.1297222222222222,0.0001179149872604546
