component,rmse,p95_abs_resid,a,b,c,k,Dc,A,omega,phi
E_part_smooth,0.015382748467424615,0.02370276778236441,-1.269898795506936,0.08211159737213518,-0.0026131593255833154,86.49544424431949,19.061623743542334,,,
E_part_osc,0.014143672216241618,0.02676958476018909,-1.284246924037818,0.08488975583632642,-0.002736137146131589,65.82080074716995,19.04978858392968,0.018284987901551586,2.24231632370719,-2.0920898858564168
E_tree_smooth,0.13027549299076277,0.28730861847981604,0.24495532079359508,-0.06822478779496145,0.0022679626309174386,2.42903333844308,18.625582820152555,,,
E_tree_osc,0.1550235819866907,0.23150736457607257,0.4059426124940476,-0.09969790862832689,0.0036471345229156125,71.4812833363406,18.009058901807528,0.1166545354263172,1.92275765821027,2.7197666092194184
E_tree_smooth_support_only,0.13232752587124474,0.2880912947410618,0.24495532079359508,-0.06822478779496145,0.0022679626309174386,2.42903333844308,18.625582820152555,,,
E_tree_osc_support_only,0.1610267017618468,0.27386986476780745,0.4059426124940476,-0.09969790862832689,0.0036471345229156125,71.4812833363406,18.009058901807528,0.1166545354263172,1.92275765821027,2.7197666092194184
E_tree_smooth_refit_support_only,0.12774998050302913,0.2780624129902431,0.3459468740359246,-0.09516591508102644,0.0038442142560285407,1.0000000000000069,18.792070531912497,,,
E_tree_osc_refit_support_only,0.1610267017474917,0.27386151111435336,0.40594919388628264,-0.09969897415220128,0.003647170707379734,60.62000523326008,18.01068516593685,0.11665489493596545,1.922757900057699,2.7196626295982287
xi_recon_part_smooth_tree_smooth,0.011069088499037918,0.02435970366822081,,,,,,,,
xi_recon_part_smooth_tree_osc,0.024746378146859944,0.022525933602205284,,,,,,,,
xi_recon_part_osc_tree_osc,0.024763214458722604,0.022616467549016556,,,,,,,,
xi_recon_part_smooth_tree_smooth_support_only,0.011497726924150147,0.024538312863720955,,,,,,,,
xi_recon_part_smooth_tree_osc_support_only,0.02570465475299371,0.03461928058547251,,,,,,,,
xi_recon_part_osc_tree_osc_support_only,0.025722143032740147,0.0346962344402621,,,,,,,,
