D,generic_offdiag_q_residual_p95,generic_offdiag_rho_inferred_p50,generic_offdiag_rho_inferred_p95,generic_offdiag_positive_q_fraction
4.0,0.3519276065124836,1.2709385274043025e-15,2.539662514622657e-15,1.0
4.8,0.3979247888506425,0.0,2.2320452851221947e-15,1.0
5.6,0.41684117495034345,0.0,3.1961261214100345e-15,1.0
6.4,0.4390469371298787,0.0,2.0229912818472676e-15,1.0
7.2,0.27548565021122934,0.0,3.2240471497853676e-15,1.0
8.0,0.2686298002724488,0.0,3.3063288966576386e-15,1.0
8.8,0.3614154650589739,0.0,2.4574997797058226e-15,1.0
9.6,0.43938194904718975,0.0,2.0214267381486598e-15,1.0
10.4,0.45877998023759,0.0,1.9359572374070033e-15,1.0
11.2,0.4609701323603936,0.0,1.9267591887468455e-15,1.0
12.0,0.44081121381892185,1.0074364497888043e-15,3.022309650939842e-15,1.0
12.8,0.4179700579846242,0.0,3.1874760913226237e-15,1.0
13.6,0.36261330820652976,0.0,1.2247316710554414e-15,1.0
14.4,0.36799839657079053,1.2067734244196517e-15,2.413588634848194e-15,1.0
15.2,0.4310792270372139,0.0,3.0910379434134384e-15,1.0
16.0,0.41140131916651707,1.0801076846994027e-15,3.240288569765345e-15,1.0
16.8,0.4086480568703924,0.0,3.2601834442901268e-15,1.0
17.6,0.37674387649892527,0.0,2.453597683648498e-15,1.0
18.4,0.27778529554967185,-1.5986778888757055e-15,0.0,1.0
19.200000000000003,0.27888901136072286,0.0,0.0,1.0
20.0,0.0,0.0,0.0,1.0
