D,eta,generic_offdiag_k11,generic_offdiag_k_bg,generic_offdiag_k22,generic_offdiag_e_part,generic_offdiag_e_tree,generic_offdiag_det_ratio_ref,generic_offdiag_q_inferred,generic_offdiag_q_geomean,generic_offdiag_q_residual,generic_offdiag_rho_inferred,generic_offdiag_rho_residual,generic_offdiag_schur_from_q,generic_offdiag_schur_from_det,generic_offdiag_positive_cone,generic_offdiag_positive_q
4.0,0.2,1.4003545423064692,1.052928468881864,1.9324179114318152,0.40035454230646916,0.8794894425499511,2.5700418213419374,-8.881784197001252e-16,0.3521075932354574,-0.35210759323545826,-2.5224631242365532e-15,-1.0000000000000024,1.8352793836830217,1.8352793836830221,1,1
4.8,0.2,1.3864469292404067,1.3330127461264274,2.362702968139451,0.3864469292404067,1.0296902220130235,2.45741256743651,-4.440892098500626e-16,0.39792062436580555,-0.397920624365806,-1.1160246105811662e-15,-1.000000000000001,1.772453395517168,1.7724533955171682,1,1
5.6,0.2,1.3740065777952906,1.0489632309804584,2.1633438169820285,0.37400657779529056,1.11438058600157,2.833701455662799,4.440892098500626e-16,0.4167856693319577,-0.41678566933195726,1.0655097872291727e-15,-0.9999999999999989,2.0623638208557282,2.0623638208557282,1,1
6.4,0.2,1.4087562872961084,1.2368422574530327,2.3109335636598973,0.40875628729610836,1.0740913062068647,2.63214016800611,0.0,0.4390415745421455,-0.4390415745421455,0.0,-1.0,1.8684141407156376,1.8684141407156376,1,1
7.2,0.2,1.465397035754631,1.5397550802947837,2.131691691581259,0.4653970357546311,0.5919366112864752,2.0287477703193604,1.7763568394002505e-15,0.2754855442473669,-0.2754855442473651,6.44809456065399e-15,-0.9999999999999936,1.3844355630722442,1.3844355630722442,1,1
8.0,0.2,1.4813765064519049,1.5891268740470006,2.1471719293261815,0.4813765064519049,0.5580450552791809,2.001583450235415,0.0,0.26862977915305225,-0.26862977915305225,0.0,-1.0,1.3511645699238712,1.3511645699238712,1,1
8.8,0.2,1.489316794072924,1.1526414316992488,1.8912538593858557,0.48931679407292394,0.7386124276866068,2.4436707350404565,-4.440892098500626e-16,0.3614154651780298,-0.36141546517803025,-1.2287498810581016e-15,-1.0000000000000013,1.640799824970484,1.6407998249704843,1,1
9.6,0.2,1.496386180473614,1.1066533286499558,1.991814853819894,0.49638618047361405,0.8851615251699383,2.6932772388207646,0.0,0.43938194858130447,-0.43938194858130447,0.0,-1.0,1.7998543918444425,1.7998543918444423,1,1
10.4,0.2,1.5001900984560719,1.191089660939199,2.1083009049864505,0.5001900984560719,0.9172112440472515,2.655427417389111,0.0,0.4587799824650109,-0.4587799824650109,0.0,-1.0,1.7700606210652616,1.7700606210652619,1,1
11.2,0.2,1.501890377156128,1.263616892757297,2.1820846584052984,0.501890377156128,0.9184677656480014,2.593548700862767,0.0,0.46097013330682163,-0.46097013330682163,0.0,-1.0,1.7268561942408374,1.7268561942408374,1,1
12.0,0.2,1.502567924724998,1.324701506182844,2.2018194050882944,0.5025679247249979,0.8771178989054504,2.4974556144772,8.881784197001252e-16,0.4408113221920627,-0.4408113221920618,2.014872066541756e-15,-0.999999999999998,1.662124935173422,1.662124935173422,1,1
12.8,0.2,1.5279606669354249,1.114287005200122,1.9059583976837793,0.5279606669354249,0.7916713924836574,2.6135362351758324,1.3322676295501878e-15,0.4179713563693683,-0.41797135636936694,3.187461555075656e-15,-0.9999999999999968,1.7104735034951566,1.7104735034951568,1,1
13.6,0.2,1.5316649359830974,1.1152775579450587,1.7972738537376562,0.5316649359830974,0.6819962957925976,2.468283632642407,0.0,0.36259351694328096,-0.36259351694328096,0.0,-1.0,1.6115036485170577,1.6115036485170575,1,1
