beta,gamma,best_center_D_eff,best_width_D_eff,best_implied_center_D,D,slice_corr_quartic,slice_p95_abs_xi_resid,slice_p95_abs_quartic_resid,slice_mean_quartic_gap
0.0,1.0,16.8,0.4,16.8,4.0,,0.00123570547536489,3.11574730221234e-05,1.8470209936320313e-05
0.0,1.0,16.8,0.4,16.8,4.8,,0.005834882073735698,0.00014767987306471162,0.0001473807304423981
0.0,1.0,16.8,0.4,16.8,5.6,,0.0035298607822629724,8.624310297405827e-05,8.603793572468281e-05
0.0,1.0,16.8,0.4,16.8,6.4,,0.003111290462715882,7.878609259216892e-05,7.876847913684468e-05
0.0,1.0,16.8,0.4,16.8,7.2,,0.02747616491691582,0.0006902266425214291,0.0006902265418036502
0.0,1.0,16.8,0.4,16.8,8.0,,0.030434337439340084,0.0007577590114726615,0.0007577589830111343
0.0,1.0,16.8,0.4,16.8,8.8,,0.0013691903843152664,3.575507166400714e-05,3.575506852614651e-05
0.0,1.0,16.8,0.4,16.8,9.6,,0.01414862415543322,0.0003686336957478653,0.0003686336950050062
0.0,1.0,16.8,0.4,16.8,10.4,,0.012723429041189227,0.0003322673874483304,0.0003322673747426547
0.0,1.0,16.8,0.4,16.8,11.2,,0.009879300035097155,0.00025848706215434846,0.00025848702523357863
0.0,1.0,16.8,0.4,16.8,12.0,,0.004908064283363517,0.00012851267102692988,0.00012851248531505649
0.0,1.0,16.8,0.4,16.8,12.8,,0.012244195621412629,0.00032185538444663144,0.00032185356365195994
0.0,1.0,16.8,0.4,16.8,13.6,,0.004157691845557782,0.0001091854806547863,0.00010916674271944731
0.0,1.0,16.8,0.4,16.8,14.4,,0.0010056252122177811,2.634881880133515e-05,2.6301502476517268e-05
0.0,1.0,16.8,0.4,16.8,15.2,,0.006925039581189146,0.00018188203932305454,0.0001816536709457249
0.0,1.0,16.8,0.4,16.8,16.0,0.7859377305813565,0.0011871006557982733,3.1157523288730246e-05,2.9943888350264817e-05
0.0,1.0,16.8,0.4,16.8,16.8,0.9882007897617585,0.005415695841498425,0.00014345789312617484,0.00013204469073110274
0.0,1.0,16.8,0.4,16.8,17.6,0.9708319770360491,0.003378552728527967,8.684964850862046e-05,6.206494697316624e-05
0.0,1.0,16.8,0.4,16.8,18.4,1.0,0.00565173647221677,0.0001313556410145239,0.00011879478675809116
0.0,1.0,16.8,0.4,16.8,19.200000000000003,1.0,0.01198165458369331,0.0002972207562511567,9.908030496736406e-05
0.0,1.0,16.8,0.4,16.8,20.0,,2.7232422221868517e-05,1.8540120501752955e-10,1.8540120501752958e-10
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,4.0,,0.003835153756624299,9.559964802163682e-05,8.141019098886521e-05
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,4.8,,0.0019200459800886582,4.7831338657927354e-05,4.7532196035613176e-05
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,5.6,,0.0077335781140217275,0.00018608204288487985,0.00018587687563550418
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,6.4,,0.007162659678520283,0.00017862128777207365,0.00017860367431674984
