D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
4.0,0.2,0.5339835720691466,0.3813202699293874,0.8352793836830217,0.8450472597147287,0.738157279449201,0.3367254490648569,0.6071967226055646,0.9439221716704215,0.6237777862370266,-0.16836272453242845,-0.3035983613027823,0.13011768624754758,0.0016469199191450298,0.0433261161132477
4.8,0.2,0.5496017971416134,0.3964102668125378,0.7724533955171682,0.8492750682447441,0.7511256409565624,0.326744308558147,0.5723646859993048,0.8991089945574517,0.6379122799837617,-0.1633721542790735,-0.2861823429996524,0.12147420690955972,0.001501170696756413,0.0392190539319979
5.6,0.2,0.5468206835304987,0.3979753025694525,1.062363820855729,0.85311110274794,0.696333612351461,0.3177309811215154,0.7238528107951022,1.0415837919166175,0.5940499359136113,-0.1588654905607577,-0.3619264053975511,0.14021627303672501,0.0017345337478142022,0.0448967669998699
6.4,0.2,0.5249812193015628,0.3726558128157027,0.8684141407156374,0.8425235836395761,0.7315827004097961,0.34270724939373237,0.6250900179727944,0.9677972673665267,0.6163756784779798,-0.17135362469686619,-0.3125450089863972,0.13485974049142666,0.0017274108182460523,0.0493701336927381
7.2,0.2,0.5085808844373885,0.3470601291174894,0.3844355630722452,0.8260804526024531,0.8498917755867975,0.3821262199183088,0.32529252088615496,0.7074187408044638,0.702078982639844,-0.1910631099591544,-0.16264626044307748,0.08818995348264555,0.0009584074483106981,0.0543924299977552
8.0,0.2,0.5340456080149918,0.3605063302199267,0.3511645699238713,0.821612945758027,0.8602919827877128,0.3929717274540861,0.3009668649745629,0.693938592428649,0.7068270301902266,-0.19648586372704305,-0.15048343248728144,0.08445432232153847,0.0008908612526186985,0.057994994496971
8.8,0.2,0.465913978595868,0.3128373899025909,0.640799824970484,0.8194198053033038,0.7806784649252572,0.39831748733366634,0.4951838211027493,0.8935013084364156,0.6397033957335363,-0.19915874366683317,-0.24759191055137464,0.12831275159165706,0.0016843679044948865,0.0457081664589713
9.6,0.2,0.4654103917952466,0.311022914985717,0.7998543918444424,0.8174819187980201,0.7453861415266694,0.40305298826718194,0.5877057682103156,0.9907587564774976,0.6093396932206743,-0.20152649413359097,-0.2938528841051578,0.14741767419255672,0.0020172422607575686,0.0411393810783117
10.4,0.2,0.4844721631315347,0.3229405150921417,0.7700606210652617,0.816444847598413,0.7516331566998592,0.4055918323823523,0.5710137951886611,0.9766056275710134,0.6136670180717306,-0.20279591619117615,-0.28550689759433057,0.14505261764845884,0.001980873375495738,0.0443592616003478
11.2,0.2,0.5036498025294905,0.3353439173657705,0.7268561942408373,0.8159825712179611,0.7609776709350862,0.4067245660953016,0.5463025265838906,0.9530270926791922,0.6209445165690671,-0.2033622830476508,-0.2731512632919453,0.14065752046392924,0.0019070914358075453,0.0459252714847219
12.0,0.2,0.522145874622551,0.347502343175677,0.6621249351734221,0.8157985764254758,0.7756542341883732,0.4071755942090428,0.5080968651925043,0.9152724594015471,0.6327776200492675,-0.2035877971045214,-0.25404843259625215,0.13324070812303054,0.0017771172987235374,0.0457444364275039
12.8,0.2,0.4340755361717523,0.2840881611451176,0.7104735034951574,0.8089914145203916,0.7646132585185753,0.423933948878602,0.5367702348128582,0.9607041836914603,0.618565561569988,-0.211966974439301,-0.2683851174064291,0.1435228100902971,0.001970395200473436,0.0392926289711688
13.6,0.2,0.428708680224616,0.2798971695134157,0.6115036485170576,0.808012565999803,0.7877426386557543,0.4263553372040366,0.477167686321092,0.9035230235251286,0.6365059508076917,-0.2131776686020183,-0.238583843160546,0.13171705384368732,0.00175723142630569,0.0396211797225291
14.4,0.2,0.4446044252009733,0.2908063368569028,0.5817800272422496,0.8087513943566201,0.795109525246571,0.424527418159913,0.4585508124222812,0.8830782305821943,0.6430459372093944,-0.2122637090799565,-0.2292754062111406,0.12723010234990384,0.0016734153914028118,0.0396849667542082
15.2,0.2,0.4600093586360452,0.301311214387321,0.6474746402323869,0.8093275313456636,0.7790953834150505,0.4231031686891619,0.49924359439738103,0.922346763086543,0.6305433433421062,-0.21155158434458096,-0.24962179719869051,0.1355842383803304,0.0018272093581494806,0.0417258105506857
16.0,0.2,0.4760391641578648,0.3126968198380725,0.5952564149519112,0.8104764316211525,0.7917439439612242,0.4202660340866548,0.46703448504136263,0.8873005191280174,0.6416898064593505,-0.2101330170433274,-0.23351724252068132,0.1280352887012083,0.0016875228401436932,0.0435062525324147
16.8,0.2,0.4926256975220699,0.3260734472595267,0.6063241073583004,0.813577980777496,0.7890116420959563,0.41262699711030537,0.47394840547388284,0.8865754025841882,0.6419224985863644,-0.20631349855515269,-0.23697420273694142,0.12761599202241602,0.0016777042517893835,0.0426372294501484
17.6,0.2,0.4410367983505292,0.2876304861315658,0.5353027450111023,0.8075697528076581,0.8070547292918159,0.42745169286002216,0.42872758961253354,0.8561792824725557,0.6517529882364431,-0.21372584643001108,-0.21436379480626677,0.12127571595302504,0.0015619019428042068,0.0407600933091185
18.4,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0586804347402074
