D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016277754232253458,0.0014758502143104744,0.0003435162004482209,0.00016281190969769338,0.001476161811950233,0.00034358872734576145,0.00016332242115428634,0.0014807904507161864,0.00034466608085136123,3.11597639758663e-07,3.11597639758663e-07,4.628638765953336e-06,4.628638765953336e-06,4.940236405711999e-06,4.940236405711999e-06,0.0033473833305096654,1.280917082806759,1.0,0.24757629233153006,1.0002111309377721,1.0,0.0,0.0,input_tied,0.03334046132228405,0.0,0.07718149434815945,0.7278992382235014,2.8777801998322563e-29,2.4083057749134755,2.408282361761547,-2.3413151928330933e-05,2.3413151928330933e-05,6.3542533482741534,6.353958256496523
4.8,0.2,0.00019561316472304778,0.0015683202593658858,0.00015202569746888047,0.00019565168010082985,0.0015686290547752247,0.00015205563066473098,0.00019641412598950584,0.0015747419323802352,0.00015264818468926382,3.087954093389505e-07,3.087954093389505e-07,6.112877605010539e-06,6.112877605010539e-06,6.42167301434949e-06,6.42167301434949e-06,0.004094618414829345,1.3602809677586774,1.0,0.30769127235057525,1.0001968956324416,1.0,0.0,0.0,input_tied,0.03109251200802224,0.0,0.07111786048012514,0.7487878177500273,2.993923942695591e-29,13.739693054108729,13.739222382955512,-0.00047067115321652864,0.00047067115321652864,951.67515418512,951.6025563501894
5.6,0.2,0.00015714102819852153,0.0013021892258809095,5.9531521082067194e-05,0.00015718904937528716,0.0013025871656151418,5.954971349005753e-05,0.00015790187915181987,0.0013084942114422527,5.981976289317058e-05,3.979397342323415e-07,3.979397342323415e-07,5.90704582711086e-06,5.90704582711086e-06,6.304985561343202e-06,6.304985561343202e-06,0.004841835146560964,1.4305484675437201,1.0,0.35805791447458585,1.0003055928634053,1.0,0.0,0.0,input_tied,0.04825729071368322,0.0,0.1092096338293002,0.7675103934186478,3.368050735349661e-29,57.97841649278864,57.971521591467706,-0.0068949013209334,0.0068949013209334,20006.98258019661,20002.106594836856
6.4,0.2,0.00010403201165275425,0.0006722767776805341,2.7226734432871954e-05,0.00010406920486986045,0.0006725171280856689,2.723646845443673e-05,0.00010458375550221527,0.0006758422626820046,2.7371134055887877e-05,2.4035040513479666e-07,2.4035040513479666e-07,3.3251345963356905e-06,3.3251345963356905e-06,3.565485001470487e-06,3.565485001470487e-06,0.005303596851540818,1.4775528482269376,1.0,0.3903872383399466,1.0003575170422576,1.0,0.0,0.0,input_tied,0.056456828379677436,0.0,0.1316552460415761,0.715292935971534,4.490444037185556e-29,59.89373701777076,59.87912582688745,-0.014611190883307756,0.014611190883307756,21384.482939400787,21373.80098423084
7.2,0.2,7.600592234179314e-05,0.00012096550465777007,1.756797557663314e-05,7.60335202574062e-05,0.00012100942749544874,1.7574354546751754e-05,7.64189142013245e-05,0.00012162279250019773,1.7663434334030594e-05,4.3922837678669327e-08,4.3922837678669327e-08,6.133650047489893e-07,6.133650047489893e-07,6.572878424276587e-07,6.572878424276587e-07,0.005433679992384826,1.4921401916441892,1.0,0.40021145959540433,1.0003631021736563,1.0,0.0,0.0,input_tied,0.05733879697859901,0.0,0.14069871838435052,0.6301156865399458,8.300515088233312e-29,3.5327999605622566,3.5316228907589973,-0.0011770698032593785,0.0011770698032593785,28.43022294858977,28.398850927548402
8.0,0.2,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.316371425337548e-05,8.594404370748372e-05,1.3498188693067546e-05,6.346964167188931e-05,8.636030547642593e-05,1.3563565881066937e-05,3.321251307410514e-08,3.321251307410514e-08,4.1626176894220637e-07,4.1626176894220637e-07,4.494742820163115e-07,4.494742820163115e-07,0.005231869786001555,1.4658274448318904,1.0,0.38241989178356733,1.0003865928499627,1.0,0.0,0.0,input_tied,0.061048295894732825,0.0,0.1520636193182569,0.6058619719411955,9.73259793452573e-29,2.326336307979538,2.324800829444363,-0.0015354785351746614,0.0015354785351746614,5.363118471757258,5.345353588381139
8.8,0.2,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.2153293311791738e-05,5.849930260625157e-05,7.049798375937398e-06,2.2275939029122597e-05,5.882316817470318e-05,7.088827678113185e-06,1.6994594840908565e-08,1.6994594840908565e-08,3.238655684516134e-07,3.238655684516134e-07,3.40860163292522e-07,3.40860163292522e-07,0.005828432134142444,1.5482467554553723,1.0,0.43712316521321565,1.000290593778166,1.0,0.0,0.0,input_tied,0.04588873011067035,0.0,0.11517223325097901,0.5937428255184164,1.2483365521746187e-28,1.5836854177066555,1.5836977511470565,1.2333440400968954e-05,1.2333440400968954e-05,0.2108770792379284,0.21090539860303698
9.600000000000001,0.2,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.0978306119706183e-05,4.359238181811095e-05,3.957168215218717e-06,1.1039062889488285e-05,4.383363327143145e-05,3.979068201939758e-06,1.2543489211113627e-08,1.2543489211113627e-08,2.412514533205e-07,2.412514533205e-07,2.5379494253161363e-07,2.5379494253161363e-07,0.005823677926847891,1.5480056645464257,1.0,0.4369674344285572,1.0002878278050609,1.0,0.0,0.0,input_tied,0.045451945145337146,0.0,0.11485685465158924,0.5829075341898452,1.5205403541526647e-28,1.0000000014340404,1.0000000014343748,3.3439917501709715e-13,3.3439917501709715e-13,0.9999999928297973,0.9999999928281254
10.4,0.2,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.424389240022121e-06,2.9977353323954232e-05,2.1106485848427747e-06,7.463944059918059e-06,3.013706327090771e-05,2.121893459261135e-06,9.377923821390644e-09,9.377923821390644e-09,1.5970994695347937e-07,1.5970994695347937e-07,1.6908787077487002e-07,1.6908787077487002e-07,0.005642285423596567,1.5229622419775668,1.0,0.42065728173279693,1.0003129315109272,1.0,0.0,0.0,input_tied,0.049416163479781255,0.0,0.12533762689732517,0.577057574905652,1.8818072702544209e-28,0.4952545984950411,0.4950793548279806,-0.00017524366706050953,0.00017524366706050953,5.116026509652305,5.118008587865896
11.2,0.2,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.5600461507154865e-06,1.647894527898239e-05,7.958751517045521e-07,4.583440876608496e-06,1.656348837242174e-05,7.999582860421867e-07,5.5582662939657635e-09,5.5582662939657635e-09,8.45430934393519e-08,8.45430934393519e-08,9.010135973331766e-08,9.010135973331766e-08,0.005469510287345171,1.499419168235305,1.0,0.40507781194222237,1.000337408833392,1.0,0.0,0.0,input_tied,0.053281467312199696,0.0,0.1353663151635882,0.574437990656976,2.5787377245512494e-28,0.15211173576309514,0.15200492626664427,-0.0001068094964508659,0.0001068094964508659,9.732657000126215,9.73432315039202
