D,level,Nz,zmax,N_ref,E_ref,omega_ref,S_l1,gamma_geo_l1,A1_fp,S_l2,gamma_geo_l2,A2_fp,A21_ratio,grid_index,A1_profile,A2_profile,D_ref_profile
4.0,fine,8001,80.0,2.0,-0.3900972960948542,0.7809626776646537,10.815010368885392,3.1537817049054014e-10,2.9184960858256078e-09,18.151442987581873,1.3380958482119617e-16,3.3288451356672013e-15,1.1406029125187299e-06,0,409503.3561746769,4924703.8810177045,12.0
5.4,fine,8001,80.0,2.0,-0.4424787133311908,0.7466734806251051,12.221437916741799,1.8101919555512812e-11,2.509274010601042e-10,20.007747747537458,3.1233585519470885e-18,1.3929078729510869e-16,5.551039332756832e-07,1,35208.41209599687,206067.22536665708,12.0
5.6,fine,8001,80.0,2.0,-0.44645514267547837,0.7440059524792269,12.407366228603303,1.2435837375348393e-11,1.7802760223700103e-10,20.24694618336344,1.928867539549856e-18,9.011748695277788e-17,5.061995208631079e-07,2,24979.61226052458,133320.0914000934,12.0
5.698305085,fine,8001,80.0,2.0,-0.4482172577835582,0.7428208008776018,12.48796688060786,1.0567538621047693e-11,1.5346782365847933e-10,20.352494019332518,1.5593096459514796e-18,7.437716658156736e-17,4.846433917449895e-07,3,21533.55255749555,110033.81232690791,12.0
5.8,fine,8001,80.0,2.0,-0.4499201671106432,0.741673670079609,12.590500037173767,8.594952490887876e-12,1.265691101022208e-10,20.480500699915005,1.2052467813464428e-18,5.865550529103446e-17,4.634267021681879e-07,4,17759.309538439695,86775.13755590058,12.0
5.898305085,fine,8001,80.0,2.0,-0.4514590520693552,0.7406355027479069,12.670120082117403,7.31944333433871e-12,1.091534120133186e-10,20.584510053360574,9.775213883841748e-19,4.8447059893201776e-17,4.438437516482801e-07,5,15315.65821673067,71672.73157996514,12.0
5.969491525,fine,8001,80.0,2.0,-0.45251207915614644,0.7399242669651088,12.73926181140416,6.368029322274217e-12,9.578987714054179e-11,20.670792209834655,8.217983866406043e-19,4.12411495644367e-17,4.305376600904099e-07,6,13440.578648408631,61012.28535430368,12.0
6.098305085,fine,8001,80.0,2.0,-0.454296257587245,0.7387176337496993,12.849797931996008,5.09666155603215e-12,7.780000062164206e-11,20.811552739205702,6.1914652125215215e-19,3.173754853644116e-17,4.0793763859704334e-07,7,10916.362547027964,46952.62833849816,12.0
6.169491525,fine,8001,80.0,2.0,-0.455219709376641,0.7380923320448187,12.91798737153998,4.443134171114454e-12,6.834286586013047e-11,20.895745199826678,5.227535881041663e-19,2.709305675256786e-17,3.964284554296585e-07,8,9589.402252839442,40081.55270078715,12.0
6.2,fine,8001,80.0,2.0,-0.4556026261275469,0.737832890207839,12.94929059703467,4.172026987360878e-12,6.437615176368094e-11,20.932285626169538,4.857420805050863e-19,2.5290160681304848e-17,3.92849836289419e-07,9,9032.820133928713,37414.3426272128,12.0
6.240677966,fine,8001,80.0,2.0,-0.4561016149710423,0.7374946677969663,12.98500738045964,3.882619031775408e-12,6.015819778791875e-11,20.977130775696075,4.438687810527364e-19,2.3248187530144848e-17,3.8645086430454305e-07,10,8440.985758116516,34393.44117562393,12.0
6.369491525,fine,8001,80.0,2.0,-0.45759879061428005,0.7364789266406202,13.09451169066128,3.114669597120015e-12,4.886175505518239e-11,21.11623102054039,3.3561016241337427e-19,1.7895790342684125e-17,3.6625353146798304e-07,11,6855.946383091295,26475.088074901225,12.0
6.4,fine,8001,80.0,2.0,-0.4579358193171763,0.7362500802599777,13.125343630622222,2.9274988383385943e-12,4.605412497620081e-11,21.151104501718045,3.12902773482652e-19,1.6752506527536677e-17,3.637569172401777e-07,12,6461.998984695286,24783.710431275013,12.0
6.440677966,fine,8001,80.0,2.0,-0.45837523814872794,0.7359516029273067,13.160653783980266,2.7267832797334204e-12,4.305338694366773e-11,21.195189466728095,2.8637928401232596e-19,1.541350035977158e-17,3.580090082097151e-07,13,6040.956002560987,22802.780528455205,12.0
6.6,fine,8001,80.0,2.0,-0.45999280594433745,0.7348518177535268,13.299400343088266,2.062943860487775e-12,3.3013339217394994e-11,21.365093065671314,2.0357091339208815e-19,1.1171684927127441e-17,3.383991196274078e-07,14,4632.20535868286,16527.42554126189,12.0
6.640677966,fine,8001,80.0,2.0,-0.4603809005221797,0.7345877071376979,13.33433581423652,1.9230329624689042e-12,3.0874065462404386e-11,21.408649567696145,1.8652064642651543e-19,1.0283936311513414e-17,3.3309303965933e-07,15,4332.037136186431,15214.087469196176,12.0
20.0,fine,8001,80.0,2.0,-0.48224790141830554,0.7195499277893748,23.439152455581038,3.148268688344037e-21,6.088683294151193e-20,32.568271072680304,3.703566183152201e-29,2.67194779619995e-27,4.3883836079413605e-08,16,8.54322284600312e-06,3.952887907230693e-06,12.0
