D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
4.0,0.2,2,2,0,0.9004101525736348,0.9004101525736348,0.0,0.0,1.3909698534688104,1.3909697733382114,-8.013059904499187e-08,8.013059904499187e-08,0.0005096471648422107,0.000509656209770479,9.044928268278803e-09,9.044928268278803e-09,0,0
5.4,0.2,2,2,0,0.9399145348160752,0.9399144896602474,-4.515582785469263e-08,4.515582785469263e-08,29.08961743842131,29.08958448144434,-3.2956976969700236e-05,3.2956976969700236e-05,4791.968211788285,4791.9568047190205,-0.011407069264350866,0.011407069264350866,0,0
5.6,0.2,2,2,0,0.942412404994291,0.9424123966721234,-8.32216762169935e-09,8.32216762169935e-09,41.121154618185955,41.1211441236708,-1.0494515152004169e-05,1.0494515152004169e-05,9861.063276261471,9861.058065583922,-0.005210677549257525,0.005210677549257525,0,0
5.698305085,0.2,2,2,0,0.9435078415972072,0.9435078471521199,5.554912640981513e-09,5.554912640981513e-09,49.050975883688814,49.05098002528889,4.141600072671281e-06,4.141600072671281e-06,14191.34689167433,14191.349358565501,0.0024668911719345488,0.0024668911719345488,0,0
5.8,0.2,2,2,0,0.9445590656768779,0.9445590287036101,-3.697326778073773e-08,3.697326778073773e-08,59.219903718881824,59.219847497345775,-5.6221536048894905e-05,5.6221536048894905e-05,20894.632912879777,20894.59227885201,-0.04063402776591829,0.04063402776591829,0,0
5.898305085,0.2,2,2,0,0.945502211519082,0.9455022115190819,-1.1102230246251565e-16,1.1102230246251565e-16,71.55647057164373,71.5564672210262,-3.350617532760225e-06,3.350617532760225e-06,30762.06476918694,30762.06183084326,-0.0029383436813077424,0.0029383436813077424,0,0
5.969491525,0.2,2,2,0,0.9461435740887172,0.9461435566148773,-1.747383993055962e-08,1.747383993055962e-08,82.48708990353475,82.48705209012336,-3.7813411395859475e-05,3.7813411395859475e-05,41094.47593139954,41094.43760416486,-0.03832723468076438,0.03832723468076438,0,0
6.098305085,0.2,2,2,0,0.9467597454123469,0.946759738717442,-6.694904852722061e-09,6.694904852722061e-09,78.28139244619092,78.2813771299619,-1.5316229024620043e-05,1.5316229024620043e-05,36942.17815290763,36942.16343374642,-0.014719161212269682,0.014719161212269682,0,0
6.169491525,0.2,2,2,0,0.9470000154426734,0.9470000154426732,-2.220446049250313e-16,2.220446049250313e-16,71.3048582497587,71.30485533283795,-2.916920749385099e-06,2.916920749385099e-06,30541.80754324284,30541.804994406255,-0.0025488365863566287,0.0025488365863566287,0,0
6.2,0.2,2,2,0,0.9470996019408916,0.9470995968416032,-5.0992884359502e-09,5.0992884359502e-09,68.30351587862182,68.30350534036069,-1.0538261136616711e-05,1.0538261136616711e-05,27975.50273075626,27975.493917672935,-0.008813083324639592,0.008813083324639592,0,0
6.240677966,0.2,2,2,0,0.947229377973329,0.9472293713728398,-6.600489155239586e-09,6.600489155239586e-09,64.29894576238829,64.29893384798197,-1.1914406314872394e-05,1.1914406314872394e-05,24726.733612624143,24726.724245080077,-0.009367544065753464,0.009367544065753464,0,0
6.369491525,0.2,2,2,0,0.9476192640163636,0.9476192611043845,-2.9119791022935715e-09,2.9119791022935715e-09,51.690082314739925,51.69007720821449,-5.10652543539436e-06,5.10652543539436e-06,15806.827370145733,15806.82416005109,-0.003210094642781769,0.003210094642781769,0,0
6.4,0.2,2,2,0,0.9477072447357324,0.9477072420796925,-2.6560399435382465e-09,2.6560399435382465e-09,48.742698980932566,48.74269449099581,-4.489936756613133e-06,4.489936756613133e-06,14008.31966749496,14008.31701042353,-0.0026570714289846364,0.0026570714289846364,0,0
6.440677966,0.2,2,2,0,0.947822137318924,0.9478221373189241,1.1102230246251565e-16,1.1102230246251565e-16,44.85107154648627,44.85106993164845,-1.6148378136904284e-06,1.6148378136904284e-06,11799.972615861676,11799.971738781276,-0.0008770803997322218,0.0008770803997322218,0,0
6.6,0.2,2,2,0,0.9482476501652878,0.9482476481732319,-1.9920558536057342e-09,1.9920558536057342e-09,30.250842872184748,30.250840753898164,-2.1182865843627496e-06,2.1182865843627496e-06,5202.319590221833,5202.318826292446,-0.0007639293871761765,0.0007639293871761765,0,0
6.640677966,0.2,2,2,0,0.9483505461652696,0.9483505448053087,-1.3599609216541353e-09,1.3599609216541353e-09,26.75311164402288,26.75311013347038,-1.5105525008607401e-06,1.5105525008607401e-06,4017.3766877143034,4017.3762089992406,-0.0004787150628544623,0.0004787150628544623,0,0
20.0,0.2,2,2,0,0.9273399658726669,0.9273399658726669,0.0,0.0,7.407618517495128e-08,7.40761913561178e-08,6.181166512253036e-15,6.181166512253036e-15,12.24999870366679,12.249998703666682,-1.0835776720341528e-13,1.0835776720341528e-13,0,0
4.0,0.39,2,2,0,0.9013895519570598,0.9013895519570598,0.0,0.0,1.4121146224319543,1.4121145410853553,-8.13465990123774e-08,8.13465990123774e-08,0.0009172754791800766,0.0009172631606797701,-1.2318500306504436e-08,1.2318500306504436e-08,0,0
5.4,0.39,2,2,0,0.9399191269952631,0.9399190389571086,-8.803815454427877e-08,8.803815454427877e-08,29.09280802300145,29.092745264186075,-6.27588153747638e-05,6.27588153747638e-05,4793.072601242583,4793.050876669376,-0.021724573207393405,0.021724573207393405,0,0
5.6,0.39,2,2,0,0.9424146189087503,0.9424146026820547,-1.62266956538204e-08,1.62266956538204e-08,41.12337106463555,41.12335265544495,-1.840919060214219e-05,1.840919060214219e-05,9862.163804617028,9862.154663680281,-0.00914093674691685,0.00914093674691685,0,0
5.698305085,0.39,2,2,0,0.9435094182182382,0.943509429049552,1.083131384582714e-08,1.083131384582714e-08,49.05286446384413,49.052874926383495,1.0462539364652912e-05,1.0462539364652912e-05,14192.471822559366,14192.478054684678,0.006232125311726122,0.006232125311726122,0,0
5.8,0.39,2,2,0,0.9445601813101842,0.9445601092160102,-7.209417396403239e-08,7.209417396403239e-08,59.221512074736935,59.22140521804866,-0.00010685668827647987,0.00010685668827647987,20895.795366305934,20895.71813368615,-0.07723261978389928,0.07723261978389928,0,0
5.898305085,0.39,2,2,0,0.945502989575701,0.9455029895757012,2.220446049250313e-16,2.220446049250313e-16,71.55781034210658,71.5578069914429,-3.3506636754054853e-06,3.3506636754054853e-06,30763.239699993715,30763.23676155346,-0.0029384402550931554,0.0029384402550931554,0,0
