D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
4.0,0.2,2,2,0,0.9004101525736348,0.9004101525736348,0.0,0.0,1.3909698534688104,1.3909698499123464,-3.5564640121776847e-09,3.5564640121776847e-09,0.0005096471648422107,0.0005096475662846793,4.0144246856842897e-10,4.0144246856842897e-10,0,0
4.8,0.2,2,2,0,0.9288230694803821,0.9288221525679088,-9.16912473281073e-07,9.16912473281073e-07,8.718412997766135,8.718245106032766,-0.0001678917333691743,0.0001678917333691743,334.74480503670185,334.72944644982823,-0.015358586873617242,0.015358586873617242,0,0
5.6,0.2,2,2,0,0.942412404994291,0.9424123966721234,-8.32216762169935e-09,8.32216762169935e-09,41.121154618185955,41.12114617737208,-8.440813871857245e-06,8.440813871857245e-06,9861.063276261471,9861.059085276005,-0.004190985466266284,0.004190985466266284,0,0
6.4,0.2,2,2,0,0.9477072447357324,0.9477072420796925,-2.6560399435382465e-09,2.6560399435382465e-09,48.742698980932566,48.74269613520246,-2.845730108447242e-06,2.845730108447242e-06,14008.31966749496,14008.317983438212,-0.001684056747762952,0.001684056747762952,0,0
7.2,0.2,2,2,0,0.9497267017272804,0.9497267013101546,-4.1712577836250375e-10,4.1712577836250375e-10,3.2422933885832688,3.2422933598239263,-2.8759342463047233e-08,2.8759342463047233e-08,21.212780810110143,21.212780147820812,-6.622893309327083e-07,6.622893309327083e-07,0,0
8.0,0.2,2,2,0,0.9510038695028533,0.9510038694624764,-4.037692402647508e-11,4.037692402647508e-11,2.327625139566932,2.3276251279108044,-1.1656127618664414e-08,1.1656127618664414e-08,5.378052497228564,5.378052362072103,-1.35156461134045e-07,1.35156461134045e-07,0,0
8.8,0.2,2,2,0,0.949461328642028,0.9494613286396557,-2.3723245590190345e-12,2.3723245590190345e-12,1.8805599705536364,1.8805599627205087,-7.833127702028264e-09,7.833127702028264e-09,1.4433617831157,1.443361736062105,-4.705359502032991e-08,4.705359502032991e-08,0,0
9.600000000000001,0.2,2,2,0,0.9496919994458584,0.9496919994455161,-3.4228175849193576e-13,3.4228175849193576e-13,1.2882421692956458,1.2882421633278898,-5.967756067093433e-09,5.967756067093433e-09,0.07806132952339417,0.07806133786018779,8.336793616559035e-09,8.336793616559035e-09,0,0
10.4,0.2,2,2,0,0.9517678920442898,0.951767892044255,-3.47499806707674e-14,3.47499806707674e-14,0.6582281618957996,0.6582282095265148,4.763071526081575e-08,4.763071526081575e-08,3.438909123778025,3.4389086821389987,-4.4163902623850504e-07,4.4163902623850504e-07,0,0
11.2,0.2,2,2,0,0.9535398475417242,0.9535398475417212,-2.9976021664879227e-15,2.9976021664879227e-15,0.20361268389252912,0.20361257623569817,-1.076568309499315e-07,1.076568309499315e-07,8.945891313392732,8.945892923383642,1.6099909103672871e-06,1.6099909103672871e-06,0,0
