D,eta,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,cur_partial_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,0.2,1141.402638079163,473.94869895699594,2.408283091800889,6.353967457572252,922.5387432341,539.8581478735952,1.7088539774157627,0.5961923710346033,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.6994291143851263,-0.3430911263848026,-0.21288379624753598,0.1302073301372665,-1.1247336395633325e-11,0.1064418981125206,-1.1102230246251565e-16,0.1302073301372665,0.21288379624753598,2.249467279126665e-11,0.2128837962250412,1.946494937667942,2.1142639831869614,2.1142639831394012,1.7088539774542026,2.4082830917467146,1.9464949377117278,-0.46178815413294716,-0.29401910861392766,-0.29401910866148784,-0.6994291143466864,-5.417444270960914e-11,-0.4617881540891613,1.0
4.0,0.29500000000000004,1144.534036459444,471.6736746166491,2.4265378757668836,6.586125064899911,925.0696961423317,537.284574419003,1.7217499630296726,0.6470189919349736,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.704787912737211,-0.3431243049889257,-0.21288379624753598,0.13024050874138976,-1.1247447417935788e-11,0.1064418981125206,5.551115123125783e-17,0.13024050874138976,0.21288379624753598,2.2494894835871575e-11,0.2128837962250412,1.9612493677841538,2.130219423658487,2.1302194236105683,1.7217499630684028,2.4265378757122993,1.9612493678282714,-0.4652885079827298,-0.2963184521083968,-0.29631845215631536,-0.7047879126984808,-5.4584337050300746e-11,-0.4652885079386122,1.0
4.0,0.39,1147.6432792439664,469.4109237215333,2.4448584837893077,6.82330781966557,927.582741789108,534.7134514309969,1.734728646355757,0.7002704168197342,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7101298374335507,-0.3431362400388123,-0.21288379624753528,0.13025244379127718,-1.1247114351028397e-11,0.1064418981125206,1.6653345369377348e-16,0.13025244379127718,0.21288379624753528,2.2494228702056794e-11,0.2128837962250412,1.9760570001974944,2.1462771811194394,2.146277181071161,1.7347286463947784,2.444858483734313,1.9760570002419444,-0.4688014835918133,-0.29858130266986826,-0.29858130271814654,-0.7101298373945293,-5.4994675480202204e-11,-0.4688014835473633,1.0
4.0,0.48500000000000004,1150.7303581901583,467.1604615280256,2.463244330280559,7.065553161710964,930.0778735123671,532.1447820973532,1.7477910238011394,0.7559912264790297,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7154533064794195,-0.34312659600938916,-0.2128837962475365,0.13024279976185268,-1.124778048484318e-11,0.1064418981125206,5.551115123125783e-17,0.13024279976185268,0.2128837962475365,2.249556096968636e-11,0.2128837962250412,1.9909173616067473,2.1624384883654426,2.162438488316797,1.7477910238404564,2.4632443302251468,1.9909173616515334,-0.47232696867381163,-0.3008058419151163,-0.3008058419637618,-0.7154533064401025,-5.541211933746126e-11,-0.47232696862902546,1.0
4.0,0.5800000000000001,1153.79526736763,464.9223011719615,2.48169482182115,7.312898047216807,932.555086518875,529.5785690245791,1.7609381139356353,0.8142270130713355,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7207567078855146,-0.3430950363365224,-0.21288379624753584,0.1302112400889865,-1.1247336395633325e-11,0.1064418981125206,-5.551115123125783e-17,0.1302112400889865,0.21288379624753584,2.249467279126665e-11,0.2128837962250412,2.005829972380588,2.178704605612693,2.178704605563684,1.7609381139752471,2.4816948217653247,2.0058299724257087,-0.47586484944056195,-0.3029902162084568,-0.302990216257466,-0.7207567078459027,-5.582512230262182e-11,-0.47586484939544116,1.0
4.0,0.675,1156.8380031271001,462.69645371025234,2.5002093572377584,7.565378935959509,935.0143778590985,527.0532740851104,1.7740414941585376,0.8744189959521963,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7261678630792208,-0.3431141974808909,-0.2128837962475346,0.1302304012333562,-1.1246781284121006e-11,0.1064418981125206,-1.1102230246251565e-16,0.1302304012333562,0.2128837962475346,2.2493562568242012e-11,0.2128837962250412,2.020794346620644,2.194916643170857,2.1949166431214855,1.7740414941984426,2.50020935718152,2.0207943466660994,-0.4794150106171142,-0.3052927140669013,-0.3052927141162729,-0.7261678630393158,-5.623856935699223e-11,-0.47941501057165903,1.0
4.0,0.77,1159.8585640693282,460.48292816215394,2.51878732768329,7.8230317786544825,937.4557464020987,524.5406952589223,1.7871935483277508,0.9369927741664648,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7315937793555392,-0.3431310271336408,-0.2128837962475357,0.13024723088610518,-1.1247447417935788e-11,0.1064418981125206,5.551115123125783e-17,0.13024723088610518,0.2128837962475357,2.2494894835871575e-11,0.2128837962250412,2.0358099922262136,2.2111889021247477,2.2111889020750075,1.7871935483679535,2.518787327626631,2.035809992272009,-0.48297733545707633,-0.3075984255585422,-0.30759842560828243,-0.7315937793153364,-5.665912183872024e-11,-0.48297733541128096,1.0
4.0,0.865,1162.8569510140183,458.28173155019647,2.5374281167187402,8.085892004389628,939.8791928104054,522.030578169016,1.800429385012201,1.0021480773828102,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7369987317065392,-0.34312583189669266,-0.212883796247535,0.1302420356491575,-1.1247003328725933e-11,0.1064418981125206,-1.1102230246251565e-16,0.1302420356491575,0.212883796247535,2.2494006657451866e-11,0.2128837962250412,2.050876410960446,2.227564820230749,2.227564820180642,1.8004293850526996,2.5374281166616632,2.050876411006578,-0.48655170575829443,-0.30986329648799105,-0.3098632965380981,-0.7369987316660407,-5.707700978518915e-11,-0.48655170571216244,1.0
4.0,0.96,1165.833166968739,456.0928689407299,2.556131100397102,8.353994508158836,942.2847195148834,519.5229238445631,1.8137500315516528,1.069931803806211,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7423810688454491,-0.3430982838230391,-0.21288379624753528,0.1302144875755038,-1.1247114351028397e-11,0.1064418981125206,0.0,0.1302144875755038,0.21288379624753528,2.2494228702056794e-11,0.2128837962250412,2.0659930985181334,2.244045668555612,2.2440456685051338,1.8137500315924515,2.5561311003396034,2.0659930985646056,-0.4901380018789685,-0.31208543184148985,-0.31208543189196813,-0.7423810688046504,-5.749845044533686e-11,-0.49013800183249634,1.0
4.0,1.055,1168.787217097855,453.9163434841082,2.5748956473491127,8.627373638499316,944.6723306896312,517.0671547745958,1.8269818958070168,1.1394596209184635,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7479137515420959,-0.3431436398927354,-0.2128837962475361,0.13025984364519924,-1.1247447417935788e-11,0.1064418981125206,-5.551115123125783e-17,0.13025984364519924,0.2128837962475361,2.2494894835871575e-11,0.2128837962250412,2.0811595445950375,2.2604166718099945,2.2604166717591463,1.8269818958481145,2.5748956472911906,2.081159544641853,-0.4937361027540752,-0.3144789755391182,-0.3144789755899664,-0.7479137515009981,-5.792211155153382e-11,-0.49373610270725976,1.0
