taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.08,5.627118644067797,0.2,14.001223580246943,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,0.39,14.002086132355359,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,0.5800000000000001,14.002948988771983,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,0.77,14.003811551430914,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,0.96,14.004674348055325,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,1.15,14.00553652542807,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,1.34,14.006398760729752,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,1.53,14.007261300306986,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,1.72,14.008124144250488,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,1.91,14.008987292617093,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,2.1,14.009849425815986,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,2.29,14.010710675461276,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,2.4800000000000004,14.011572229196723,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,2.6700000000000004,14.012434087101632,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,2.8600000000000003,14.013296249246693,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,3.0500000000000003,14.014158715704284,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,3.24,14.015021486542395,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,3.43,14.01588456183822,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,3.62,14.016747941664853,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,3.81,14.017611626092709,0.0,0.0
-1.0,5.7,0.08,5.627118644067797,4.0,14.018475615194689,0.0,0.0
-1.0,5.7,0.08,5.898305084745763,0.2,-11.082530537352007,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,0.39,-11.0809713404933,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,0.5800000000000001,-11.079411835976074,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,0.77,-11.077852582648205,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,0.96,-11.076293087516213,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,1.15,-11.074734147654077,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,1.34,-11.073175130469082,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,1.53,-11.071615805788028,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,1.72,-11.070056173555514,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,1.91,-11.06849623372419,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,2.1,-11.066937219109164,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,2.29,-11.06537900670564,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,2.4800000000000004,-11.06382048703373,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,2.6700000000000004,-11.062261660036292,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,2.8600000000000003,-11.060702525680384,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,3.0500000000000003,-11.059143083896558,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,3.24,-11.057583334660912,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,3.43,-11.05602327790941,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,3.62,-11.054462913605406,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,3.81,-11.052902241697069,0.0,0.5180833272273546
-1.0,5.7,0.08,5.898305084745763,4.0,-11.051341262123877,0.0,0.5180833272273546
-1.0,5.7,0.08,6.169491525423729,0.2,-0.6776865015454518,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,0.39,-0.6756620424290674,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,0.5800000000000001,-0.6736373905668813,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,0.77,-0.6716130038363701,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,0.96,-0.6695884783087394,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,1.15,-0.6675644672226326,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,1.34,-0.6655404520867307,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,1.53,-0.6635162442491094,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,1.72,-0.6614918437516479,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,1.91,-0.6594672505552523,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,2.1,-0.657443474809611,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,2.29,-0.6554204157517205,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,2.4800000000000004,-0.653397164169462,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,2.6700000000000004,-0.6513737200957337,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,2.8600000000000003,-0.6493500834795043,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,3.0500000000000003,-0.6473262542959475,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,3.24,-0.6453022325297724,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,3.43,-0.6432780181578437,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,3.62,-0.641253611164629,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,3.81,-0.639229011500575,0.0,0.01735301603172707
-1.0,5.7,0.08,6.169491525423729,4.0,-0.6372042191847811,0.0,0.01735301603172707
-1.0,5.7,0.08,6.4406779661016955,0.2,30.244980944223272,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,0.39,30.245059423095768,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,0.5800000000000001,30.245137903849724,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,0.77,30.245216381756286,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,0.96,30.24529486085016,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,1.15,30.245373334534406,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,1.34,30.245451808173954,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,1.53,30.24553028349321,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,1.72,30.245608760729965,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,1.91,30.245687239837004,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,2.1,30.245765710272565,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,2.29,30.24584417319776,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,2.4800000000000004,30.245922637920017,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,2.6700000000000004,30.246001104505872,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,2.8600000000000003,30.246079572944744,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,3.0500000000000003,30.246158043206734,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,3.24,30.246236515321748,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,3.43,30.246314989308843,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,3.62,30.246393465132073,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,3.81,30.246471942764977,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.4406779661016955,4.0,30.24655042227532,0.0,0.00014565889088539912
-1.0,5.7,0.08,6.711864406779661,0.2,-0.21506689035745552,0.0,1.944616747494886e-07
