D,eta,base_raw_amp,base_raw_amp_ref,base_amp,base_amp_ref,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_raw_amp,cur_raw_amp_ref,cur_amp,cur_amp_ref,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,0.2,0.0014804778760338683,3.8216765725582925e-05,0.0014804778760338683,3.8216765725582925e-05,1500.7072596084051,805.3921861426049,1.8633248315904145,1.3416868723017876,0.0014804778760172169,3.8501608066375446e-05,0.0014804778760172169,3.850160806637546e-05,1478.5843532439321,512.2072022095198,2.8866918443663607,13.81407900065907,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.0233670127759462,0.4377487200993058,-0.01485139144729356,-0.45260011154659935,-1.1247336395633325e-11,0.007425695712399338,5.551115123125783e-17,0.45260011154659935,0.01485139144729356,2.249467279126665e-11,0.014851391424798676,1.835856342641658,2.9298831666848306,2.929883166618924,2.886691844431296,1.8633248315484996,1.8358563426829548,-0.02746848894875642,1.066558335094416,1.0665583350285093,1.0233670128408814,-4.191491598248831e-11,-0.027468488907459676,1.0
4.0,0.39,0.0014845196297906238,3.8216765725582925e-05,0.0014845196297906238,3.8216765725582925e-05,1508.9124057927459,797.6732927990671,1.891642128944687,1.510699893457902,0.001484519629773927,3.8501608066375446e-05,0.0014845196297739274,3.850160806637546e-05,1486.6685420066447,507.3266148735832,2.9303972991385363,14.638224332565791,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.0387551701938493,0.43769270767990526,-0.01485139144729266,-0.45254409912719795,-1.1247114351028397e-11,0.007425695712399338,-5.551115123125783e-17,0.45254409912719795,0.01485139144729266,2.2494228702056794e-11,0.014851391424798676,1.8637561962114415,2.974242552145111,2.9742425520782088,2.9303972992044534,1.8916421289021366,1.863756196253365,-0.027885932733245467,1.0826004232004238,1.0826004231335218,1.0387551702597664,-4.255040764178375e-11,-0.02788593269132189,1.0
4.0,0.5800000000000001,0.0014884932254524892,3.8216765725582925e-05,0.0014884932254524892,3.8216765725582925e-05,1517.0009916521087,790.038011453889,1.920162029748931,1.691053357453299,0.0014884932254357478,3.8501608066375446e-05,0.0014884932254357476,3.850160806637546e-05,1494.6378887362948,502.45533194702404,2.9746681818352774,15.497374268027615,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.0545061520863463,0.43772292428624326,-0.014851391447293335,-0.4525743157335366,-1.1247336395633325e-11,0.007425695712399338,0.0,0.4525743157335366,0.014851391447293335,2.249467279126665e-11,0.014851391424798676,1.8918556665213446,3.019175825587721,3.019175825519805,2.974668181902191,1.9201620297057373,1.8918556665639008,-0.028306363227586395,1.09901379583879,1.099013795770874,1.05450615215326,-4.3193670862251565e-11,-0.028306363185030214,1.0
4.0,0.77,0.0014923991827512323,3.8216765725582925e-05,0.0014923991827512323,3.8216765725582925e-05,1524.9729667236852,782.4865068503924,1.948880847622402,1.882938655541791,0.0014923991827344469,3.8501608066375446e-05,0.0014923991827344467,3.850160806637546e-05,1502.4923437139823,497.6760821496394,3.0190165804717504,16.382591799015245,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.0701357328493484,0.4376758592287506,-0.01485139144729356,-0.45252725067604416,-1.1247447417935788e-11,0.007425695712399338,0.0,0.45252725067604416,0.01485139144729356,2.2494894835871575e-11,0.014851391424798676,1.9201511215339737,3.06418777478071,3.0641877747117814,3.019016580539663,1.9488808475785624,1.9201511215771672,-0.028729726088428276,1.1153069271583078,1.1153069270893794,1.0701357329172612,-4.383959861797848e-11,-0.028729726045234827,1.0
4.0,0.96,0.0014962380298731127,3.8216765725582925e-05,0.0014962380298731127,3.8216765725582925e-05,1532.8283278778451,775.0188882701243,1.9777948009747017,2.08654270020872,0.0014962380298562843,3.8501608066375446e-05,0.0014962380298562843,3.850160806637546e-05,1510.2319038562136,492.91589803087004,3.0638733907536326,17.302966627862443,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.086078589778931,0.4376974423098051,-0.014851391447292996,-0.45254883375709815,-1.1247114351028397e-11,0.007425695712399338,-5.551115123125783e-17,0.45254883375709815,0.014851391447292996,2.2494228702056794e-11,0.014851391424798676,1.9486388354058268,3.1097157425866757,3.1097157425167254,3.0638733908225526,1.977794800930213,1.9486388354496602,-0.029155965568874898,1.131920941611974,1.1319209415420237,1.0860785898478509,-4.448863499817435e-11,-0.029155965525041516,1.0
4.0,1.15,0.0015000103029494383,3.8216765725582925e-05,0.0015000103029494383,3.8216765725582925e-05,1540.567118010528,767.6352117499861,2.006900015045533,2.302047676639178,0.001500010302932567,3.8501608066375446e-05,0.0015000103029325675,3.850160806637546e-05,1517.8566114265693,488.29293841131937,3.1084959294414056,18.243489630736576,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.1015959143958725,0.43754773477412257,-0.014851391447292773,-0.45239912622141554,-1.1247114351028397e-11,0.007425695712399338,-2.220446049250313e-16,0.45239912622141554,0.014851391447292773,2.2494228702056794e-11,0.014851391424798676,1.9773149904969778,3.155005933575089,3.15500593350412,3.1084959295113292,2.0069000150003897,1.9773149905414562,-0.029585024548555383,1.1481059185295557,1.1481059184585867,1.101595914465796,-4.5143444538098265e-11,-0.029585024504076962,1.0
4.0,1.34,0.0015037165455591484,3.8216765725582925e-05,0.0015037165455591484,3.8216765725582925e-05,1548.189424737113,760.3354822590086,2.036192524038648,2.52963079776666,0.0015037165455422357,3.8501608066375446e-05,0.0015037165455422364,3.850160806637546e-05,1525.3665527488336,483.7134214110772,3.153450959245809,19.216189165500296,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.117258435207161,0.43741574162821667,-0.01485139144729266,-0.4522671330755093,-1.1246781284121006e-11,0.007425695712399338,0.0,0.4522671330755093,0.01485139144729266,2.2493562568242012e-11,0.014851391424798676,2.0061756794735732,3.200633590485813,3.200633590413818,3.1534509593167415,2.036192523992846,2.0061756795187,-0.030016844565074585,1.1644410664471652,1.1644410663751703,1.1172584352780937,-4.580202883630591e-11,-0.030016844519948016,1.0
4.0,1.53,0.001507357308243482,3.8216765725582925e-05,0.001507357308243482,3.8216765725582925e-05,1555.6953790894838,753.1196558334268,2.0656682733474807,2.7694640633838525,0.001507357308226528,3.8501608066375446e-05,0.0015073573082265283,3.850160806637546e-05,1532.7618569232618,479.1432429758096,3.1989637324399167,20.22669069146347,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.133295459092436,0.43737313063361316,-0.014851391447293335,-0.4522245220809066,-1.1247225373330861e-11,0.007425695712399338,-5.551115123125783e-17,0.4522245220809066,0.014851391447293335,2.2494450746661722e-11,0.014851391424798676,2.035216907500651,3.246827335866293,3.246827335793258,3.1989637325118765,2.065668273301015,2.035216907546433,-0.030451365846829503,1.1811590625188124,1.1811590624457775,1.1332954591643958,-4.64654981158219e-11,-0.030451365801047903,1.0
4.0,1.72,0.0015109331480326952,3.8216765725582925e-05,0.0015109331480326952,3.8216765725582925e-05,1563.0851542177725,745.9876416688668,2.0953231218696295,3.021714023790799,0.0015109331480157012,3.8501608066375446e-05,0.0015109331480157007,3.850160806637546e-05,1540.042694547469,474.58239413139194,3.245048096160718,21.276265482164312,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.1497249742910887,0.43742239540361155,-0.014851391447293898,-0.45227378685090547,-1.1247669462540716e-11,0.007425695712399338,0.0,0.45227378685090547,0.014851391447293898,2.2495338925081432e-11,0.014851391424798676,2.064434594522508,3.2936012240374426,3.293601223963352,3.2450480962337163,2.095323121822495,2.0644345945689477,-0.030888527347121553,1.198278102167813,1.1982781020937225,1.1497249743640867,-4.7134740555065946e-11,-0.030888527300681812,1.0
4.0,1.91,0.001514444627984885,3.8216765725582925e-05,0.001514444627984885,3.8216765725582925e-05,1570.3589640983841,738.9393041686072,2.125152844407459,3.2865415484514284,0.0015144446279678518,3.8501608066375446e-05,0.0015144446279678515,3.850160806637546e-05,1547.2092764434951,470.03085834390123,3.2917185094929855,22.36624324473977,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.1665656650855265,0.43756604514468433,-0.014851391447293335,-0.4524174365919777,-1.1247336395633325e-11,0.007425695712399338,0.0,0.4524174365919777,0.014851391447293335,2.249467279126665e-11,0.014851391424798676,2.093824577627909,3.3409699304240585,3.3409699303489044,3.2917185095670307,2.125152844359654,2.0938245776750084,-0.03132826677954981,1.2158170860165995,1.2158170859414454,1.1665656651595717,-4.780487117272969e-11,-0.031328266732450594,1.0
