family,peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta
pointamp3,0.25,6.1,0.03,4.813559322033898,0.2,11.04256012523663,19.843547917856863,19.843547917856863,8.800987792620234,0.5861220030068203,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,0.39,11.052161669693014,19.861021470449572,19.861021470449572,8.808859800756558,0.5861330558037358,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,0.5800000000000001,11.061764893323978,19.87851191256123,19.87851191256123,8.816747019237251,0.5861447871287384,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,0.77,11.07136978607142,19.895993426829776,19.895993426829776,8.824623640758356,0.5861558984798503,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,0.96,11.080976337871572,19.913488776565693,19.913488776565693,8.83251243869412,0.5861675355034771,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,1.15,11.090584538655236,19.930961071162425,19.930961071162425,8.84037653250719,0.5861778467997579,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,1.34,11.100194378347563,19.9484395089474,19.9484395089474,8.848245130599835,0.586188300445827,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,1.53,11.109805846867841,19.965934769182383,19.965934769182383,8.856128922314541,0.5861994318445617,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,1.72,11.119418934130268,19.983446891061718,19.983446891061718,8.86402795693145,0.586211242079039,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,1.91,11.129033630043503,20.00097591391144,20.00097591391144,8.871942283867936,0.5862237322336145,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,2.1,11.138649924510688,20.018464557650546,20.018464557650546,8.879814633139858,0.586234040064578,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,2.29,11.148267807429823,20.035918319219885,20.035918319219885,8.887650511790062,0.5862424465423461,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,2.4800000000000004,11.157887268693388,20.053388739769705,20.053388739769705,8.895501471076317,0.5862515277334663,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,2.6700000000000004,11.167508298188464,20.070875858040207,20.070875858040207,8.903367559851743,0.5862612847077251,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,2.8600000000000003,11.177130885797396,20.088379712901865,20.088379712901865,8.911248827104469,0.586271718536125,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,3.0500000000000003,11.18675502139664,20.10590034335506,20.10590034335506,8.91914532195842,0.5862828302909571,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,3.24,11.19638069485797,20.123437788531454,20.123437788531454,8.927057093673485,0.5862946210457459,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,3.43,11.206007896047758,20.14099208769381,20.14099208769381,8.934984191646052,0.58630709187529,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,3.62,11.215636614827508,20.15856328023676,20.15856328023676,8.942926665409251,0.58632024385564,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,3.81,11.22526684105364,20.176151405687268,20.176151405687268,8.950884564633627,0.5863340780641245,0.0
pointamp3,0.25,6.1,0.03,4.813559322033898,4.0,11.234898564577435,20.193756503704854,20.193756503704854,8.95885793912742,0.5863485955793525,0.0
pointamp3,0.25,6.1,0.03,5.3559322033898304,0.2,31.067620290490122,27.98489610364448,27.98489610364448,-3.082724186845642,-0.104501188834714,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,0.39,31.07153184079031,27.999111458406283,27.999111458406283,-3.0724203823840277,-0.10411924903620985,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,0.5800000000000001,31.07544334274444,28.013341833216806,28.013341833216806,-3.0621015095276327,-0.10373701342583094,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,0.77,31.079354796215647,28.027559978924653,28.027559978924653,-3.0517948172909932,-0.10335545478545993,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,0.96,31.083266201050325,28.041789922987675,28.041789922987675,-3.0414762780626496,-0.10297371534404293,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,1.15,31.087177557114295,28.055992785161028,28.055992785161028,-3.031184771953267,-0.10259318128909137,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,1.34,31.091088864268663,28.07019936736463,28.07019936736463,-3.020889496904033,-0.10221275357627359,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,1.53,31.095000122375158,28.084420911681487,28.084420911681487,-3.0105792106936704,-0.10183203185142696,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,1.72,31.098911331292413,28.098657443015483,28.098657443015483,-3.00025388827693,-0.10145101577813022,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,1.91,31.102822490881874,28.11290898633292,28.11290898633292,-2.989913504548955,-0.10106970501923544,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,2.1,31.106733601003963,28.12711534224535,28.12711534224535,-2.979618258758613,-0.10069024038602718,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,2.29,31.110644661517753,28.141282368203584,28.141282368203584,-2.9693622933141697,-0.10031241104070711,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,2.4800000000000004,31.114555672287267,28.155464231802686,28.155464231802686,-2.959091440484581,-0.09993429073940625,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,2.6700000000000004,31.118466633169216,28.169660957609686,28.169660957609686,-2.94880567555953,-0.09955587915093712,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,2.8600000000000003,31.122377544027817,28.18387257025047,28.18387257025047,-2.938504973777345,-0.09917717594363845,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,3.0500000000000003,31.12628840472268,28.19809909440299,28.19809909440299,-2.928189310319688,-0.09879818078523188,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,3.24,31.130199215113223,28.212340554801635,28.212340554801635,-2.9178586603115875,-0.09841889334281204,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,3.43,31.134109975060444,28.22659697623551,28.22659697623551,-2.9075129988249344,-0.09803931328296926,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,3.62,31.13802068442484,28.24086838354955,28.24086838354955,-2.897152300875291,-0.09765944027168695,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,3.81,31.141931343068084,28.25515480164502,28.25515480164502,-2.886776541423064,-0.09727927397438256,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.3559322033898304,4.0,31.145841950850233,28.269456255478485,28.269456255478485,-2.8763856953717486,-0.09689881405585804,6.597200825968716e-135
pointamp3,0.25,6.1,0.03,5.627118644067797,0.2,48.22384834337098,58.482628287989414,58.482628287989414,10.258779944618432,0.19287608019473,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,0.39,48.22616683774059,58.485638137808934,58.485638137808934,10.259471300068341,0.19287946797816297,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,0.5800000000000001,48.22848529519555,58.48864825980471,58.48864825980471,10.260162964609165,0.19288286084329828,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,0.77,48.2308037156956,58.4916580539513,58.4916580539513,10.260854338255697,0.19288624853188388,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,0.96,48.2331220992686,58.49466804969386,58.49466804969386,10.261545950425258,0.19288964009531734,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,1.15,48.23544044586339,58.4976773910256,58.4976773910256,10.262236945162208,0.19289302090089144,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,1.34,48.23775875549112,58.50068675731391,58.50068675731391,10.262928001822786,0.19289640256302296,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,1.53,48.240077028133015,58.50369639567997,58.50369639567997,10.263619367546951,0.19289978930600168,2.7852652003774818e-55
