family,peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
partial2,1.0,5.9,0.2,22.448805517855014,22.45551082793466,22.45551082793466,17.6555389500936,4.4518928737983146,2.6024434578940294,22.45551082793466,4.4518928737983146,22.45551082793466
partial2,1.0,5.9,0.16,22.44897946606807,22.455684742223838,22.455684742223838,16.55889688270743,4.882446035094652,2.6032031465727314,22.455684742223838,4.882446035094652,22.455684742223838
partial2,1.0,5.9,0.12,22.449355266601916,22.45606046946787,22.45606046946787,15.441802422550722,4.945186961257036,2.6032105960244074,22.45606046946787,4.945186961257036,22.45606046946787
partial2,1.0,5.9,0.08,22.450428880668067,22.457133874154664,22.457133874154664,14.904645857189237,4.9459356710917675,2.6032105963583376,22.457133874154664,4.9459356710917675,22.457133874154664
partial2,1.0,5.95,0.2,22.73084614531387,22.737496450986484,22.737496450986484,18.621338824854078,4.008297548291921,2.601159196292155,22.737496450986484,4.008297548291921,22.737496450986484
partial2,1.0,5.95,0.16,22.885076848970865,22.89169707611019,22.89169707611019,17.56682547445365,4.772273670071527,2.6031759556187666,22.89169707611019,4.772273670071527,22.89169707611019
partial2,1.0,5.95,0.12,23.207426006217,23.21398336785913,23.21398336785913,16.18544333729281,4.9414489815422655,2.6032105912269365,23.21398336785913,4.9414489815422655,23.21398336785913
partial2,1.0,5.95,0.08,24.052138790376684,24.058531413604328,24.058531413604328,15.043088329535706,4.945935543499026,2.6032105963583376,24.058531413604328,4.945935543499026,24.058531413604328
partial2,1.0,6.03,0.2,24.106610300016015,24.112992300046812,24.112992300046812,20.17623981044885,2.6637706004940185,2.594518568082094,24.112992300046812,2.6637706004940185,24.112992300046812
partial2,0.75,5.9,0.2,24.568215134059827,24.574507110534668,24.574507110534668,16.971975281223592,4.575008494044582,2.6026352450858887,24.574507110534668,4.575008494044582,24.574507110534668
partial2,0.75,5.9,0.16,24.56834155018247,24.57463350200338,24.57463350200338,16.143012349823636,4.898311940137312,2.603205009019355,24.57463350200338,4.898311940137312,24.57463350200338
partial2,0.75,5.9,0.12,24.568614661893804,24.574906560451538,24.574906560451538,15.301902225560838,4.945374138389546,2.6032105961078855,24.574906560451538,4.945374138389546,24.574906560451538
partial2,0.75,5.9,0.08,24.569394909194344,24.575686655585926,24.575686655585926,14.898624447915424,4.9459356716697584,2.6032105963583376,24.575686655585926,4.9459356716697584,24.575686655585926
partial2,0.75,5.95,0.2,24.77329279268567,24.77954477430194,24.77954477430194,17.704752861042394,4.241279437853052,2.6016720647270084,24.77954477430194,4.241279437853052,24.77954477430194
partial2,1.0,6.03,0.16,24.87880988160208,24.88504128496001,24.88504128496001,19.5214192627613,4.239053861505127,2.6028800114241477,24.88504128496001,4.239053861505127,24.88504128496001
partial2,0.75,5.95,0.16,24.88552699031793,24.891757083685235,24.891757083685235,16.904794549970347,4.815640467017218,2.6031846158088996,24.891757083685235,4.815640467017218,24.891757083685235
partial2,0.75,5.95,0.12,25.120307568136546,25.126491873893073,25.126491873893073,15.861453735410507,4.942570622037856,2.6032105925097895,25.126491873893073,4.942570622037856,25.126491873893073
partial2,0.75,5.95,0.08,25.73688064022827,25.74294470005951,25.74294470005951,15.002489944139398,4.945935575975177,2.6032105963583376,25.74294470005951,4.945935575975177,25.74294470005951
partial2,0.75,6.03,0.2,25.776707230819337,25.78276352354959,25.78276352354959,18.889966950997305,3.2257707889222047,2.5966919057758027,25.78276352354959,3.2257707889222047,25.78276352354959
partial2,1.0,6.1,0.2,25.796620452917256,25.802672862111407,25.802672862111407,21.190977115862253,0.6221957052358533,2.576237350561893,25.802672862111407,2.576237350561893,25.802672862111407
partial2,1.0,6.03,0.12,26.23568020011767,26.24164698256625,26.24164698256625,18.363057516860692,4.891094087107703,2.6032103132768754,26.24164698256625,4.891094087107703,26.24164698256625
partial2,0.75,6.03,0.16,26.342176117089345,26.348122130385548,26.348122130385548,18.3900018387737,4.41496425549348,2.6029626581360077,26.348122130385548,4.41496425549348,26.348122130385548
partial2,0.5,5.9,0.2,26.621910358196732,26.627801816884258,26.627801816884258,16.281668225220713,4.69838712594666,2.6028270305605155,26.627801816884258,4.69838712594666,26.627801816884258
partial2,0.5,5.9,0.16,26.621992022533107,26.627883465294204,26.627883465294204,15.724670585034346,4.914182180746529,2.6032068714658614,26.627883465294204,4.914182180746529,26.627883465294204
partial2,0.5,5.9,0.12,26.622168451841674,26.628059860194938,26.628059860194938,15.161728313372762,4.945561316124781,2.60321059619136,26.628059860194938,4.945561316124781,26.628059860194938
partial2,0.5,5.9,0.08,26.622672490485332,26.628563800539524,26.628563800539524,14.892602535363167,4.945935672247749,2.6032105963583376,26.628563800539524,4.945935672247749,26.628563800539524
partial2,0.5,5.95,0.2,26.7544581646475,26.760323773465217,26.760323773465217,16.77587093763529,4.475210507925333,2.602184920882788,26.760323773465217,4.475210507925333,26.760323773465217
partial2,0.5,5.95,0.16,26.82705656666345,26.832908017123593,26.832908017123593,16.236446477765213,4.859039717027549,2.6031932759955545,26.832908017123593,4.859039717027549,26.832908017123593
partial2,0.5,5.95,0.12,26.979057174229684,26.98487898107654,26.98487898107654,15.535980711798516,4.943692284179718,2.603210593792646,26.98487898107654,4.943692284179718,26.98487898107654
partial2,1.0,6.1,0.16,27.010464555146847,27.0162802368323,27.0162802368323,20.98950450697619,2.9928251586582064,2.601272093933062,27.0162802368323,2.9928251586582064,27.0162802368323
partial2,0.75,6.1,0.2,27.01643240381565,27.022246921633403,27.022246921633403,19.667163869475715,1.6720019066581955,2.5829838447793634,27.022246921633403,2.5829838447793634,27.022246921633403
partial2,0.75,6.03,0.12,27.339821787493456,27.345573236946002,27.345573236946002,17.508535870094562,4.90479963075655,2.6032103840472445,27.345573236946002,4.90479963075655,27.345573236946002
partial2,0.5,5.95,0.08,27.379101279651415,27.384845068699875,27.384845068699875,14.96186863609016,4.945935608451386,2.6032105963583376,27.384845068699875,4.945935608451386,27.384845068699875
partial2,0.5,6.03,0.2,27.404984858614622,27.410723599770073,27.410723599770073,17.578915321010882,3.7934269867537154,2.598865023038176,27.410723599770073,3.7934269867537154,27.410723599770073
partial2,1.0,6.17,0.2,27.445819480304685,27.45155025777003,27.45155025777003,21.564823749140203,2.2408045223871653,2.5291075825630536,27.45155025777003,2.5291075825630536,27.45155025777003
partial2,0.5,6.03,0.16,27.77305929004482,27.7787262482233,27.7787262482233,17.2395989648725,4.591413587198474,2.6030453045290365,27.7787262482233,4.591413587198474,27.7787262482233
partial2,0.75,6.1,0.16,27.911834185769255,27.917474079652393,27.917474079652393,19.512616895455693,3.474862269328085,2.601756735986225,27.917474079652393,3.474862269328085,27.917474079652393
partial2,0.5,6.1,0.2,28.213355427453152,28.218936517761556,28.218936517761556,18.108038176235112,2.7422928574939007,2.5897282167061952,28.218936517761556,2.7422928574939007,28.218936517761556
partial2,0.75,6.17,0.2,28.23401223550254,28.239589297258455,28.239589297258455,19.95425077525404,0.5322025153038652,2.5476573361008903,28.239589297258455,2.5476573361008903,28.239589297258455
partial2,0.5,6.03,0.12,28.425082052933803,28.430621851682268,28.430621851682268,16.64336731396014,4.918508409179786,2.6032104548176065,28.430621851682268,4.918508409179786,28.430621851682268
partial2,1.0,6.03,0.08,28.54948386030697,28.554999397842707,28.554999397842707,16.398358664382926,4.945899347910107,2.6032105963583376,28.554999397842707,4.945899347910107,28.554999397842707
partial2,0.25,5.9,0.2,28.611928730008728,28.617432089359177,28.617432089359177,15.584551258259907,4.822029331375823,2.6030188143180055,28.617432089359177,4.822029331375823,28.617432089359177
partial2,0.25,5.9,0.16,28.611968296147747,28.61747164778184,28.61747164778184,15.303857069913803,4.930056758106936,2.6032087339121794,28.61747164778184,4.930056758106936,28.61747164778184
partial2,0.25,5.9,0.12,28.612053775732495,28.617557110696097,28.617557110696097,15.021280150461735,4.945748494462904,2.603210596274856,28.617557110696097,4.945748494462904,28.617557110696097
partial2,0.25,5.9,0.08,28.612297981916463,28.617801269254244,28.617801269254244,14.886580119490475,4.945935672825691,2.6032105963583376,28.617801269254244,4.945935672825691,28.617801269254244
partial2,1.0,6.1,0.12,28.66256113691817,28.668054621785082,28.668054621785082,20.57496279227638,4.6061879584704,2.603204026716483,28.668054621785082,4.6061879584704,28.668054621785082
partial2,0.25,5.95,0.2,28.676180935771743,28.68167176446473,28.68167176446473,15.834528104886289,4.710094625520284,2.60269776475981,28.68167176446473,4.710094625520284,28.68167176446473
partial2,0.25,5.95,0.16,28.711401003903983,28.71688496387391,28.71688496387391,15.561720979150763,4.9024714443883255,2.6032019361787064,28.71688496387391,4.9024714443883255,28.71688496387391
partial2,1.0,6.17,0.16,28.71746338872369,28.722946166389235,28.722946166389235,21.56481217959893,0.539176245400462,2.59382239989527,28.722946166389235,2.59382239989527,28.722946166389235
partial2,0.25,5.95,0.12,28.785206685485548,28.790676251650616,28.790676251650616,15.209017474448842,4.944813967968088,2.603210595075481,28.790676251650616,4.944813967968088,28.790676251650616
partial2,0.5,6.1,0.16,28.80046786048128,28.805934450366273,28.805934450366273,18.00265955771644,3.9610360087606367,2.6022413670746545,28.805934450366273,3.9610360087606367,28.805934450366273
partial2,0.25,5.95,0.08,28.97987390175082,28.98530550333291,28.98530550333291,14.921224392445467,4.945935640927537,2.6032105963583376,28.98530550333291,4.945935640927537,28.98530550333291
partial2,0.25,6.03,0.2,28.992490340648654,28.99791948173508,28.99791948173508,16.242607582057772,4.366796116464876,2.601037919891567,28.99791948173508,4.366796116464876,28.99791948173508
partial2,0.5,6.17,0.2,29.01239960747273,29.01782486579438,29.01782486579438,18.304004229542542,1.2342054318905653,2.5661910803702277,29.01782486579438,2.5661910803702277,29.01782486579438
partial2,0.75,6.03,0.08,29.053256052665876,29.058673343041335,29.058673343041335,16.021931783844906,4.94590842928141,2.6032105963583376,29.058673343041335,4.94590842928141,29.058673343041335
partial2,0.75,6.1,0.12,29.137396842600346,29.14279772358725,29.14279772358725,19.194998024475893,4.690938255340356,2.603205669127135,29.14279772358725,4.690938255340356,29.14279772358725
partial2,0.25,6.03,0.16,29.172180443038695,29.177574540423713,29.177574540423713,16.06989206075221,4.76840350776677,2.6031279506031204,29.177574540423713,4.76840350776677,29.177574540423713
partial2,0.75,6.17,0.16,29.178263404426843,29.183656315494545,29.183656315494545,19.9542418843521,1.608510097557165,2.596169834712633,29.183656315494545,2.596169834712633,29.183656315494545
partial2,0.25,6.1,0.2,29.387819018712783,29.393171061617572,29.393171061617572,16.512781714797214,3.833468274336454,2.5964704670100573,29.393171061617572,3.833468274336454,29.393171061617572
partial2,0.25,6.03,0.12,29.49178387560755,29.497115642974876,29.497115642974876,15.767419193328692,4.932220423140983,2.603210525587972,29.497115642974876,4.932220423140983,29.497115642974876
partial2,0.5,6.03,0.08,29.552951627617215,29.558271465866525,29.558271465866525,15.643496400361371,4.945917510654084,2.6032105963583554,29.558271465866525,4.945917510654084,29.558271465866525
partial2,0.5,6.1,0.12,29.608604209166167,29.613913193882503,29.613913193882503,17.786341924692778,4.775812851871294,2.603207311537659,29.613913193882503,4.775812851871294,29.613913193882503
partial2,0.5,6.17,0.16,29.63564338964726,29.640947101101666,29.640947101101666,18.303998156267113,2.6991307160877724,2.5985170123768064,29.640947101101666,2.6991307160877724,29.640947101101666
partial2,0.25,6.1,0.16,29.676545532730962,29.681841267327094,29.681841267327094,16.45889201304493,4.451381875669732,2.6027259871986246,29.681841267327094,4.451381875669732,29.681841267327094
partial2,0.25,6.17,0.2,29.78110357848374,29.786378921856887,29.786378921856887,16.61310682483702,3.0594568847581414,2.584708829187779,29.786378921856887,3.0594568847581414,29.786378921856887
partial2,1.0,6.17,0.12,29.952276920568615,29.957518881204436,29.957518881204436,21.56478718374126,3.4594909056164695,2.6031021057428916,29.957518881204436,3.4594909056164695,29.957518881204436
partial2,0.25,6.03,0.08,30.048603573900298,30.053826748624033,30.053826748624033,15.26304179715197,4.945926592028123,2.6032105963583376,30.053826748624033,4.945926592028123,30.053826748624033
partial2,0.25,6.1,0.12,30.0762109616678,30.0814287523161,30.0814287523161,16.348397961370367,4.8608119303683,2.6032089539480587,30.0814287523161,4.8608119303683,30.0814287523161
partial2,0.25,6.17,0.16,30.08962872764908,30.094843901524577,30.094843901524577,16.61310371339725,3.8114618474412083,2.6008639329159955,30.094843901524577,3.8114618474412083,30.094843901524577
partial2,0.75,6.17,0.12,30.0998044739755,30.1050176633465,30.1050176633465,19.954222675664653,3.827499792276555,2.6031292284482603,30.1050176633465,3.827499792276555,30.1050176633465
partial2,1.0,6.1,0.08,30.22309364563023,30.22828279077813,30.22828279077813,19.53384750687097,4.9437240572061185,2.6032105963577656,30.22828279077813,4.9437240572061185,30.22828279077813
partial2,0.5,6.17,0.12,30.246974362838035,30.252158850697008,30.252158850697008,18.30398503502893,4.197899841145642,2.603156351119285,30.252158850697008,4.197899841145642,30.252158850697008
partial2,0.75,6.1,0.08,30.302537522137925,30.307711173903286,30.307711173903286,18.39947965188253,4.94427695336622,2.603210596357897,30.307711173903286,4.94427695336622,30.307711173903286
partial2,0.5,6.1,0.08,30.381877217869082,30.387035396569587,30.387035396569587,17.246023681602807,4.944829854785787,2.6032105963580534,30.387035396569587,4.944829854785787,30.387035396569587
partial2,0.25,6.17,0.12,30.393787454275113,30.398943310205674,30.398943310205674,16.613096991169712,4.570706588959219,2.603183473756001,30.398943310205674,4.570706588959219,30.398943310205674
partial2,0.25,6.1,0.08,30.461112869443898,30.466255595370555,30.466255595370555,16.07315839850854,4.9453827614649555,2.603210596358185,30.466255595370555,4.9453827614649555,30.466255595370555
partial2,1.0,6.17,0.08,30.516482349596313,30.521614277201337,30.521614277201337,21.564715767493283,4.883348728456767,2.603210596041489,30.521614277201337,4.883348728456767,30.521614277201337
partial2,0.75,6.17,0.08,30.52242379378066,30.527554562667362,30.527554562667362,19.95416779408555,4.898989143847402,2.6032105961207286,30.527554562667362,4.898989143847402,30.527554562667362
partial2,0.5,6.17,0.08,30.528364652421477,30.53349426270414,30.53349426270414,18.303947546047226,4.914633772378764,2.6032105961999257,30.53349426270414,4.914633772378764,30.53349426270414
partial2,0.25,6.17,0.08,30.534304925576397,30.53943337736927,30.53943337736927,16.61307778494735,4.930282615185817,2.6032105962791405,30.53943337736927,4.930282615185817,30.53943337736927
pointamp2,0.25,6.17,0.08,30.540381143936123,30.545508410726754,30.545508410726754,19.328545827771222,4.9227337730022995,2.603210596372076,30.545508410726754,4.9227337730022995,30.545508410726754
pointamp2,0.5,6.17,0.08,30.54051767425953,30.54564491442344,30.54564491442344,23.502001728836532,4.899541134256694,2.6032105963857717,30.54564491442344,4.899541134256694,30.54564491442344
pointamp2,0.75,6.17,0.08,30.540654204273654,30.545781417811114,30.545781417811114,27.417869240364666,4.876357753469371,2.603210596399542,30.545781417811114,4.876357753469371,30.545781417811114
