mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.627118644067797,0.2,57.5547616979981,57.5547616979981,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,0.2,58.29525916150112,57.5547616979981,0.7404974635030186,0.012783900129200774,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,0.2,58.2948773302785,57.5547616979981,0.7401156322803999,0.012777350154492603,0.0
full_direct,5.627118644067797,0.39,57.55746140292994,57.55746140292994,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,0.39,58.29825936823605,57.55746140292994,0.7407979653061147,0.012788458894876372,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,0.39,58.297877521725205,57.55746140292994,0.7404161187952667,0.012781908995007859,0.0
full_direct,5.627118644067797,0.5800000000000001,57.56016105602808,57.56016105602808,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,0.5800000000000001,58.301259846275244,57.56016105602808,0.7410987902471646,0.012793022766141627,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,0.5800000000000001,58.30087798447713,57.56016105602808,0.7407169284490536,0.012786472941151802,0.0
full_direct,5.627118644067797,0.77,57.562860657245224,57.562860657245224,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,0.77,58.304259997515594,57.562860657245224,0.7413993402703696,0.012797581484730165,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,0.77,58.30387812043497,57.562860657245224,0.741017463189749,0.01279103173465642,0.0
full_direct,5.627118644067797,0.96,57.56556020661473,57.56556020661473,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,0.96,58.30726034970606,57.56556020661473,0.7417001430913359,0.012802144102038622,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,0.96,58.30687845734436,57.56556020661473,0.7413182507296341,0.012795594426919977,0.0
full_direct,5.627118644067797,1.15,57.56825970407602,57.56825970407602,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,1.15,58.31026004958234,57.56825970407602,0.7420003455063195,0.012806695985349724,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,1.15,58.309878141946314,57.56825970407602,0.7416184378702937,0.012800146385221428,0.0
full_direct,5.627118644067797,1.34,57.57095914964238,57.57095914964238,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.627118644067797,1.34,58.313259774335215,57.57095914964238,0.7423006246928381,0.012811248749080602,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.627118644067797,1.34,58.31287785142747,57.57095914964238,0.7419187017850959,0.012804699223982294,0.0
full_direct,5.627118644067797,1.53,57.573658543291614,57.573658543291614,0.0,0.0,0.0
