mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.627118644067797,0.2,48.22384834337098,48.22384834337098,0.0,0.0,0.0
base_mode,5.627118644067797,0.2,58.482628287989414,48.22384834337098,10.258779944618432,0.19287608019473,0.0
pointamp3_mode,5.627118644067797,0.2,58.48224522950776,48.22384834337098,10.25839688613678,0.19286953022002162,0.0
full_direct,5.627118644067797,0.39,48.22616683774059,48.22616683774059,0.0,0.0,0.0
base_mode,5.627118644067797,0.39,58.485638137808934,48.22616683774059,10.259471300068341,0.19287946797816297,0.0
pointamp3_mode,5.627118644067797,0.39,58.48525506398992,48.22616683774059,10.259088226249325,0.1928729180782942,0.0
full_direct,5.627118644067797,0.5800000000000001,48.22848529519555,48.22848529519555,0.0,0.0,0.0
base_mode,5.627118644067797,0.5800000000000001,58.48864825980471,48.22848529519555,10.260162964609165,0.19288286084329828,0.0
pointamp3_mode,5.627118644067797,0.5800000000000001,58.4882651706493,48.22848529519555,10.259779875453752,0.19287631101830824,0.0
full_direct,5.627118644067797,0.77,48.2308037156956,48.2308037156956,0.0,0.0,0.0
base_mode,5.627118644067797,0.77,58.4916580539513,48.2308037156956,10.260854338255697,0.19288624853188388,0.0
pointamp3_mode,5.627118644067797,0.77,58.491274949464255,48.2308037156956,10.260471233768655,0.19287969878181,0.0
full_direct,5.627118644067797,0.96,48.2331220992686,48.2331220992686,0.0,0.0,0.0
base_mode,5.627118644067797,0.96,58.49466804969386,48.2331220992686,10.261545950425258,0.19288964009531734,0.0
pointamp3_mode,5.627118644067797,0.96,58.49428492987661,48.2331220992686,10.261162830608015,0.1928830904201987,0.0
full_direct,5.627118644067797,1.15,48.23544044586339,48.23544044586339,0.0,0.0,0.0
base_mode,5.627118644067797,1.15,58.4976773910256,48.23544044586339,10.262236945162208,0.19289302090089144,0.0
pointamp3_mode,5.627118644067797,1.15,58.49729425588496,48.23544044586339,10.26185381002157,0.19288647130076345,0.0
full_direct,5.627118644067797,1.34,48.23775875549112,48.23775875549112,0.0,0.0,0.0
base_mode,5.627118644067797,1.34,58.50068675731391,48.23775875549112,10.262928001822786,0.19289640256302296,0.0
pointamp3_mode,5.627118644067797,1.34,58.50030360685247,48.23775875549112,10.262544851361348,0.19288985303792489,0.0
full_direct,5.627118644067797,1.53,48.240077028133015,48.240077028133015,0.0,0.0,0.0
base_mode,5.627118644067797,1.53,58.50369639567997,48.240077028133015,10.263619367546951,0.19289978930600168,0.0
pointamp3_mode,5.627118644067797,1.53,58.503313229898446,48.240077028133015,10.26323620176543,0.19289323985596876,0.0
full_direct,5.627118644067797,1.72,48.24239526376186,48.24239526376186,0.0,0.0,0.0
base_mode,5.627118644067797,1.72,58.50670630618943,48.24239526376186,10.264311042427572,0.1929031811307359,0.0
pointamp3_mode,5.627118644067797,1.72,58.50632312508879,48.24239526376186,10.263927861326934,0.19289663175580735,0.0
full_direct,5.627118644067797,1.91,48.244713462375024,48.244713462375024,0.0,0.0,0.0
base_mode,5.627118644067797,1.91,58.50971648889707,48.244713462375024,10.265003026522045,0.1929065780374382,0.0
pointamp3_mode,5.627118644067797,1.91,58.50933329247818,48.244713462375024,10.264619830103157,0.1929000287376515,0.0
full_direct,5.627118644067797,2.1,48.24703162394638,48.24703162394638,0.0,0.0,0.0
base_mode,5.627118644067797,2.1,58.512725619946536,48.24703162394638,10.26569399600016,0.19290995740077088,0.0
pointamp3_mode,5.627118644067797,2.1,58.512342408219,48.24703162394638,10.265310784272621,0.19290340817616466,0.0
full_direct,5.627118644067797,2.29,48.249349748467594,48.249349748467594,0.0,0.0,0.0
base_mode,5.627118644067797,2.29,58.5157338313672,48.249349748467594,10.266384082899606,0.19291332147992438,0.0
pointamp3_mode,5.627118644067797,2.29,58.5153506043397,48.249349748467594,10.266000855872107,0.1929067723305365,0.0
full_direct,5.627118644067797,2.4800000000000004,48.25166783592071,48.25166783592071,0.0,0.0,0.0
base_mode,5.627118644067797,2.4800000000000004,58.51874231460356,48.25166783592071,10.267074478682844,0.19291669063768385,0.0
pointamp3_mode,5.627118644067797,2.4800000000000004,58.51835907227693,48.25166783592071,10.266691236356216,0.19291014156355119,0.0
full_direct,5.627118644067797,2.6700000000000004,48.25398588629282,48.25398588629282,0.0,0.0,0.0
base_mode,5.627118644067797,2.6700000000000004,58.52175106972318,48.25398588629282,10.267765183430363,0.19292006487469476,0.0
pointamp3_mode,5.627118644067797,2.6700000000000004,58.52136781209839,48.25398588629282,10.267381925805573,0.19291351587585653,0.0
full_direct,5.627118644067797,2.8600000000000003,48.25630389956368,48.25630389956368,0.0,0.0,0.0
base_mode,5.627118644067797,2.8600000000000003,58.52476009677827,48.25630389956368,10.26845619721459,0.19292344419149082,0.0
pointamp3_mode,5.627118644067797,2.8600000000000003,58.524376823856066,48.25630389956368,10.268072924292383,0.19291689526798245,0.0
full_direct,5.627118644067797,3.0500000000000003,48.25862187572324,48.25862187572324,0.0,0.0,0.0
