alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.8,0.0,5.9,0.4,4.813559322033898,0.2,14.817528683271728,13.420768932824766,1.3967597504469627,0.09900742301794498,0.0
0.8,0.0,6.0,0.4,4.813559322033898,0.2,14.817528683271728,13.420768932824766,1.3967597504469627,0.09900742301794498,0.0
0.8,0.01,5.9,0.4,4.813559322033898,0.2,14.813459288161452,13.420768932824766,1.3926903553366863,0.09873275143832802,0.0
0.8,0.01,6.0,0.4,4.813559322033898,0.2,14.815344300203732,13.420768932824766,1.394575367378966,0.09885999329871574,0.0
0.8,0.02,5.9,0.4,4.813559322033898,0.2,14.809391010644866,13.420768932824766,1.3886220778201004,0.09845807985871129,0.0
0.8,0.02,6.0,0.4,4.813559322033898,0.2,14.81316023915495,13.420768932824766,1.3923913063301843,0.09871256357948478,0.0
0.825,0.0,5.9,0.4,4.813559322033898,0.2,14.726945863899239,13.420768932824766,1.3061769310744733,0.09287544033109772,0.0
0.825,0.0,6.0,0.4,4.813559322033898,0.2,14.726945863899239,13.420768932824766,1.3061769310744733,0.09287544033109772,0.0
0.825,0.01,5.9,0.4,4.813559322033898,0.2,14.722901345898357,13.420768932824766,1.3021324130735916,0.0926007687514798,0.0
0.825,0.01,6.0,0.4,4.813559322033898,0.2,14.72477483444647,13.420768932824766,1.3040059016217036,0.09272801061186754,0.0
0.825,0.02,5.9,0.4,4.813559322033898,0.2,14.718857938659083,13.420768932824766,1.298089005834317,0.09232609717186303,0.0
0.825,0.02,6.0,0.4,4.813559322033898,0.2,14.722604125044374,13.420768932824766,1.3018351922196079,0.09258058089263753,0.0
0.85,0.0,5.9,0.4,4.813559322033898,0.2,14.6369167972706,13.420768932824766,1.2161478644458334,0.08674345764425036,0.0
0.85,0.0,6.0,0.4,4.813559322033898,0.2,14.6369167972706,13.420768932824766,1.2161478644458334,0.08674345764425036,0.0
