alpha_center,taper,taper_center_D,taper_sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
0.8,0.0,5.9,0.4,4.813559322033898,1.4249757642477228,1.4220017917555972,0.0
0.8,0.0,5.9,0.4,5.627118644067797,10.721867241160396,10.72122029145466,0.0
0.8,0.0,5.9,0.4,5.898305084745763,43.51145315163018,43.511296484923406,0.0
0.8,0.0,5.9,0.4,6.169491525423728,33.205981021925666,33.20554145721339,0.0
0.8,0.0,5.9,0.4,6.4406779661016955,3.4412478063277803,3.441242385917403,0.0
0.8,0.0,5.9,0.4,6.711864406779661,20.68768945027893,20.687663741694355,0.0
0.8,0.0,5.9,0.4,7.254237288135593,0.12602997047585696,0.12602996466867644,0.0
0.8,0.0,6.0,0.4,4.813559322033898,1.4249757642477228,1.4220017917555972,0.0
0.8,0.0,6.0,0.4,5.627118644067797,10.721867241160396,10.72122029145466,0.0
0.8,0.0,6.0,0.4,5.898305084745763,43.51145315163018,43.511296484923406,0.0
0.8,0.0,6.0,0.4,6.169491525423728,33.205981021925666,33.20554145721339,0.0
0.8,0.0,6.0,0.4,6.4406779661016955,3.4412478063277803,3.441242385917403,0.0
0.8,0.0,6.0,0.4,6.711864406779661,20.68768945027893,20.687663741694355,0.0
0.8,0.0,6.0,0.4,7.254237288135593,0.12602997047585696,0.12602996466867644,0.0
0.8,0.01,5.9,0.4,4.813559322033898,1.4208418102181426,1.417874635053187,0.0
0.8,0.01,5.9,0.4,5.627118644067797,10.262445837108054,10.261849979323745,0.0
0.8,0.01,5.9,0.4,5.898305084745763,43.50745051446594,43.50729374023983,0.0
0.8,0.01,5.9,0.4,6.169491525423728,33.89184407894502,33.8914184134564,0.0
0.8,0.01,5.9,0.4,6.4406779661016955,4.270890220363874,4.270885631426944,0.0
0.8,0.01,5.9,0.4,6.711864406779661,20.68616824420808,20.686142492407914,0.0
0.8,0.01,5.9,0.4,7.254237288135593,0.1259875298468578,0.1259875240484715,0.0
