alpha_center,taper,taper_center_D,taper_sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,hotspot_max_abs_delta_mu,guard_max_abs_delta_mu,D4p814_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,D7p254_max_abs_delta_mu
0.8,0.0,5.9,0.4,43.510121438604344,43.51145315163018,0.0,43.51145315163018,20.68768945027893,1.4249757642477228,10.721867241160396,43.51145315163018,33.205981021925666,3.4412478063277803,20.68768945027893,0.12602997047585696
0.8,0.0,6.0,0.4,43.510121438604344,43.51145315163018,0.0,43.51145315163018,20.68768945027893,1.4249757642477228,10.721867241160396,43.51145315163018,33.205981021925666,3.4412478063277803,20.68768945027893,0.12602997047585696
0.8,0.01,5.9,0.4,43.5061178875237,43.50745051446594,0.0,43.50745051446594,20.68616824420808,1.4208418102181426,10.262445837108054,43.50745051446594,33.89184407894502,4.270890220363874,20.68616824420808,0.1259875298468578
0.8,0.01,6.0,0.4,43.27698252797296,43.27836750582839,0.0,43.27836750582839,20.685541923791376,1.422756727279003,10.208515946752314,43.27836750582839,33.70165185732679,4.359302508622633,20.685541923791376,0.12594115590892452
0.8,0.02,5.9,0.4,43.502113997522876,43.503447538485766,0.0,43.503447538485766,20.684646344301925,1.4167089895438778,9.798522789260794,43.503447538485766,34.56895389762053,5.086693094492745,20.684646344301925,0.1259450886741913
0.8,0.02,6.0,0.4,43.04269431002895,43.04413290664748,0.0,43.04413290664748,20.683393014510248,1.4205380168709691,9.689544112891518,43.04413290664748,34.19275096176521,5.260410833356829,20.683393014510248,0.12585233896111436
0.825,0.0,5.9,0.4,42.05556589849604,42.05723140311121,0.0,42.05723140311121,20.696590093055566,1.3329554269077288,9.421744035190876,42.05723140311121,31.220813518659547,1.0454272755881036,20.696590093055566,0.13188524249841382
0.825,0.0,6.0,0.4,42.05556589849604,42.05723140311121,0.0,42.05723140311121,20.696590093055566,1.3329554269077288,9.421744035190876,42.05723140311121,31.220813518659547,1.0454272755881036,20.696590093055566,0.13188524249841382
0.825,0.01,5.9,0.4,42.05143921218506,42.05310566873759,0.0,42.05310566873759,20.695072946645215,1.3288467009621971,8.949583364941624,42.05310566873759,31.9320120185647,1.915035165454185,20.695072946645215,0.13184287687569407
0.825,0.01,6.0,0.4,41.815256450289695,41.816977435183965,0.0,41.816977435183965,20.69444829769716,1.3307499319500664,8.894158056167946,41.816977435183965,31.73479419013062,2.0077064442246453,20.69444829769716,0.13179658489546675
0.825,0.02,5.9,0.4,42.047312176529935,42.04897958512811,0.0,42.04897958512811,20.693555108251207,1.324739101455517,8.47279622510981,42.04897958512811,32.63413393982088,2.7701368380731566,20.693555108251207,0.13180051071026933
0.825,0.02,6.0,0.4,41.573762346097034,41.57553917893496,0.0,41.57553917893496,20.692305123235457,1.32854476156019,8.360795686119836,41.57553917893496,32.24403425315316,2.9522228955964067,20.692305123235457,0.1317079249158497
0.85,0.0,5.9,0.4,40.55627331673718,40.55828648041575,0.0,40.55828648041575,20.70546698258233,1.2414966576908846,8.085569797502906,40.55828648041575,29.16231490740764,1.466293799577798,20.70546698258233,0.13773016636678337
0.85,0.0,6.0,0.4,40.55627331673718,40.55828648041575,0.0,40.55828648041575,20.70546698258233,1.2414966576908846,8.085569797502906,40.55828648041575,29.16231490740764,1.466293799577798,20.70546698258233,0.13773016636678337
0.85,0.01,5.9,0.4,40.55201970798682,40.55403386309794,0.0,40.55403386309794,20.703953884998416,1.2374130058711987,7.6003166147739165,40.55403386309794,29.899784728956988,0.5547523930588127,20.703953884998416,0.13768787561778373
0.85,0.01,6.0,0.4,40.308572790296246,40.310643735594546,0.0,40.310643735594546,20.70333090305834,1.2393046221021091,7.543354421222375,40.310643735594546,29.69528177125808,0.45761239013741317,20.70333090305834,0.13764166545041645
0.85,0.02,5.9,0.4,40.54776573914771,40.54978088580381,0.0,40.54978088580381,20.70244009727755,1.2333304736160908,7.110308675388538,40.54978088580381,30.627842687520882,0.34198759712379,20.70244009727755,0.137645584327037
0.85,0.02,6.0,0.4,40.059651171993735,40.06178028081711,0.0,40.06178028081711,20.701193448111486,1.2371129091003805,6.995202480746052,40.06178028081711,30.223332910923126,0.5328450913621907,20.701193448111486,0.13755316216157887
