width_peak,refamp_peak,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch,slice_max_width_beta_eff,slice_max_refamp_beta_eff
0.0,0.0,5.627118644067797,0.7462097772047471,0.746512074426974,0.0,0.0,0.0
0.0,0.0,5.898305084745763,30.544136573925506,30.545371906723638,0.0,0.0,0.0
0.0,0.0,6.169491525423729,14.878576035919338,14.880552312363946,0.0,0.0,0.0
0.0,0.0,6.4406779661016955,5.688045106969746,5.68808166120904,0.0,0.0,0.0
0.0,0.0,6.711864406779661,20.81521456027945,20.815226903323705,0.0,0.0,0.0
0.0,0.25,5.627118644067797,1.1435973646315105,1.1439200992089766,0.0,0.0,0.0997019113470463
0.0,0.25,5.898305084745763,28.57099594434024,28.572324011779834,0.0,0.0,0.25
0.0,0.25,6.169491525423729,13.737967999899027,13.739984218459057,0.0,0.0,0.0997019113470463
0.0,0.25,6.4406779661016955,5.747294888044394,5.747331601513274,0.0,0.0,0.006324029837561282
0.0,0.25,6.711864406779661,20.815182003424454,20.81519434640059,0.0,0.0,6.379862038077707e-05
0.0,0.5,5.627118644067797,1.5436912208950417,1.5440345320091993,0.0,0.0,0.1994038226940926
0.0,0.5,5.898305084745763,26.53324130459525,26.534665143437564,0.0,0.0,0.5
0.0,0.5,6.169491525423729,12.57930800220035,12.581364795024228,0.0,0.0,0.1994038226940926
0.0,0.5,6.4406779661016955,5.806604304789346,5.806641177648082,0.0,0.0,0.012648059675122563
0.0,0.5,6.711864406779661,20.81514944623901,20.815161789147034,0.0,0.0,0.00012759724076155413
0.0,0.75,5.627118644067797,1.9465097760904086,1.946873803870524,0.0,0.0,0.2991057340411389
0.0,0.75,5.898305084745763,24.4287567536514,24.430279500101932,0.0,0.0,0.75
0.0,0.75,6.169491525423729,11.40231034141658,11.404408350657434,0.0,0.0,0.2991057340411389
0.0,0.75,6.4406779661016955,5.865973417229085,5.866010449638125,0.0,0.0,0.018972089512683844
0.0,0.75,6.711864406779661,20.81511688872313,20.815129231563038,0.0,0.0,0.00019139586114233118
0.0,1.0,5.627118644067797,2.3520715858244117,2.352456471354067,0.0,0.0,0.3988076453881852
0.0,1.0,5.898305084745763,22.255357101514946,22.25698199447973,0.0,0.0,1.0
0.0,1.0,6.169491525423729,10.206684794455697,10.208824672429799,0.0,0.0,0.3988076453881852
0.0,1.0,6.4406779661016955,5.925402285447312,5.92543947756721,0.0,0.0,0.025296119350245127
0.0,1.0,6.711864406779661,20.815084330876786,20.81509667364858,0.0,0.0,0.00025519448152310826
0.25,0.0,5.627118644067797,0.28031221716437926,0.2805641121695075,0.0,0.0997019113470463,0.0
0.25,0.0,5.898305084745763,26.10932191327032,26.11028996846568,0.0,0.25,0.0
0.25,0.0,6.169491525423729,12.801208049129556,12.803044746609984,0.0,0.0997019113470463,0.0
0.25,0.0,6.4406779661016955,5.777778916238965,5.777815562518647,0.0,0.006324029837561282,0.0
0.25,0.0,6.711864406779661,20.81521884092203,20.815231184241078,0.0,6.379862038077707e-05,0.0
0.25,0.25,5.627118644067797,0.6745269726060599,0.6747989617197874,0.0,0.0997019113470463,0.0997019113470463
0.25,0.25,5.898305084745763,23.990955365551045,23.992007402905912,0.0,0.25,0.25
0.25,0.25,6.169491525423729,11.62772231445632,11.629596744989968,0.0,0.0997019113470463,0.0997019113470463
0.25,0.25,6.4406779661016955,5.83711901555224,5.837155821154148,0.0,0.006324029837561282,0.006324029837561282
0.25,0.25,6.711864406779661,20.815186284110478,20.815198627361415,0.0,6.379862038077707e-05,6.379862038077707e-05
0.25,0.5,5.627118644067797,1.071426389424687,1.0717186094909223,0.0,0.0997019113470463,0.1994038226940926
0.25,0.5,5.898305084745763,21.80321912588785,21.804357895547852,0.0,0.25,0.5
