center_D,sigma_D,beta_peak,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch,slice_max_beta_eff
6.68,0.03,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,7.427716115561416e-149
6.68,0.03,0.2,6.4406779661016955,5.688045106969668,5.68808166120899,0.0,3.0339763577640494e-15
6.68,0.03,0.2,6.711864406779661,20.05231913612757,20.052329883047,0.0,0.11377688206530095
6.68,0.03,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.2998503202232479e-148
6.68,0.03,0.35,6.4406779661016955,5.688045106969668,5.68808166120899,0.0,5.309458626087086e-15
6.68,0.03,0.35,6.711864406779661,19.363275672607223,19.36328497791433,0.0,0.19910954361427663
6.68,0.03,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.856929028890354e-148
6.68,0.03,0.5,6.4406779661016955,5.6880451069694615,5.688081661208777,0.0,7.584940894410123e-15
6.68,0.03,0.5,6.711864406779661,18.554656144535635,18.554663758054062,0.0,0.28444220516325236
6.68,0.03,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.4140077375574603e-148
6.68,0.03,0.65,6.4406779661016955,5.6880451069694615,5.688081661208777,0.0,9.860423162733161e-15
6.68,0.03,0.65,6.711864406779661,17.60570941505342,17.605715043191353,0.0,0.3697748667122281
6.68,0.05,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.683321630435896e-54
6.68,0.05,0.2,6.4406779661016955,5.68798253645128,5.688019090522467,0.0,2.1192568053032582e-06
6.68,0.05,0.2,6.711864406779661,19.666360959684848,19.666370899105065,0.0,0.1632445335848813
6.68,0.05,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.945812853262817e-54
6.68,0.05,0.35,6.4406779661016955,5.687935608606104,5.687972162551176,0.0,3.7086994092807012e-06
6.68,0.05,0.35,6.711864406779661,18.541969672795688,18.54197725977157,0.0,0.2856779337735422
6.68,0.05,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,4.208304076089739e-54
6.68,0.05,0.5,6.4406779661016955,5.687888680798331,5.687925234617268,0.0,5.298142013258145e-06
6.68,0.05,0.5,6.711864406779661,17.127378023383887,17.127382650759813,0.0,0.4081113339622032
6.68,0.05,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,5.470795298916661e-54
6.68,0.05,0.65,6.4406779661016955,5.687841753027982,5.687878306720684,0.0,6.887584617235589e-06
6.68,0.05,0.65,6.711864406779661,15.347686595747557,15.347687499663753,0.0,0.5305447341508642
6.68,0.08,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.703920688603104e-22
6.68,0.08,0.2,6.4406779661016955,5.6207987382788716,5.620835111798314,0.0,0.002278928066498023
6.68,0.08,0.2,6.711864406779661,19.487091577681777,19.487101142035726,0.0,0.18474821466823682
6.68,0.08,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,6.481861205055431e-22
6.68,0.08,0.35,6.4406779661016955,5.570414379219422,5.570450617334586,0.0,0.00398812411637154
6.68,0.08,0.35,6.711864406779661,18.141208207627574,18.141214956132796,0.0,0.3233093756694144
6.68,0.08,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,9.25980172150776e-22
6.68,0.08,0.5,6.4406779661016955,5.520073193980863,5.520109296807668,0.0,0.005697320166245057
6.68,0.08,0.5,6.711864406779661,16.395964816934743,16.395967914052385,0.0,0.461870536670592
6.68,0.08,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.2037742237960088e-21
6.68,0.08,0.65,6.4406779661016955,5.469775145567866,5.4698111132222,0.0,0.007406516216118575
6.68,0.08,0.65,6.711864406779661,14.132889944180151,14.132891581086703,0.0,0.6004316976717696
6.68,0.1,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.0772444686072525e-14
6.68,0.1,0.2,6.4406779661016955,5.352104415911718,5.3521400673346236,0.0,0.011410860428741182
6.68,0.1,0.2,6.711864406779661,19.441340444960968,19.441349913594706,0.0,0.19010001826531595
6.68,0.1,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.8851778200626916e-14
6.68,0.1,0.35,6.4406779661016955,5.101407631728804,5.1014426094217455,0.0,0.019969005750297066
6.68,0.1,0.35,6.711864406779661,18.03699404626382,18.03700057673285,0.0,0.33267503196430287
6.68,0.1,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.693111171518131e-14
6.68,0.1,0.5,6.4406779661016955,4.851784628451199,4.851818935300173,0.0,0.02852715107185295
6.68,0.1,0.5,6.711864406779661,16.2021809638662,16.202183655550403,0.0,0.4752500456632898
6.68,0.1,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.5010445229735704e-14
6.68,0.1,0.65,6.4406779661016955,4.603230806875672,4.6032644457540215,0.0,0.03708529639340884
6.68,0.1,0.65,6.711864406779661,13.804994393985755,13.804996716969741,0.0,0.6178250593622768
6.71,0.03,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.175279740082959e-160
6.71,0.03,0.2,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,6.314277445539341e-19
6.71,0.03,0.2,6.711864406779661,19.358864294641904,19.358873590719554,0.0,0.19961414905511665
6.71,0.03,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.806739545145178e-160
6.71,0.03,0.35,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,1.1049985529693844e-18
6.71,0.03,0.35,6.711864406779661,17.847147971587802,17.847154104862007,0.0,0.3493247608464541
6.71,0.03,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,5.438199350207397e-160
6.71,0.03,0.5,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,1.578569361384835e-18
6.71,0.03,0.5,6.711864406779661,15.845446347581682,15.845448292907877,0.0,0.4990353726377916
6.71,0.03,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,7.069659155269617e-160
6.71,0.03,0.65,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,2.0521401698002855e-18
6.71,0.03,0.65,6.711864406779661,13.195007642915426,13.195011242214875,0.0,0.6487459844291291
6.71,0.05,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.1862183517015631e-58
6.71,0.05,0.2,6.4406779661016955,5.688042149215434,5.6880787034467915,0.0,1.0017877460162225e-07
6.71,0.05,0.2,6.711864406779661,19.35670467694655,19.356713968505865,0.0,0.19986100781385574
6.71,0.05,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.075882115477735e-58
6.71,0.05,0.35,6.4406779661016955,5.688039930899812,5.68807648512513,0.0,1.7531285555283893e-07
6.71,0.05,0.35,6.711864406779661,17.842142795435922,17.842148918238337,0.0,0.3497567636742475
6.71,0.05,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.9655458792539075e-58
6.71,0.05,0.5,6.4406779661016955,5.688037712584183,5.688074266803646,0.0,2.504469365040556e-07
6.71,0.05,0.5,6.711864406779661,15.835976875421311,15.83597880093551,0.0,0.49965251953463935
6.71,0.05,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.85520964303008e-58
6.71,0.05,0.65,6.4406779661016955,5.688035494268625,5.688072048482226,0.0,3.2558101745527234e-07
6.71,0.05,0.65,6.711864406779661,13.17870502997053,13.178708663381,0.0,0.6495482753950311
6.71,0.08,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,8.846789943068785e-24
6.71,0.08,0.2,6.4406779661016955,5.667622827252153,5.667659326608039,0.0,0.0006918200865115194
6.71,0.08,0.2,6.711864406779661,19.355963572553517,19.355972862562304,0.0,0.19994569467650455
6.71,0.08,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.548188240037037e-23
6.71,0.08,0.35,6.4406779661016955,5.6523107671422395,5.652347225348073,0.0,0.0012106851513951588
6.71,0.08,0.35,6.711864406779661,17.840424795561177,17.8404309147692,0.0,0.3499049656838829
6.71,0.08,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.211697485767196e-23
6.71,0.08,0.5,6.4406779661016955,5.637002691318834,5.637039108385402,0.0,0.0017295502162787983
6.71,0.08,0.5,6.711864406779661,15.832725772039447,15.832727690751712,0.0,0.49986423669126134
6.71,0.08,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.875206731497355e-23
6.71,0.08,0.65,6.4406779661016955,5.621698598745262,5.621734974683001,0.0,0.002248415281162438
