mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.898305084745763,0.2,90.79702562735869,90.79702562735869,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,0.2,48.98004822121742,90.79702562735869,-41.81697740614127,-0.6172134916309128,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,0.2,60.251653720638146,90.79702562735869,-30.545371906720547,-0.4100965080232371,0.0
full_direct,5.898305084745763,0.39,90.79862216474444,90.79862216474444,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,0.39,48.982125493466796,90.79862216474444,-41.81649667127765,-0.6171886653825598,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,0.39,60.25448559082204,90.79862216474444,-30.5441365739224,-0.4100670918553004,0.0
full_direct,5.898305084745763,0.5800000000000001,90.80021867571749,90.80021867571749,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,0.5800000000000001,48.98420294818251,90.80021867571749,-41.81601572753498,-0.6171638366076477,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,0.5800000000000001,60.257317741395916,90.80021867571749,-30.542900934321572,-0.41003767264295204,0.0
full_direct,5.898305084745763,0.77,90.80181516046262,90.80181516046262,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,0.77,48.9862802206827,90.80181516046262,-41.81553493977992,-0.6171390127531311,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,0.77,60.26014963122751,90.80181516046262,-30.54166552923511,-0.41000825936863744,0.0
full_direct,5.898305084745763,0.96,90.80341161896216,90.80341161896216,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,0.96,48.98835763276781,90.80341161896216,-41.81505398619435,-0.6171141872492986,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,0.96,60.26298173779924,90.80341161896216,-30.540429881162922,-0.4099788441080581,0.0
full_direct,5.898305084745763,1.15,90.80500805110192,90.80500805110192,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,1.15,48.99043466406524,90.80500805110192,-41.81457338703668,-0.6170893707170514,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,1.15,60.26581328900283,90.80500805110192,-30.539194762099093,-0.40994943967199465,0.0
full_direct,5.898305084745763,1.34,90.8066044569945,90.8066044569945,0.0,0.0,0.0
fullwidthrefamp_pointamp,5.898305084745763,1.34,48.992511727581984,90.8066044569945,-41.81409272941252,-0.6170645547265123,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,1.34,60.268644897635,90.8066044569945,-30.537959559359507,-0.4099200358924533,0.0
full_direct,5.898305084745763,1.53,90.80820083658355,90.80820083658355,0.0,0.0,0.0
