layer,mode,family,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_delta_log_mu,acceptance_mismatch
1,release_tuned,current,0.3757889401845347,0.7373905552736773,0.03412003069351225,0.0
1,release_tuned,width_anchor,0.35453454766522013,0.6665051686889782,0.033563537009065864,0.0
1,release_tuned,partial_anchor,0.07687377188278077,0.25599124023602116,0.0058254900505466225,0.0
1,release_fullsumanchor,current,10.920015490430584,12.889272425910134,1.5224059529906553,0.0
1,release_fullsumanchor,width_anchor,15.691696511958416,91.58149338227204,1.662119814493082,0.0
1,release_fullsumanchor,partial_anchor,10.843994788304164,20.687172896974158,1.6734908320771351,0.0
1,tailm2_detlin,current,19.780947741855144,58.7703861176806,1.5221818343374722,0.0
1,tailm2_detlin,width_anchor,15.691696511958416,91.58149338227206,1.661889760758912,0.0
1,tailm2_detlin,partial_anchor,6.496910534193468,18.609409200438833,0.33872435612484997,0.0
2,release_tuned,current,0.3107841041832529,1.0145871023443789,0.017639782003260603,0.0
2,release_tuned,width_anchor,0.09987412009111978,0.5161143202409164,0.017532855787792036,0.0
2,release_tuned,partial_anchor,0.2035728339092117,1.1125571186558716,0.0058254900505466676,0.0
2,release_fullsumanchor,current,49.24087962881936,51.78203746770312,1.8879922399153746,0.14285714285714285
2,release_fullsumanchor,width_anchor,11.202097050558203,35.22773199930738,0.5613987451559262,0.0761904761904762
2,release_fullsumanchor,partial_anchor,47.13932796607354,54.78157741629597,1.6734908320771353,0.047619047619047616
2,tailm2_detlin,current,7.905935701647648,66.14646155556899,1.4717046647639982,0.02857142857142857
2,tailm2_detlin,width_anchor,11.202097050558232,35.2277319993074,0.5028511018130545,0.0
2,tailm2_detlin,partial_anchor,17.20475598101921,74.49751533578414,0.33872435612485013,0.02857142857142857
3,release_tuned,current,0.022108776013304167,0.02273497426327431,0.011517099994767806,0.0
3,release_tuned,width_anchor,0.09277286775983633,0.309940056651703,0.018824114233043004,0.0
3,release_tuned,partial_anchor,0.0919671382679386,0.28190979650119274,0.005825490050546534,0.0
3,release_fullsumanchor,current,1.8747054968523784,3.607948888206824,1.1309371706247309,0.0
3,release_fullsumanchor,width_anchor,68.78105153368817,170.42716659312742,1.9500490680725389,0.0
3,release_fullsumanchor,partial_anchor,10.90335619584437,11.945010424963154,1.673490832077135,0.0
3,tailm2_detlin,current,80.53037870075437,118.04555672147961,1.9338483338445531,0.0
3,tailm2_detlin,width_anchor,68.78105153368817,170.42716659312745,1.9500490680725389,0.0
3,tailm2_detlin,partial_anchor,3.424250508594291,84.949036311412,0.3387243561248501,0.0
