alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,4.0,0.2,0.9249524896501363,2.408283091800889,-1.4833306021507529,-0.9569269889060238,1.0
0.25,4.0,0.2,1.1140453979069866,2.408283091800889,-1.2942376938939024,-0.7709161907414025,1.0
0.5,4.0,0.2,1.3417955651616014,2.408283091800889,-1.0664875266392877,-0.5849053925767823,1.0
0.75,4.0,0.2,1.6161058984399312,2.408283091800889,-0.7921771933609578,-0.398894594412162,1.0
1.0,4.0,0.2,1.9464949376679321,2.408283091800889,-0.46178815413295693,-0.2128837962475412,1.0
0.0,4.0,0.6,0.9546731485936135,2.4855873168468285,-1.530914168253215,-0.9568952262959483,1.0
0.25,4.0,0.6,1.1498328772076167,2.4855873168468285,-1.3357544396392118,-0.7708923687838458,1.0
0.5,4.0,0.6,1.384888270352249,2.4855873168468285,-1.1006990464945796,-0.5848895112717443,1.0
0.75,4.0,0.6,1.667995027257289,2.4855873168468285,-0.8175922895895396,-0.3988866537596418,1.0
1.0,4.0,0.6,2.0089760816931332,2.4855873168468285,-0.4766112351536953,-0.21288379624754022,1.0
0.0,4.0,1.0,0.9848313723281679,2.564024495423726,-1.579193123095558,-0.9568629406817948,1.0
0.25,4.0,1.0,1.1861466430943477,2.564024495423726,-1.3778778523293782,-0.7708681545732312,1.0
0.5,4.0,1.0,1.4286139723574578,2.564024495423726,-1.135410523066268,-0.5848733684646672,1.0
0.75,4.0,1.0,1.7206454985116142,2.564024495423726,-0.8433789969121117,-0.3988785823561049,1.0
1.0,4.0,1.0,2.0723729354702827,2.564024495423726,-0.49165155995344323,-0.21288379624754106,1.0
0.0,4.0,2.0,1.0620224832508025,2.7647636140617435,-1.702741130810941,-0.9567800458527732,1.0
0.25,4.0,2.0,1.279090342886528,2.7647636140617435,-1.4856732711752156,-0.7708059834514644,1.0
0.5,4.0,2.0,1.5405249239711296,2.7647636140617435,-1.224238690090614,-0.5848319210501574,1.0
0.75,4.0,2.0,1.855394385998264,2.7647636140617435,-0.9093692280634795,-0.3988578586488485,1.0
1.0,4.0,2.0,2.2346203388387287,2.7647636140617435,-0.5301432752230149,-0.2128837962475405,0.0
0.0,4.0,4.0,1.2230354643170445,3.1833742708158104,-1.960338806498766,-0.9566058715931225,1.0
0.25,4.0,4.0,1.4729487927031828,3.1833742708158104,-1.7104254781126276,-0.7706753527567265,1.0
0.5,4.0,4.0,1.7739290553911093,3.1833742708158104,-1.409445215424701,-0.5847448339203314,1.0
0.75,4.0,4.0,2.1364111971507738,3.1833742708158104,-1.0469630736650366,-0.3988143150839363,1.0
1.0,4.0,4.0,2.572962424534445,3.1833742708158104,-0.6104118462813655,-0.21288379624754036,0.0
0.0,4.8,0.2,20.964905649228907,13.739247292265361,7.225658356963546,0.4225933771467947,0.0
0.25,4.8,0.2,18.399893156320985,13.739247292265361,4.660645864055624,0.29208835480511,0.0
0.5,4.8,0.2,16.14870459369228,13.739247292265361,2.4094573014269187,0.16158333246342596,0.0
0.75,4.8,0.2,14.172944257817662,13.739247292265361,0.43369696555230064,0.03107831012174136,0.0
1.0,4.8,0.2,12.438914079440641,13.739247292265361,-1.3003332128247198,-0.0994267122199431,0.0
0.0,4.8,0.6,21.004045926775255,13.765096208939836,7.238949717835419,0.422578954386867,0.0
0.25,4.8,0.6,18.434311170811004,13.765096208939836,4.669214961871168,0.2920775377351643,0.0
0.5,4.8,0.6,16.178969972118153,13.765096208939836,2.4138737631783176,0.16157612108346217,0.0
0.75,4.8,0.6,14.199557929410009,13.765096208939836,0.43446172047017306,0.031074704431759873,0.0
1.0,4.8,0.6,12.462316558973958,13.765096208939836,-1.3027796499658777,-0.0994267122199431,0.0
0.0,4.8,1.0,21.04319940492896,13.790954693731495,7.252244711197465,0.4225645189996721,0.0
0.25,4.8,1.0,18.468741077190167,13.790954693731495,4.677786383458672,0.2920667111947678,0.0
0.5,4.8,1.0,16.20924605677581,13.790954693731495,2.4182913630443164,0.16156890338986468,0.0
0.75,4.8,1.0,14.226181234063581,13.790954693731495,0.43522654033208674,0.031071095584960705,0.0
1.0,4.8,1.0,12.485727701062435,13.790954693731495,-1.3052269926690592,-0.0994267122199431,0.0
0.0,4.8,2.0,21.141139569787175,13.855641930084026,7.285497639703149,0.42252837558699685,0.0
0.25,4.8,2.0,18.554866745528987,13.855641930084026,4.6992248154449605,0.2920396036352616,0.0
0.5,4.8,2.0,16.28498212255091,13.855641930084026,2.429340192466885,0.16155083168352746,0.0
0.75,4.8,2.0,14.292780776542411,13.855641930084026,0.4371388464583852,0.031062059731793115,0.0
1.0,4.8,2.0,12.5442926979585,13.855641930084026,-1.3113492321255258,-0.09942671221994213,0.0
0.0,4.8,4.0,21.337251498405525,13.985185434428539,7.352066063976986,0.42245585572618355,0.0
0.25,4.8,4.0,18.72732710830689,13.985185434428539,4.742141673878352,0.2919852137396523,0.0
0.5,4.8,4.0,16.4366427722771,13.985185434428539,2.451457337848561,0.16151457175312028,0.0
0.75,4.8,4.0,14.426149768250308,13.985185434428539,0.44096433382176947,0.031043929766588808,0.0
1.0,4.8,4.0,12.661575725610103,13.985185434428539,-1.3236097088184362,-0.09942671221994262,0.0
0.0,5.6,0.2,8.775431073169464,57.97139610037368,-49.19596502720422,-1.887993824921702,0.0
0.25,5.6,0.2,13.334157787060406,57.97139610037368,-44.637238313313276,-1.469620720650836,0.0
0.5,5.6,0.2,20.26108602617134,57.97139610037368,-37.71031007420234,-1.0512476163799702,0.0
0.75,5.6,0.2,30.78646687069203,57.97139610037368,-27.18492922968165,-0.6328745121091051,0.0
1.0,5.6,0.2,46.77965145382297,57.97139610037368,-11.19174464655071,-0.21450140783823948,0.0
0.0,5.6,0.6,8.776455771255746,57.97770588386644,-49.201250112610694,-1.8879858998900645,0.0
0.25,5.6,0.6,13.335688381525348,57.97770588386644,-44.64201750234109,-1.4696147768771084,0.0
0.5,5.6,0.6,20.263371598317136,57.97770588386644,-37.714334285549306,-1.051243653864152,0.0
0.75,5.6,0.6,30.78987876623736,57.97770588386644,-27.18782711762908,-0.6328725308511958,0.0
1.0,5.6,0.6,46.78474309370738,57.97770588386644,-11.192962790159065,-0.2145014078382399,0.0
0.0,5.6,1.0,8.777480446242299,57.984015390166256,-49.206534943923955,-1.8879779744972032,0.0
0.25,5.6,1.0,13.337218933568918,57.984015390166256,-44.646796456597336,-1.4696088328324626,0.0
0.5,5.6,1.0,20.265657095038197,57.984015390166256,-37.718358295128056,-1.0512396911677215,0.0
0.75,5.6,1.0,30.79329053075484,57.984015390166256,-27.190724859411414,-0.6328705495029806,0.0
1.0,5.6,1.0,46.78983450991271,57.984015390166256,-11.194180880253548,-0.2145014078382399,0.0
0.0,5.6,2.0,8.780042032369067,57.999787941433695,-49.21974590906463,-1.887958159436221,0.0
0.25,5.6,2.0,13.341045127665282,57.999787941433695,-44.65874281376841,-1.4695939715367259,0.0
0.5,5.6,2.0,20.271370506227225,57.999787941433695,-37.72841743520647,-1.0512297836372304,0.0
0.75,5.6,2.0,30.801819367854307,57.999787941433695,-27.197968573579388,-0.6328655957377354,0.0
1.0,5.6,2.0,46.80256207040738,57.999787941433695,-11.197225871026312,-0.2145014078382399,0.0
0.0,5.6,4.0,8.785164768439573,58.031327827197636,-49.246163058758064,-1.8879185225583666,0.0
0.25,5.6,4.0,13.348696715844545,58.031327827197636,-44.68263111135309,-1.4695642438783352,0.0
0.5,5.6,4.0,20.282795907452144,58.031327827197636,-37.74853191974549,-1.0512099651983033,0.0
0.75,5.6,4.0,30.818874574852416,58.031327827197636,-27.21245325234522,-0.6328556865182718,0.0
1.0,5.6,4.0,46.82801298175641,58.031327827197636,-11.203314845441227,-0.21450140783824018,0.0
0.0,6.4,0.2,8.097559480210986,59.87715710517649,-51.779597624965504,-2.0007323643514985,0.0
0.25,6.4,0.2,14.990436336121482,59.87715710517649,-44.886720769055,-1.3848826617196408,0.0
0.5,6.4,0.2,27.750729352031414,59.87715710517649,-32.12642775314507,-0.7690329590877829,0.0
0.75,6.4,0.2,51.37295288156694,59.87715710517649,-8.504204223609548,-0.1531832564559251,0.0
1.0,6.4,0.2,95.10309636523135,59.87715710517649,35.225939260054865,0.46266644617593317,0.0
0.0,6.4,0.6,8.097623425098242,59.87747789531799,-51.779854470219746,-2.000729825029649,0.0
0.25,6.4,0.6,14.990545196288656,59.87747789531799,-44.88693269902933,-1.384880757228253,0.0
0.5,6.4,0.6,27.750913259991037,59.87747789531799,-32.12656463532695,-0.7690316894268577,0.0
0.75,6.4,0.6,51.37326072398022,59.87747789531799,-8.504217171337764,-0.15318262162546217,0.0
1.0,6.4,0.6,95.10360587732606,59.87747789531799,35.22612798200807,0.46266644617593344,0.0
0.0,6.4,1.0,8.097687369652585,59.8777986807895,-51.78011131113692,-2.0007272857045755,0.0
0.25,6.4,1.0,14.990654055683185,59.8777986807895,-44.887144625106316,-1.3848788527344484,0.0
0.5,6.4,1.0,27.751097166253267,59.8777986807895,-32.12670151453624,-0.7690304197643216,0.0
0.75,6.4,1.0,51.37356856279829,59.8777986807895,-8.504230117991213,-0.15318198679419429,0.0
1.0,6.4,1.0,95.10411538200331,59.8777986807895,35.22631670121381,0.4626664461759326,0.0
0.0,6.4,2.0,8.09784722923711,59.878600621788785,-51.780753392551674,-2.0007209373828236,0.0
0.25,6.4,2.0,14.990926200169751,59.878600621788785,-44.88767442161903,-1.3848740914931343,0.0
0.5,6.4,2.0,27.75155692337101,59.878600621788785,-32.12704369841778,-0.769027245603445,0.0
0.75,6.4,2.0,51.37433814212095,59.878600621788785,-8.504262479667837,-0.1531803997137562,0.0
1.0,6.4,2.0,95.10538910767474,59.878600621788785,35.226788485885955,0.46266644617593317,0.0
0.0,6.4,4.0,8.098166941026575,59.88020440872969,-51.78203746770311,-2.000708240694133,0.0
0.25,6.4,4.0,14.991470472607535,59.88020440872969,-44.88873393612215,-1.3848645689766164,0.0
0.5,6.4,4.0,27.752476402094704,59.88020440872969,-32.12772800663498,-0.7690208972591,0.0
0.75,6.4,4.0,51.3758772267294,59.88020440872969,-8.504327182000289,-0.15317722554158347,0.0
1.0,6.4,4.0,95.10793640803709,59.88020440872969,35.2277319993074,0.4626664461759333,0.0
0.0,7.2,0.2,2.130415863336019,3.531394482587155,-1.400978619251136,-0.5053756288313966,1.0
0.25,7.2,0.2,2.308047081636393,3.531394482587155,-1.2233474009507619,-0.425291082738195,0.0
0.5,7.2,0.2,2.500488952757135,3.531394482587155,-1.03090552983002,-0.3452065366449935,0.0
0.75,7.2,0.2,2.70897636907282,3.531394482587155,-0.8224181135143347,-0.26512199055179175,0.0
1.0,7.2,0.2,2.934847186628515,3.531394482587155,-0.59654729595864,-0.18503744445859016,0.0
0.0,7.2,0.6,2.130416509292605,3.5313951278523286,-1.4009786185597237,-0.5053755083471061,1.0
0.25,7.2,0.6,2.3080477119310983,3.5313951278523286,-1.2233474159212303,-0.4252909923749775,0.0
0.5,7.2,0.6,2.5004895602875394,3.5313951278523286,-1.0309055675647891,-0.34520647640284835,0.0
0.75,7.2,0.6,2.7089769456610022,3.5313951278523286,-0.8224181821913263,-0.26512196043071945,0.0
