alpha,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_delta_log_mu,acceptance_mismatch
0.65,19.721748712346326,31.961318083741062,0.8002231990652368,0.09523809523809523
0.675,17.170892477677185,30.84753266803625,0.7583859282633079,0.09523809523809523
0.7,14.458005124285439,29.68616315226995,0.7165486574613801,0.09523809523809523
0.725,11.572794389095673,28.475176607525384,0.6747113866594515,0.09523809523809523
0.75,8.504314241533798,27.21245325234522,0.6328741158575232,0.09523809523809523
0.775,5.240949430879878,25.895782742142508,0.5910368450555946,0.09523809523809523
0.8,1.7704071762455798,24.522860300084638,0.5613990385714756,0.08571428571428572
0.825,1.92090020350917,23.09128268267758,0.561399001894532,0.08571428571428572
0.85,5.846503696882662,21.598543972988296,0.5613989652175881,0.08571428571428572
0.875,10.021462648650488,20.04203119414175,0.5613989285406443,0.08571428571428572
0.9,14.461616188958187,18.4190197354137,0.5613988918637007,0.08571428571428572
