beta_peak,center_D,sigma_D,D21_p95_abs_delta_mu,D21_max_abs_delta_mu,D21_acceptance_mismatch,D21_D5p600_max_abs_delta_mu,D21_D6p400_max_abs_delta_mu,D21_D7p200_max_abs_delta_mu,D60_p95_abs_delta_mu,D60_max_abs_delta_mu,D60_acceptance_mismatch,D60_D5p898_max_abs_delta_mu,D60_D6p169_max_abs_delta_mu,D60_D6p441_max_abs_delta_mu,joint_objective
0.2,6.35,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,1.5599249528955568,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.5565485238036,21.963931379983094,83.83251348910628
0.5,6.44,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.335523458572531,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497104,2.0026657975644326,83.83251348910628
0.35,6.44,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,9.018467080559532,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556550662066776,4.273144110242313,83.83251348910628
0.35,6.44,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,5.119516290864077,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497104,4.275679434376016,83.83251348910628
0.5,6.44,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,12.597374128638876,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556551595107734,2.005891720347961,83.83251348910628
0.35,6.4,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,12.181442339076604,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55666832122759,8.813841906027704,83.83251348910628
0.35,6.4,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,12.181442339076604,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497184,14.399449109224136,83.83251348910628
0.65,6.35,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,5.782708495390175,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556548611176915,21.693634419436904,83.83251348910628
0.35,6.35,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.57185859846323,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.56385287570064,18.25981189995133,83.83251348910628
0.5,6.35,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,4.410180737516207,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654858205252,21.78362520062214,83.83251348910628
0.2,6.44,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,5.16866728805433,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556549729025697,11.32222700179642,83.83251348910628
0.35,6.35,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,3.002905131036769,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.5565485529281,21.873724144136617,83.83251348910628
0.2,6.4,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.139593641149965,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556548484971444,17.591921226743693,83.83251348910628
0.2,6.35,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,4.284826402874685,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.56072254048547,19.87451879090338,83.83251348910628
0.65,6.44,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,9.46185520516925,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497104,7.59438406597517,83.83251348910628
0.2,6.44,0.03,14.070418233041032,14.072583544233808,0.0,14.072583544233808,2.810152515243736,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497104,11.323853499714659,83.83251348910628
0.2,6.4,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.139593641149965,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55661696286365,14.187705526586797,83.83251348910628
0.5,6.35,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,10.664560359378676,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.566983033994674,16.680795246344132,83.83251348910628
0.65,6.35,0.05,14.070418233041032,14.072583544233808,0.0,14.072583544233808,13.574407854233883,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.570113015377785,15.136679960566696,83.83251348910628
0.2,6.44,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,6.302763934651523,0.7570349676045995,41.8154868444245,41.816977406144495,0.0,41.816977406144495,31.56583645344587,11.32166942977858,83.83251348911107
0.35,6.44,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,10.84911744553176,0.7570349676045995,41.815486844426836,41.816977406146826,0.0,41.816977406146826,31.572801407729422,4.272274998866742,83.83251348911456
0.2,6.4,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.139593641149965,0.7570349676045995,41.81548684450323,41.81697740622314,0.0,41.81697740622314,31.600985838024457,12.539750193576253,83.83251348922907
0.35,6.4,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,12.181442339076604,0.7570349676045995,41.81548684456459,41.81697740628447,0.0,41.81697740628447,31.634290455842887,6.184368529015579,83.83251348932109
0.2,6.35,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,5.870933689268192,0.7570349676045995,41.815486847812956,41.81697740953242,0.0,41.81697740953242,31.777516653342147,16.21591491690043,83.83251349419322
0.35,6.35,0.08,14.070418233041032,14.072583544233808,0.0,14.072583544233808,10.155451376907074,0.7570349676045995,41.815486850356734,41.81697741207586,0.0,41.81697741207586,31.94266409997048,12.116856774535506,83.83251349800855
0.2,6.44,0.1,14.070418233041032,14.072583544233808,0.0,14.072583544233808,6.59353721724915,0.757034967604076,41.81548685647484,41.81697741819317,0.0,41.81697741819317,31.62923743775457,11.321540755561628,83.83251350718491
0.35,6.44,0.1,14.070418233040947,14.072583544233744,0.0,14.072583544233744,11.313843407861839,0.7570349676036816,41.81548686551493,41.81697742723204,0.0,41.81697742723204,31.683691545964145,4.2720744296561435,83.83251352074373
0.2,6.4,0.1,14.070418233041032,14.072583544233808,0.0,14.072583544233808,7.139593641149965,0.7570349676045693,41.81548694155941,41.81697750326655,0.0,41.81697750326655,31.754315955831707,12.11656296110425,83.83251363480058
0.35,6.4,0.1,14.070418233041103,14.07258354423388,0.0,14.07258354423388,12.181442339076604,0.7570349676045498,41.81548701441298,41.816977576110446,0.0,41.816977576110446,31.90217803382241,5.517025838852405,83.83251374407136
0.2,6.35,0.1,14.070418233042282,14.072583544235059,0.0,14.072583544235059,6.302763934651416,0.7570349676045995,41.815487897641624,41.81697845922308,0.0,41.81697845922308,32.107380126089474,14.76554522447617,83.83251506880009
0.35,6.35,0.1,14.070418233043142,14.072583544235911,0.0,14.072583544235911,10.849117445531839,0.7570349676045898,41.81548868755681,41.81697924903433,0.0,41.81697924903433,32.51690609119113,9.747386519637345,83.83251625357022
0.2,6.44,0.15,14.070418539235996,14.072583850467105,0.0,14.072583850467105,6.892198567961984,0.7570301247011502,41.81552862890088,41.81701918512783,0.0,41.81701918512783,32.10905872155407,11.32141366853466,83.83257661966337
0.35,6.44,0.15,14.070418768882204,14.072584080142214,0.0,14.072584080142214,11.789200403489012,0.757026492518011,41.81555996723721,41.817050519344356,0.0,41.817050519344356,32.51982166310575,4.2718763347510915,83.83262396754628
0.2,6.4,0.15,14.070419548577595,14.072584859935318,0.0,14.072584859935318,7.139593641149965,0.7570337573302051,41.81559247859602,41.817083026429316,0.0,41.817083026429316,32.416618862635765,11.681683104875646,83.83267389995143
0.35,6.4,0.15,14.070420535229914,14.07258584671137,0.0,14.07258584671137,12.181442339076604,0.7570328496240717,41.8156717040776,41.81716224149594,0.0,41.81716224149594,33.05289625318558,4.834615940578452,83.83279420786107
0.2,6.35,0.15,14.070425596035676,14.072590908151653,0.0,14.072590908151653,6.756365324550529,0.7570347741062751,41.81579153657835,41.817282058243585,0.0,41.817282058243585,32.90833969556105,13.005225144583534,83.83298153270225
0.35,6.35,0.15,14.070431118280922,14.072596431089288,0.0,14.072596431089288,11.573253198887748,0.7570346289825167,41.8160200544523,41.81751054607669,0.0,41.81751054607669,33.90048895444152,6.922127573270643,83.8333325635326
0.5,6.35,0.08,14.09999494923351,14.100081271743761,0.0,14.072583544233808,14.100081271743761,0.7570349676045995,41.815486852900506,41.816977414619316,0.0,41.816977414619316,32.107317185096456,8.259925985759466,83.87479958743009
0.5,6.44,0.08,15.00959227557614,15.009686752034256,0.0,14.072583544233808,15.009686752034256,0.7570349676045995,41.81548684442919,41.81697740614917,0.0,41.81697740614917,31.579765486073043,2.0069975555150776,85.23920371818609
0.5,6.35,0.1,15.00959227557614,15.009686752034256,0.0,14.072583544236863,15.009686752034256,0.7570349676045898,41.815489477471914,41.81698003884568,0.0,41.81698003884568,32.923373839407994,5.0998552853298165,85.23920766740396
0.5,6.44,0.1,15.615909626340251,15.616009532535209,0.0,14.072583544233808,15.616009532535209,0.7570349676032881,41.81548687455499,41.81697743627094,0.0,41.81697743627094,31.73809205025637,2.0072527536493894,86.14868521925376
0.65,6.44,0.05,15.924347244948407,15.92444991157386,0.0,14.072583544233808,15.92444991157386,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556552528148778,7.598119484344522,86.61134436240002
0.5,6.35,0.15,15.953277379056889,15.953380304539351,0.0,14.07260195402614,15.953380304539351,0.757034483858761,41.81624857126033,41.81773903284408,0.0,41.81773903284408,34.874422370047675,1.398141707130506,86.65588231254205
0.5,6.44,0.15,16.233529728373778,16.23363516092624,0.0,14.072584309817238,16.23363516092624,0.7570228603301272,41.81559130555337,41.81708185354084,0.0,41.81708185354084,32.92750779095554,2.007504803178314,87.07527753143066
0.5,6.4,0.05,16.741195022404327,16.741304993936502,0.0,14.072583544233808,16.741304993936502,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556719679543818,3.8686565051898256,87.83662333349062
0.5,6.4,0.03,16.741195022404327,16.741304993936502,0.0,14.072583544233808,16.741304993936502,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556548484972133,11.350990310131294,87.83662333349062
0.5,6.4,0.08,16.741195022404327,16.741304993936502,0.0,14.072583544233808,16.741304993936502,0.7570349676045995,41.815486844626015,41.81697740634591,0.0,41.81697740634591,31.66757503252265,0.4435938764009748,87.83662333379759
0.5,6.4,0.1,16.741195022404327,16.741304993936502,0.0,14.07258354423388,16.741304993936502,0.75703496760454,41.815487087266455,41.816977648954435,0.0,41.816977648954435,32.04964398710721,0.415890337282832,87.83662369772632
0.5,6.4,0.15,16.741195022404327,16.741304993936502,0.0,14.07258683348747,16.741304993936502,0.757031941917623,41.815750929431054,41.81724145643455,0.0,41.81724145643455,33.681749364785844,1.2899936203126785,87.83701942628875
0.65,6.35,0.08,17.73166761681954,17.731786434761645,0.0,14.072583544233808,17.731786434761645,0.7570349676045995,41.81548685544413,41.81697741716267,0.0,41.81697741716267,32.2714773885689,4.630820324714762,89.32234108805615
0.65,6.44,0.08,18.817079361501655,18.817207859397136,0.0,14.072583544233808,18.817207859397136,0.7570349676045995,41.81548684443155,41.816977406151445,0.0,41.816977406151445,31.586728688586923,7.59939995657605,90.95046836851519
0.65,6.35,0.1,18.817079361501655,18.81720785939708,0.0,14.072583544237723,18.81720785939708,0.7570349676045995,41.81549026738707,41.81698082865708,0.0,41.81698082865708,33.32680620858539,0.7955779907441567,90.95047350249853
0.65,6.44,0.1,19.536940888203354,19.53707579749382,0.0,14.072583544233808,19.53707579749382,0.7570349676029031,41.81548688359515,41.81697744530992,0.0,41.81697744530992,31.792439003398222,7.599695455245659,92.03026712870299
0.65,6.35,0.15,19.936210506193735,19.93634896857607,0.0,14.072607476962311,19.93634896857607,0.7570343387349858,41.81647708700234,41.81796751854551,0.0,41.81796751854551,35.83047438494813,3.6183603800615742,92.63066028371962
0.65,6.44,0.15,20.26718640525681,20.267327811358214,0.0,14.072584539492254,20.267327811358214,0.7570192281374775,41.815622643849515,41.81711318771738,0.0,41.81711318771738,33.33214015193061,7.599987307652526,93.12584552362875
0.65,6.4,0.05,20.865111346593817,20.865258066891172,0.0,14.072583544233808,20.865258066891172,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.556771037812553,0.6824436881221772,94.02253456854004
0.65,6.4,0.03,20.865111346593817,20.865258066891172,0.0,14.072583544233808,20.865258066891172,0.7570349676045995,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497241,8.440048348017115,94.02253456854004
0.65,6.4,0.08,20.865111346593817,20.865258066891172,0.0,14.072583544233808,20.865258066891172,0.7570349676045995,41.81548684468736,41.81697740640725,0.0,41.81697740640725,31.700839580123315,4.742188362478053,94.02253456893901
0.65,6.4,0.1,20.865111346593817,20.865258066891172,0.0,14.072583544233979,20.865258066891172,0.7570349676045205,41.81548716012,41.81697772179842,0.0,41.81697772179842,32.196714876909994,5.748494128214801,94.0225350420465
0.65,6.4,0.15,20.865111346593817,20.865258066891172,0.0,14.072587820263472,20.865258066891172,0.7570310342108861,41.81583015465644,41.81732067124495,0.0,41.81732067124495,34.303264826190926,6.767427764978152,94.02304948876125
