family,base_family,base_label,feature,feature_label,polarity,positive_min_score,positive_mean_score,guard_max_score,guard_mean_score,separation,margin,improvement_vs_base,separable,D60_D6p169_score,D60_D6p441_score,D60_guard_D4p814_score,D60_guard_D5p627_score,D60_guard_D6p712_score,D21_guard_D4p0_score,D21_guard_D6p4_score,D21_guard_D8p0_score
family_score__hi__eymh_parented_prefactor_diag,family_score,family score,eymh_parented_prefactor_diag,eymh_prefactor_diag,high_trigger,1.907084033903713,4.63302741823559,4.367356758409185e-10,7.455665665890808e-11,4366677923.051953,1.9070840334669772,2.115669538297459,1.0,1.907084033903713,7.358970802567468,0.0,9.728136289153326e-12,4.367356758409185e-10,8.7612782337667e-13,0.0,0.0
family_score__hi__parent_blockdet_det_ratio,family_score,family score,parent_blockdet_det_ratio,blockdet_det_ratio,high_trigger,3.3912702886419037,6.541481264507598,1.1024094397299136e-09,2.4370905047505586e-10,3076234805.711345,3.3912702875394944,1.4904456856632846,1.0,3.3912702886419037,9.691692240373293,1.1024094397299136e-09,3.1701939439713555e-11,3.253309407741929e-10,2.8119829065149488e-12,0.0,0.0
family_score__hi__projected_logdet_schur_response_action,family_score,family score,projected_logdet_schur_response_action,logdet_schur_action,high_trigger,3.4751680902194493,6.771650850300847,1.1839209837622186e-09,2.596211065249182e-10,2935304076.7773147,3.4751680890355283,1.4221642929272265,1.0,3.4751680902194493,10.068133610382244,1.1839209837622186e-09,3.1701939439713555e-11,3.3914689728651616e-10,2.9568186610609925e-12,0.0,0.0
family_score__hi__parent_blockdet_action,family_score,family score,parent_blockdet_action,blockdet_action,high_trigger,3.4751680902194506,6.771650850300851,1.1839209837622199e-09,2.5962110652491846e-10,2935304076.7773128,3.4751680890355297,1.4221642929272256,1.0,3.4751680902194506,10.068133610382251,1.1839209837622199e-09,3.1701939439713555e-11,3.3914689728651626e-10,2.9568186610609953e-12,0.0,0.0
family_score__lo__projected_logdet_schur_response_weight,family_score,family score,projected_logdet_schur_response_weight,logdet_schur_weight,low_trigger,3.515078420129394,6.881281050540062,1.2240792852474064e-09,2.6743914054261456e-10,2871610084.8148403,3.5150784189053144,1.391304348378491,1.0,3.515078420129394,10.247483680950731,1.2240792852474064e-09,3.1701939439713555e-11,3.45827051748454e-10,3.0265668201136174e-12,0.0,0.0
family_score__hi__projected_schur_gain,family_score,family score,projected_schur_gain,schur_gain,high_trigger,3.305989250582614,6.314483083232367,1.1901994848830197e-09,2.569122927322697e-10,2777676593.3548927,3.3059892493924146,1.3457932687866998,1.0,3.305989250582614,9.32297691588212,1.1901994848830197e-09,3.1701939439713555e-11,3.16727915810757e-10,2.844416260128167e-12,0.0,0.0
family_score__hi__parent_blockdet_schur_norm,family_score,family score,parent_blockdet_schur_norm,blockdet_schur_norm,high_trigger,3.305989250582614,6.314483083232367,1.1901994848830197e-09,2.569122927322697e-10,2777676593.3548927,3.3059892493924146,1.3457932687866998,1.0,3.305989250582614,9.32297691588212,1.1901994848830197e-09,3.1701939439713555e-11,3.1672791581075675e-10,2.844416260128167e-12,0.0,0.0
family_score__hi__projected_schur_action,family_score,family score,projected_schur_action,schur_action,high_trigger,3.41575019657434,6.616532079122703,1.2850558285338746e-09,2.758831881354968e-10,2658055876.429418,3.4157501952892844,1.2878366456035433,1.0,3.41575019657434,9.817313961671067,1.2850558285338746e-09,3.1701939439713555e-11,3.355254386104796e-10,3.0159222289132594e-12,0.0,0.0
family_score__hi__projected_logdet_part_action,family_score,family score,projected_logdet_part_action,logdet_part_action,high_trigger,0.9242992696110122,2.802380807160527,3.6043548491115563e-10,9.597958448313384e-11,2564395871.951521,0.9242992692505767,1.2424580713366788,1.0,0.9242992696110122,4.680462344710042,2.1465025654526898e-10,0.0,3.6043548491115563e-10,7.917654423784753e-13,0.0,0.0
family_score__hi__projected_logdet_part_kernel,family_score,family score,projected_logdet_part_kernel,logdet_part_kernel,high_trigger,0.9009155360671209,2.7372183488573225,3.5579568165840825e-10,9.39926585451824e-11,2532114869.601117,0.9009155357113252,1.2268178215765764,1.0,0.9009155360671209,4.573521161647524,2.073923774044187e-10,0.0,3.5579568165840825e-10,7.678922082674226e-13,0.0,0.0
family_score__lo__projected_logdet_part_share,family_score,family score,projected_logdet_part_share,logdet_part_share,low_trigger,3.54369730826582,6.978833896037578,1.545441788122304e-09,3.2431836964487596e-10,2292999539.3559117,3.543697306720378,1.1109656728139896,1.0,3.54369730826582,10.413970483809337,1.545441788122304e-09,3.1701939439713555e-11,3.6540902395763335e-10,3.3574663496047536e-12,0.0,0.0
family_score__hi__projected_schur_share,family_score,family score,projected_schur_share,schur_share,high_trigger,3.54369730826582,6.978833896037577,1.5454417881223049e-09,3.2431836964487616e-10,2292999539.355911,3.543697306720378,1.1109656728139892,1.0,3.54369730826582,10.413970483809335,1.5454417881223049e-09,3.1701939439713555e-11,3.654090239576335e-10,3.3574663496047536e-12,0.0,0.0
family_score,family_score,family score,none,none,base,4.064250223398751,8.698900159335254,1.969142342344693e-09,4.473462594806824e-10,2063969747.641187,4.064250221429609,1.0,1.0,4.064250223398751,13.333550095271757,1.969142342344693e-09,3.1701939439713555e-11,6.791512471874413e-10,4.082027912246797e-12,0.0,0.0
family_score__lo__projected_logdet_part_kernel,family_score,family score,projected_logdet_part_kernel,logdet_part_kernel,low_trigger,3.1633346873316306,5.961681810477932,1.761749964940274e-09,3.533536009355e-10,1795563928.0735688,3.1633346855698807,0.8699565146851758,1.0,3.1633346873316306,8.760028933624234,1.761749964940274e-09,3.1701939439713555e-11,3.233555655290331e-10,3.3141357039793747e-12,0.0,0.0
