combo_id,placement,peak,center_D,width_D,score,is_safe_no_regression,d60_drift_mean_improvement_vs_candidate,d60_drift_worst_improvement_vs_candidate,d60_reviewer_penalty,d60_complement_penalty,d21_reviewer_penalty,d21_complement_penalty,d21_all_penalty,acceptance_flip_max_vs_candidate,d100_drift_p95_candidate,d100_drift_p95_guard,d80_drift_p95_candidate,d80_drift_p95_guard,d21e41_all_p95_candidate,d21e41_all_p95_guard,d21e21_all_p95_candidate,d21e21_all_p95_guard
185,mu_log_blend,1.0,7.24,0.005,0.017745523288531743,1.0,0.01774552328965751,4.0124249045980775e-05,3.907985046680551e-14,8.881784197001252e-16,0.0,9.325873406851315e-15,0.0,0.0,1.041924642067773,1.0087195359258248,1.7152504518731853,1.6775537087034724,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
85,mu_linear_blend,1.0,7.24,0.005,0.017673726193931857,1.0,0.017673726194058423,4.0114048144523906e-05,0.0,0.0,0.0,8.43769498715119e-15,0.0,0.0,1.041924642067773,1.00900596415282,1.7152504518731853,1.677554448212721,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
165,mu_log_blend,0.85,7.24,0.005,0.015092364916572426,1.0,0.015092364917678208,3.410563466044181e-05,3.907985046680551e-14,8.881784197001252e-16,0.0,7.993605777301127e-15,0.0,0.0,1.041924642067773,1.0136839705430374,1.7152504518731853,1.683189871040919,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
65,mu_linear_blend,0.85,7.24,0.005,0.015022667264843173,1.0,0.015022667264949755,3.409694092315618e-05,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,1.041924642067773,1.0139437658400627,1.7152504518731853,1.6832088487617902,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
145,mu_log_blend,0.7,7.24,0.005,0.012436151984284907,1.0,0.012436151985370705,2.8087012168498404e-05,3.907985046680551e-14,8.881784197001252e-16,0.0,6.661338147750939e-15,0.0,0.0,1.041924642067773,1.0186541587661013,1.7152504518731853,1.688832497998371,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
45,mu_linear_blend,0.7,7.24,0.005,0.012371608335754358,1.0,0.012371608335840955,2.807983370090028e-05,0.0,0.0,0.0,5.773159728050814e-15,0.0,0.0,1.041924642067773,1.0188815675273064,1.7152504518731853,1.6888632493108604,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
125,mu_log_blend,0.5,7.24,0.005,0.008889777117081022,1.0,0.008889777118140174,2.0062169565626675e-05,3.907985046680551e-14,8.881784197001252e-16,0.0,4.884981308350689e-15,0.0,0.0,1.041924642067773,1.0252900379768395,1.7152504518731853,1.6963660695008933,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
25,mu_linear_blend,0.5,7.24,0.005,0.008836863096969239,1.0,0.00883686309702919,2.0057024071817864e-05,0.0,0.0,0.0,3.9968028886505635e-15,0.0,0.0,1.041924642067773,1.0254653031102965,1.7152504518731853,1.696402450042953,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
105,mu_log_blend,0.3,7.24,0.005,0.005337957304049287,1.0,0.0053379573050701375,1.203731255028373e-05,3.907985046680551e-14,8.881784197001252e-16,0.0,2.3314683517128287e-15,0.0,0.0,1.041924642067773,1.0319361735032633,1.7152504518731853,1.7039111644436202,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
5,mu_linear_blend,0.3,7.24,0.005,0.005302117858177562,1.0,0.00530211785821753,1.2034214443623625e-05,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,1.041924642067773,1.0320490386932875,1.7152504518731853,1.7039416507750458,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
190,mu_log_blend,1.0,7.248,0.005,0.0038186368182631125,1.0,0.0038186368192489905,0.0007944576319536267,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0411301843603447,1.7152504518731853,1.7028941194836724,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
90,mu_linear_blend,1.0,7.248,0.005,0.0038081209281328457,1.0,0.0038081209281328457,0.0007846437097924763,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0411399982834384,1.7152504518731853,1.7029260720311141,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
170,mu_log_blend,0.85,7.248,0.005,0.0032463435654114746,1.0,0.0032463435663973527,0.0006752983089501896,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0412493436946697,1.7152504518731853,1.7047456017630251,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
70,mu_linear_blend,0.85,7.248,0.005,0.0032369027889128927,1.0,0.0032369027889128927,0.0006669471533236049,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0412576948510885,1.7152504518731853,1.7047747290074255,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
150,mu_log_blend,0.7,7.248,0.005,0.002673873142184062,1.0,0.00267387314316994,0.0005561356960441799,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0413685063188955,1.7152504518731853,1.7065977780772164,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
50,mu_linear_blend,0.7,7.248,0.005,0.002665684649692971,1.0,0.002665684649692971,0.0005492505968547334,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0413753914187387,1.7152504518731853,1.706623385983736,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
130,mu_log_blend,0.5,7.248,0.005,0.001910303533551678,1.0,0.001910303534537556,0.0003972470943871542,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.041527394935648,1.7152504518731853,1.7090684265555636,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
30,mu_linear_blend,0.5,7.248,0.005,0.0019040604640664313,1.0,0.0019040604640664313,0.00039232185489623816,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0415323201756053,1.7152504518731853,1.7090882619521501,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
195,mu_log_blend,1.0,7.254237,0.005,0.0013767148424260742,1.0,0.0013767148434119523,7.306084249592004e-06,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0419173359828289,1.7152504518731853,1.7143742819052576,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
95,mu_linear_blend,1.0,7.254237,0.005,0.0013758722866496062,1.0,0.0013758722866496062,7.215174385954981e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0419174268927014,1.7152504518731853,1.7143775612252359,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
175,mu_log_blend,0.85,7.254237,0.005,0.001170248219399592,1.0,0.00117024822038547,6.210172400322733e-06,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0419184318947838,1.7152504518731853,1.714505697516203,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
75,mu_linear_blend,0.85,7.254237,0.005,0.0011694914436523062,1.0,0.0011694914436523062,6.132898228372596e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.041918509168962,1.7152504518731853,1.7145084948224278,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
110,mu_log_blend,0.3,7.248,0.005,0.0011464186849810506,1.0,0.0011464186859669286,0.00023835264363825104,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0416862894014907,1.7152504518731853,1.711540309953092,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
10,mu_linear_blend,0.3,7.248,0.005,0.0011424362784398802,1.0,0.0011424362784398802,0.0002353931129377429,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0416892489324727,1.7152504518731853,1.7115531379205642,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
155,mu_log_blend,0.7,7.254237,0.005,0.0009637672673923478,1.0,0.0009637672683782258,5.1142602721654384e-06,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.041919527807015,1.7152504518731853,1.7146371166155614,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
55,mu_linear_blend,0.7,7.254237,0.005,0.0009631106006548304,1.0,0.0009631106006548304,5.050622069902033e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0419195914452226,1.7152504518731853,1.7146394284196207,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
135,mu_log_blend,0.5,7.254237,0.005,0.0006884370400116887,1.0,0.0006884370409975667,3.6530436702264524e-06,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0419209890237555,1.7152504518731853,1.7148123475079515,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
35,mu_linear_blend,0.5,7.254237,0.005,0.0006879361433248587,1.0,0.0006879361433248587,3.6075871934215797e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0419210344802377,1.7152504518731853,1.7148140065492106,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
115,mu_log_blend,0.3,7.254237,0.005,0.00041308133445775477,1.0,0.0004130813354436328,2.191826572683908e-06,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.041924642067773,1.0419224502409916,1.7152504518731853,1.7149875846023486,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
15,mu_linear_blend,0.3,7.254237,0.005,0.00041276168599486626,1.0,0.00041276168599486626,2.164552316052948e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.041924642067773,1.0419224775152518,1.7152504518731853,1.7149885846788004,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
180,mu_log_blend,1.0,7.232323,0.005,0.029235523151529524,0.0,0.029235532608031772,1.5587082202728197e-07,3.907985046680551e-14,8.881784197001252e-16,0.0,6.303677579921896e-10,0.0,0.0,1.041924642067773,0.9349389129692947,1.7152504518731853,1.7052944450360856,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
80,mu_linear_blend,1.0,7.232323,0.005,0.029228485151725263,0.0,0.02922849343858979,1.5583049695067075e-07,0.0,0.0,0.0,5.524576351945143e-10,0.0,0.0,1.041924642067773,0.934938912970738,1.7152504518731853,1.7053226016565057,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
86,mu_linear_blend,1.0,7.24,0.01,0.026497562143165676,0.0,0.02980008874925999,0.0008390180354442833,0.0,0.0,0.0,0.00022016844040628758,0.0,0.0,1.041924642067773,0.9622436037804203,1.7152504518731853,1.6774092077293696,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
186,mu_log_blend,1.0,7.24,0.01,0.026095774663389453,0.0,0.029863868287917688,0.0008391563494711818,3.907985046680551e-14,8.881784197001252e-16,0.0,0.00025120624156949045,0.0,0.0,1.041924642067773,0.9619889484165576,1.7152504518731853,1.6774090217845616,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
160,mu_log_blend,0.85,7.232323,0.005,0.02489317988073416,0.0,0.024893187918917613,1.324901983679183e-07,3.907985046680551e-14,8.881784197001252e-16,0.0,5.35813171609334e-10,0.0,0.0,1.041924642067773,0.9508161088225089,1.7152504518731853,1.7067865689096928,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
60,mu_linear_blend,0.85,7.232323,0.005,0.02484421237896242,0.0,0.024844219422801267,1.3245592267452366e-07,0.0,0.0,0.0,4.695892563688631e-10,0.0,0.0,1.041924642067773,0.9509867723352929,1.7152504518731853,1.7068117791890076,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
66,mu_linear_blend,0.85,7.24,0.01,0.022522927821691262,0.0,0.025330075436871012,0.000713165330127552,0.0,0.0,0.0,0.0001871431743453167,0.0,0.0,1.041924642067773,0.9741957595235231,1.7152504518731853,1.6830853943509423,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
166,mu_log_blend,0.85,7.24,0.01,0.0222097746406748,0.0,0.025412675972620473,0.0007132929453730341,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0002135267553973197,0.0,0.0,1.041924642067773,0.9738842613855381,1.7152504518731853,1.6830667458266966,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
140,mu_log_blend,0.7,7.232323,0.005,0.02053575354866588,0.0,0.020535760168517214,1.0910957559673307e-07,3.907985046680551e-14,8.881784197001252e-16,0.0,4.412576970480586e-10,0.0,0.0,1.041924642067773,0.9667531863222125,1.7152504518731853,1.708279143331132,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
40,mu_linear_blend,0.7,7.232323,0.005,0.020459939606206307,0.0,0.02045994540701281,1.0908134751019816e-07,0.0,0.0,0.0,3.86720433454002e-10,0.0,0.0,1.041924642067773,0.9670346316998488,1.7152504518731853,1.7083009567215095,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
46,mu_linear_blend,0.7,7.24,0.01,0.018548293500216848,0.0,0.020860062124482034,0.0005873126248108207,0.0,0.0,0.0,0.0001541179082843458,0.0,0.0,1.041924642067773,0.9861479152666259,1.7152504518731853,1.688761580972514,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
146,mu_log_blend,0.7,7.24,0.01,0.01831380250553816,0.0,0.020951503868270275,0.0005874259949631977,3.907985046680551e-14,8.881784197001252e-16,0.0,0.0001758467574497491,0.0,0.0,1.041924642067773,0.9858129720267259,1.7152504518731853,1.6887309842373686,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
191,mu_log_blend,1.0,7.248,0.01,0.015897049083739942,0.0,0.01600858742783244,0.001903141064240721,3.907985046680551e-14,8.881784197001252e-16,0.0,7.435889540441387e-06,0.0,0.0,1.041924642067773,1.0103377478458198,1.7152504518731853,1.6866092839859599,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
91,mu_linear_blend,1.0,7.248,0.01,0.01583447554100976,0.0,0.015932228463176608,0.0019030540196016688,0.0,0.0,0.0,6.516861477789959e-06,0.0,0.0,1.041924642067773,1.010616123170247,1.7152504518731853,1.6866361702162482,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
120,mu_log_blend,0.5,7.232323,0.005,0.014702291555212146,0.0,0.014702296283951213,7.793541101364099e-08,3.907985046680551e-14,8.881784197001252e-16,0.0,3.151835459291874e-10,0.0,0.0,1.041924642067773,0.9880961626912317,1.7152504518731853,1.710269943647046,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
20,mu_linear_blend,0.5,7.232323,0.005,0.014614242575862572,0.0,0.014614246719294836,7.791524847533537e-08,0.0,0.0,0.0,2.7622881759725715e-10,0.0,0.0,1.041924642067773,0.9884317775192555,1.7152504518731853,1.710286526764846,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
171,mu_log_blend,0.85,7.248,0.01,0.013518857797924617,0.0,0.013613665409615956,0.001617721592563015,3.907985046680551e-14,8.881784197001252e-16,0.0,6.320507380364049e-06,0.0,0.0,1.041924642067773,1.0150610057969232,1.7152504518731853,1.6908948743467533,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
71,mu_linear_blend,0.85,7.248,0.01,0.013459304209856793,0.0,0.013542394193700114,0.0016175959166613296,0.0,0.0,0.0,5.539332256221385e-06,0.0,0.0,1.041924642067773,1.0153124010048762,1.7152504518731853,1.6909283124647887,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
26,mu_linear_blend,0.5,7.24,0.01,0.01324878107158366,0.0,0.014900044374629984,0.00041950901772214166,0.0,0.0,0.0,0.00011008422020308828,0.0,0.0,1.041924642067773,1.0020841229240967,1.7152504518731853,1.696329829801277,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
126,mu_log_blend,0.5,7.24,0.01,0.013103617049203337,0.0,0.014987706511330263,0.00041959787775969204,3.907985046680551e-14,8.881784197001252e-16,0.0,0.00012560596407606983,0.0,0.0,1.041924642067773,1.0017700335896036,1.7152504518731853,1.6962934485458812,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
151,mu_log_blend,0.7,7.248,0.01,0.011138423160280842,0.0,0.011216500032831412,0.0013322838798908165,3.907985046680551e-14,8.881784197001252e-16,0.0,5.205124770979452e-06,0.0,0.0,1.041924642067773,1.0197894699355796,1.7152504518731853,1.6951841954710654,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
51,mu_linear_blend,0.7,7.248,0.01,0.011084132878708816,0.0,0.011152559924223612,0.0013321378137209905,0.0,0.0,0.0,4.561803034319745e-06,0.0,0.0,1.041924642067773,1.0200086788395044,1.7152504518731853,1.6952204547133292,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
100,mu_log_blend,0.3,7.232323,0.005,0.008841780264111282,0.0,0.00884178310174974,4.676124731872733e-08,3.907985046680551e-14,8.881784197001252e-16,0.0,1.8911017196643343e-10,0.0,0.0,1.041924642067773,1.0095465346212693,1.7152504518731853,1.712261545501331,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
0,mu_linear_blend,0.3,7.232323,0.005,0.008768545545518917,0.0,0.008768548031576943,4.674914944047259e-08,0.0,0.0,0.0,1.6573720174051232e-10,0.0,0.0,1.041924642067773,1.0098289233386621,1.7152504518731853,1.7122720968081815,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
