D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_parent,chi2_parent,mu_cf,chi2_cf,case,abs_delta_base,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent,acceptance_flip_vs_base,drift_grid_D
4.0,0.2,1.844464217740718,1.2346777553241777,2.9169321143668525,14.381768997484311,2.9169321143667006,14.381768997481432,2.9169321143667006,14.381768997481432,D100E41_monitor,1.0724678966261345,1.0724678966259826,1.0724678966259826,0.0,0.0,7.232323232323233
4.0,0.295,1.8584545396149543,1.3136285305847502,2.938943193282083,14.80216345093284,2.9389431932819297,14.802163450929893,2.9389431932819297,14.802163450929893,D100E41_monitor,1.0804886536671285,1.0804886536669753,1.0804886536669753,0.0,0.0,7.232323232323233
4.0,0.39,1.8724954537290377,1.395324711216308,2.9610953999309957,15.231367798035723,2.961095399930841,15.231367798032707,2.961095399930841,15.231367798032707,D100E41_monitor,1.088599946201958,1.0885999462018034,1.0885999462018034,0.0,0.0,7.232323232323233
4.0,0.485,1.8865865129634083,1.479790216236807,2.98339043477251,15.66953293080674,2.983390434772354,15.669532930803651,2.983390434772354,15.669532930803651,D100E41_monitor,1.0968039218091017,1.0968039218089458,1.0968039218089458,0.0,0.0,7.232323232323233
4.0,0.5800000000000001,1.9007272641867143,1.5670487068744496,3.00583003609221,16.11681315509943,3.0058300360920533,16.116813155096285,3.0058300360920533,16.116813155096285,D100E41_monitor,1.1051027719054958,1.105102771905339,1.105102771905339,0.0,0.0,7.232323232323233
4.0,0.675,1.91491724831516,1.657123578827851,3.0281949929404512,16.568868343977222,3.028194992940293,16.568868343974007,3.028194992940293,16.568868343974007,D100E41_monitor,1.1132777446252913,1.1132777446251332,1.1132777446251332,0.0,0.0,7.232323232323233
4.0,0.77,1.9291560003734392,1.7500379545700948,3.0506429996170077,17.028889451153955,3.0506429996168483,17.028889451150665,3.0506429996168483,17.028889451150665,D100E41_monitor,1.1214869992435685,1.121486999243409,1.121486999243409,0.0,0.0,7.232323232323233
4.0,0.865,1.9434430495570176,1.8458146756989435,3.073233984270479,17.498199788235382,3.0732339842703187,17.498199788232032,3.0732339842703187,17.498199788232032,D100E41_monitor,1.1297909347134614,1.129790934713301,1.129790934713301,0.0,0.0,7.232323232323233
4.0,0.96,1.9577779192960196,1.9444762953387316,3.095969700154866,17.97695764902116,3.0959697001547046,17.97695764901774,3.0959697001547046,17.97695764901774,D100E41_monitor,1.1381917808588462,1.138191780858685,1.138191780858685,0.0,0.0,7.232323232323233
4.0,1.055,1.9721601273204823,2.0460450705961915,3.118553835034944,18.4589205244582,3.118553835034781,18.458920524454705,3.118553835034781,18.458920524454705,D100E41_monitor,1.146393707714462,1.1463937077142985,1.1463937077142985,0.0,0.0,7.232323232323233
4.0,1.15,1.9865891857271083,2.1505429550749517,3.141059674311274,18.945554934455508,3.1410596743111108,18.94555493445194,3.1410596743111108,18.94555493445194,D100E41_monitor,1.154470488584166,1.1544704885840025,1.1544704885840025,0.0,0.0,7.232323232323233
4.0,1.245,2.0010646010473905,2.2579915914516175,3.1637030510744593,19.44155282730847,3.163703051074294,19.441552827304832,3.163703051074294,19.441552827304832,D100E41_monitor,1.1626384500270688,1.1626384500269036,1.1626384500269036,0.0,0.0,7.232323232323233
4.0,1.34,2.0155858743171753,2.368412304117758,3.1864856220460394,19.947067986107648,3.1864856220458733,19.947067986103946,3.1864856220458733,19.947067986103946,D100E41_monitor,1.170899747728864,1.170899747728698,1.170899747728698,0.0,0.0,7.232323232323233
4.0,1.435,2.0301525011475725,2.481826091890884,3.209409080150224,20.462257620813,3.2094090801500563,20.462257620809208,3.2094090801500563,20.462257620809208,D100E41_monitor,1.1792565790026517,1.1792565790024838,1.1792565790024838,0.0,0.0,7.232323232323233
