combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874290327085,30.298383494099486,1.0,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D60_hotspot,6.711864406779661,7.462467784829663,4.5527917199075,2.9094955477727504,1.0,0.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D21_guard,6.4,2.1022273869561374,15.359502959581647,-13.25704144798216,0.0,1.0
1,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.03,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874290327085,30.298383494099486,1.0,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D60_hotspot,6.711864406779661,7.462467784829663,4.551485641205083,2.910801646099976,1.0,0.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D21_guard,6.4,2.1022273869561374,15.359502959581647,-13.25704144798216,0.0,1.0
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.05,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874424720986,30.29838348066042,1.0,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D60_hotspot,6.711864406779661,7.462467784829663,4.490761877222919,2.9715263225020423,1.0,0.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D21_guard,6.4,2.1022273869561374,15.359502959222432,-13.257041447622962,0.0,1.0
3,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.35,0.07,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874290327085,30.298383494099486,1.0,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D60_hotspot,6.711864406779661,7.462467784829663,4.552791720986882,2.909495546693354,1.0,0.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,6.4,2.1022273869561374,15.359502959581647,-13.25704144798216,0.0,1.0
4,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874290327085,30.298383494099486,1.0,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.711864406779661,7.462467784829663,4.552776762860226,2.9095105050447656,1.0,0.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,6.4,2.1022273869561374,15.359502959581647,-13.25704144798216,0.0,1.0
5,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543911775,2.0560159712312312e-08,1.0,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,5.627118644067797,10.271915904250342,10.271881110540122,3.4777611749483463e-05,1.0,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.169491525423728,25.887561191706766,23.95385400542311,1.9330982569582527,1.0,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.4406779661016955,31.28630580743782,0.9871874291415068,30.29838349399069,1.0,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.711864406779661,7.462467784829663,4.546459512585418,2.9158278502409782,1.0,0.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,6.4,2.1022273869561374,15.359502959579657,-13.257041447980175,0.0,1.0
6,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,8.0,0.3226590996076344,0.32297465860585683,-0.00031555902064458276,0.0,1.0
