D,level,uniform_n_total,prolate_n_total,prolate_n_inner,prolate_n_outer_each,uniform_E1,uniform_E2,uniform_omega1,uniform_omega2,uniform_delta_omega12,prolate_E1,prolate_E2,prolate_omega1,prolate_omega2,prolate_delta_omega12
5.4,coarse,401,401,121,140,-0.08881549323475185,-0.02150290170231767,0.9545598497555029,0.9891901224222178,0.03463027266671492,-3.7819489371576904,-3.781622860924105,0.0,0.0,0.0
5.4,fine,1201,1201,401,400,-0.4960330040063901,-0.4552189719199922,0.7099063290277176,0.738092831614024,0.028186502586306394,-0.8665832365078963,-0.8459372795260864,0.3652625952545699,0.3925082425553807,0.027245647300810805
5.4,mid,801,801,241,280,-0.07936967732818685,-0.005934799416664208,0.9594948268082601,0.9970281844478298,0.037533357639569664,-1.4023194303982898,-1.39390828123085,0.0,0.0,0.0
5.627118644067797,coarse,401,401,121,140,-4.841336946013311,-4.841238699336354,0.0,0.0,0.0,-3.7779101887382867,-3.777699772527872,0.0,0.0,0.0
5.627118644067797,fine,1201,1201,401,400,-0.6813928866324663,-0.6579399932543442,0.564452932818613,0.5848589631232951,0.020406030304682132,-0.864322433430044,-0.8476580610296203,0.36834435867806636,0.39031005491836834,0.02196569624030198
5.627118644067797,mid,801,801,241,280,-1.345526084329801,-1.3383649292273678,0.0,0.0,0.0,-1.3998648471446848,-1.393439872883421,0.0,0.0,0.0
5.8,coarse,401,401,121,140,-0.09067116807580702,-0.019434534537275425,0.9535873488696214,0.9902350556624041,0.03664770679278273,-3.7747696589631925,-3.7746188325251557,0.0,0.0,0.0
5.8,fine,1201,1201,401,400,-0.49266474247623215,-0.46356391109565914,0.7122747065028828,0.7324179741816423,0.020143267678759513,-0.8627826826402488,-0.8486204651338363,0.370428559049854,0.3890752303426212,0.018646671292767203
5.8,mid,801,801,241,280,-0.07745280067916055,-0.013047077405665346,0.9604932062856246,0.9934550430665369,0.032961836780912246,-1.3980792955208476,-1.392843166068778,0.0,0.0,0.0
6.0,coarse,401,401,121,140,0.005645672656726713,0.00564783004771629,1.0028188633331179,1.0028199389958878,1.0756627699670673e-06,-3.771080860031838,-3.7709781980067785,0.0,0.0,0.0
6.0,fine,1201,1201,401,400,-0.31019878748924623,-0.27074107678460857,0.830542721665029,0.8539665820249592,0.02342386035993027,-0.8611597156508983,-0.849422587894604,0.3726127807108898,0.3880430544480805,0.015430273737190692
6.0,mid,801,801,241,280,-1.4792673527288123,-1.4757414031863796,0.0,0.0,0.0,-1.3960757591379933,-1.3919414001502928,0.0,0.0,0.0
6.169492525423729,coarse,401,401,121,140,-0.0008855901466938795,0.005635015044438058,0.9995571068494816,1.0028135494918475,0.0032564426423659087,-3.7679205502773225,-3.76784641895068,0.0,0.0,0.0
6.169492525423729,fine,1201,1201,401,400,-0.6427102549244977,-0.6265564038531494,0.5977371872951375,0.611100315943995,0.01336312864885758,-0.859893814816019,-0.8498806096241102,0.3743076077025165,0.3874524362755896,0.013144828573073142
6.169492525423729,mid,801,801,241,280,-0.10148638071677096,-0.04369182696603581,0.9478995829112011,0.9779101047816022,0.030010521870401097,-1.394414015773214,-1.3910285317193765,0.0,0.0,0.0
6.3,coarse,401,401,121,140,-1.840121456063032,-1.838991842429208,0.0,0.0,0.0,-3.765473156457484,-3.765415449970248,0.0,0.0,0.0
6.3,fine,1201,1201,401,400,-0.35612923308990896,-0.327415478663199,0.8024155824197902,0.8201125052922928,0.017696922872502685,-0.8589760431623797,-0.8501139534109708,0.37553156570070145,0.387151193449057,0.011619627748355565
6.3,mid,801,801,241,280,-0.4561281262831344,-0.43498118861562035,0.7374766936770717,0.7516773319612476,0.014200638284175948,-1.393149809403708,-1.3902464754103576,0.0,0.0,0.0
6.4406779661016955,coarse,401,401,121,140,-4.394603658264226,-4.394573776615519,0.0,0.0,0.0,-3.7628278324023583,-3.7627837698734012,0.0,0.0,0.0
6.4406779661016955,fine,1201,1201,401,400,-0.6213162921308314,-0.6077004624907112,0.6153728202229675,0.6263381973896281,0.010965377166660684,-0.8580337943694815,-0.85026335818085,0.37678403048765025,0.3869581913064382,0.01017416081878797
6.4406779661016955,mid,801,801,241,280,-1.1999160887632523,-1.196162251614004,0.0,0.0,0.0,-1.3917970133964177,-1.3893362394167574,0.0,0.0,0.0
6.6,coarse,401,401,121,140,-0.08690433172392703,-0.03321656767205636,0.9555603948867245,0.983251459357139,0.027691064470414473,-3.7598308126236057,-3.759798340825543,0.0,0.0,0.0
6.6,fine,1201,1201,401,400,-0.4895758702951012,-0.47332485948297065,0.714439731331411,0.7257238734649903,0.011284142133579311,-0.8570166697620922,-0.8503195857170103,0.37813136637669686,0.3868855312401715,0.008754164863474634
6.6,mid,801,801,241,280,-0.07437691926386636,-0.024994679228916128,0.9620930728033196,0.9874235771800691,0.025330504376749552,-1.3902724505812252,-1.3882314185089109,0.0,0.0,0.0
6.8,coarse,401,401,121,140,0.005653951524188806,0.005656020683974066,1.0028229911226552,1.0028240227896288,1.0316669736276651e-06,-3.7560807725387972,-3.7560586280367074,0.0,0.0,0.0
6.8,fine,1201,1201,401,400,-0.3062302902630488,-0.281586436192902,0.8329283941233792,0.847592805424337,0.014664411300957858,-0.8558016531984571,-0.8502427907054126,0.3797345741456035,0.38698476623064554,0.007250192085042018
6.8,mid,801,801,241,280,-1.4820159114668745,-1.4807023096529839,0.0,0.0,0.0,-1.3883631375388112,-1.3867485067262326,0.0,0.0,0.0
