D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.0,fine,0.06,0.03,1,0.7359089334327527,0.7359089334327527,0.7359089334327527,24.91251580344248,1.0,0.11041451430151059,0
4.0,fine,0.06,0.03,2,0.8355420903543915,0.7359089334327527,0.8355420903543915,28.497067706590737,4.660197841808254,0.5145534812522062,0
4.0,fine,0.06,0.03,3,1.024913561448241,0.7359089334327527,1.024913561448241,35.310179807869716,9.056780318475928,1.0,0
4.0,fine,0.06,0.03,4,1.3016179943485526,0.7359089334327527,1.3016179943485526,45.26531354254066,16.967301214770274,1.8734363226362905,0
4.0,fine,0.06,0.03,5,1.6419653290034055,0.7359089334327527,1.6419653290034055,57.51015977508563,26.69726713748922,2.9477657841635523,0
4.0,fine,0.06,0.03,6,2.066705423812488,0.7359089334327527,2.066705423812488,72.79124653607938,38.83988213018712,4.288486720932531,0
4.0,fine,0.06,0.03,7,2.5669612895002754,0.7359089334327527,2.5669612895002754,90.78920194386176,53.141367789590205,5.8675783138055415,0
4.0,fine,0.06,0.03,8,3.14253180682322,0.7359089334327527,3.14253180682322,111.496790230848,69.59597445002791,7.684405716240172,0
4.0,fine,0.06,0.03,9,3.4200655322609035,0.7359089334327527,3.4200655322609035,121.48175983778223,77.53020344480575,8.56045975705553,0
4.0,fine,0.06,0.03,10,3.5201785410610533,0.7359089334327527,3.5201785410610533,125.08357561188966,80.39226835574199,8.876473264095951,0
4.0,fine,0.06,0.03,11,3.709293955973101,0.7359089334327527,3.709293955973101,131.8874754518878,85.79876447072142,9.47342890670441,0
4.0,fine,0.06,0.03,12,3.7968154935035905,0.7359089334327527,3.7968154935035905,135.03628156839105,88.30086009764688,9.749696580087317,0
4.0,fine,0.06,0.03,13,3.986358232404469,0.7359089334327527,3.986358232404469,141.85555545719737,93.7195726968644,10.348001099869396,0
4.0,fine,0.06,0.03,14,4.326476241790635,0.7359089334327527,4.326476241790635,154.0921511398882,103.44298259042627,11.421606680621533,0
4.0,fine,0.06,0.03,15,4.526814263573883,0.7359089334327527,4.526814263573883,161.29981231859497,109.17031442616018,12.05398724350767,0
4.0,fine,0.06,0.03,16,4.751309458100565,0.7359089334327527,4.751309458100565,169.3765881796787,115.58825977241628,12.762621561728178,0
4.0,fine,0.06,0.03,17,5.251523672971558,0.7359089334327527,5.251523672971558,187.37304509519984,129.88855470403394,14.341581680971096,0
4.0,fine,0.06,0.03,18,5.333953068062403,0.7359089334327527,5.333953068062403,190.33864865708068,132.24507442256677,14.601775661134832,0
4.0,fine,0.06,0.03,19,5.827355206012164,0.7359089334327527,5.827355206012164,208.09002407516823,146.35062337101482,16.159232997233907,0
4.0,fine,0.06,0.03,20,6.217454004501938,0.7359089334327527,6.217454004501938,222.12480359783407,157.50290114527235,17.390606331034082,0
4.0,fine,0.06,0.03,21,6.481037218274302,0.7359089334327527,6.481037218274302,231.60786867132933,165.0383081447327,18.2226246349437,0
4.0,fine,0.06,0.03,22,7.178452372392472,0.7359089334327527,7.178452372392472,256.69912237861575,184.97625092439068,20.424062903130945,0
4.0,fine,0.06,0.03,23,7.21140389612424,0.7359089334327527,7.21140389612424,257.88463582367547,185.91828034658934,20.528076624240743,0
4.0,fine,0.06,0.03,24,8.018880164458636,0.7359089334327527,8.018880164458636,286.93561326767616,209.00268787475596,23.076930269401398,0
4.0,fine,0.06,0.03,25,8.215450818363024,0.7359089334327527,8.215450818363024,294.0077339685213,214.62231691000574,23.697418879883166,0
4.0,fine,0.06,0.03,26,8.239246419675288,0.7359089334327527,8.239246419675288,294.86384021473333,215.30259369288035,23.772531310454863,0
4.0,fine,0.06,0.03,27,8.340145232338443,0.7359089334327527,8.340145232338443,298.49392724732195,218.18712343321423,24.091025260722088,0
4.0,fine,0.06,0.03,28,8.529835028340262,0.7359089334327527,8.529835028340262,305.3184918829774,223.6100401510928,24.68979397622419,0
