case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,4.0,4.0,0.2,0.07523344917187558,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.39,0.07080901190221578,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.5800000000000001,0.06622078255020325,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.77,0.06146763055695326,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.96,0.0565485088502895,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.15,0.05146245522563819,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.34,0.04620859362693808,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.53,0.040786135325449724,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.72,0.03519437999431041,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.91,0.029432716677147752,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.1,0.023500624649062107,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.29,0.017397674168710076,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.4800000000000004,0.011123527120241672,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.6700000000000004,0.00467793754431467,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.8600000000000003,0.0019392479426767473,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.0500000000000003,0.008728089841385067,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.24,0.015688555574721263,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.43,0.022820519405374107,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.62,0.03012376246545667,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.81,0.03759797289775202,0.0
D60E21_release,D60 x E21 release,4.0,4.0,4.0,0.045242746107953646,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.2,2.6378761116543625,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.39,2.6514064290693558,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.5800000000000001,2.6649305994622186,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.77,2.6784486263616927,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.96,2.6919605132660394,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.15,2.7054662636434657,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.34,2.7189658809318136,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.53,2.7324593685381444,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.72,2.745946729840023,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.91,2.7594279681847773,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.1,2.772903086889734,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.29,2.7863720892426294,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.4800000000000004,2.799834978501135,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.6700000000000004,2.8132917578931735,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.8600000000000003,2.8267424306177062,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.0500000000000003,2.8401869998432705,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.24,2.8536254687096374,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.43,2.867057840326929,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.62,2.880484117776259,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.81,2.8939043041095758,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,4.0,2.907318402349574,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.2,5.390934293700056,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.39,5.390764571662515,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.5800000000000001,5.390594850456985,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.77,5.390425130164196,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.96,5.390255410791276,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.15,5.390085692470514,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.34,5.389915975245202,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.53,5.389746258831082,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.72,5.389576543473218,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.91,5.389406829146459,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.1,5.389237115772872,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.29,5.3890674033506585,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.4800000000000004,5.388897691925301,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.6700000000000004,5.388727981499088,0.0
